策略	upper_k	oracle GT coverage@10	oracle GT miss@10	平均routed shards	P95 routed shards	index expansion
orion_default	80	0.98367	0.01633	17.19	30.00	1.184
orion_default	120	0.99043	0.00957	21.23	34.00	1.184
orion_default	160	0.99397	0.00603	24.29	37.00	1.184
orion_single	80	0.96113	0.03887	15.35	25.00	1.000
orion_single	120	0.97587	0.02413	18.85	29.00	1.000
orion_single	160	0.98333	0.01667	21.58	32.00	1.000
orion_w2c2	80	0.99393	0.00607	21.74	37.00	1.495
orion_w2c2	120	0.99670	0.00330	26.70	42.00	1.495
orion_w2c2	160	0.99787	0.00213	30.38	45.00	1.495
naive_all_shards_46	80	1.00000	0.00000	46.00	46.00	1.000
naive_all_shards_46	120	1.00000	0.00000	46.00	46.00	1.000
naive_all_shards_46	160	1.00000	0.00000	46.00	46.00	1.000
