目标组	场景	Method4配置	Naive配置	Method4 Recall	Naive Recall	QPS变化(%)	visited变化(%)	EF-sum变化(%)	P95变化(%)	P99变化(%)
0.80/0.85	warm original ~0.80	m4_16_16_10	naive_ef16	0.80633	0.80747	258.35	-86.15	-62.36	-74.04	-75.22
0.80/0.85	shuffled seed 20260709 ~0.80	m4_16_16_10	naive_ef16	0.80627	0.80747	227.32	-86.12	-62.34	-72.24	-72.09
0.80/0.85	shuffled seed 20260712 ~0.80	m4_16_16_10	naive_ef16	0.80247	0.80747	213.41	-87.08	-63.36	-70.45	-70.72
0.80/0.85	warm original ~0.85	m4_20_64_10	naive_ef24	0.86273	0.85570	157.19	-84.03	-37.58	-63.84	-64.44
0.80/0.85	shuffled seed 20260709 ~0.85	m4_20_64_10	naive_ef24	0.86280	0.85570	199.61	-84.02	-37.54	-68.53	-70.70
0.80/0.85	shuffled seed 20260712 ~0.85	m4_20_64_10	naive_ef24	0.85730	0.85570	183.08	-85.15	-40.60	-66.88	-67.21
0.80/0.85	cold matched ~0.80	m4_16_16_10	naive_ef16	0.80600	0.80747	251.10	-86.13	-62.36	-73.05	-73.08
0.80/0.85	cold matched ~0.85	m4_20_64_10	naive_ef24	0.86223	0.85570	181.82	-84.03	-37.59	-67.73	-70.23
0.90	warm original ~0.90	m4_60_40_8	naive_ef40	0.90657	0.90680	143.77	-68.89	-40.16	-61.48	-62.31
0.90	shuffled seed 20260708 ~0.90	m4_60_40_8	naive_ef40	0.90537	0.90680	138.88	-68.90	-40.16	-60.31	-61.84
0.90	shuffled seed 20260711 ~0.90	m4_60_40_8	naive_ef40	0.90127	0.90680	154.44	-71.88	-43.25	-63.41	-62.87
0.90	cold matched ~0.90	m4_60_40_8	naive_ef40	0.90663	0.90680	140.85	-68.89	-40.16	-61.06	-61.93
0.955	warm original ~0.955	m4_160_80_8	naive_ef76	0.95527	0.95433	47.59	-48.69	-5.43	-37.74	-38.98
0.955	shuffled seed 20260707 ~0.955	m4_160_80_8	naive_ef76	0.95553	0.95433	78.85	-48.66	-5.41	-46.37	-45.98
0.955	shuffled seed 20260710 ~0.955	m4_160_80_8	naive_ef76	0.95467	0.95433	62.55	-49.55	-6.36	-43.87	-44.66
0.955	cold matched ~0.955	m4_160_80_8	naive_ef76	0.95530	0.95433	51.90	-48.69	-5.43	-39.96	-39.23
0.95 curve	warm original ~0.95 curve config	m4_curve_160_50_10	naive_ef76	0.95380	0.95433	69.05	-48.69	-15.54	-45.31	-44.12
0.95 curve	shuffled seed 20260714 ~0.95 curve config	m4_curve_160_50_10	naive_ef76	0.95370	0.95433	73.97	-48.70	-15.55	-46.53	-48.07
0.95 curve	shuffled seed 20260715 ~0.95 curve config	m4_curve_160_50_10	naive_ef76	0.95300	0.95433	72.18	-48.64	-15.52	-46.02	-46.91
0.95 curve	cold matched ~0.95 curve config	m4_curve_160_50_10	naive_ef76	0.95337	0.95433	72.50	-48.68	-15.55	-46.98	-47.69
0.97 closest	warm original ~0.97 closest-neighborhood	repeat_m4_160_80_16	naive_ef104	0.96867	0.96953	41.09	-48.65	-1.24	-28.09	-28.07
0.97 closest	shuffled seed 20260716 ~0.97 closest-neighborhood	repeat_m4_160_80_16	naive_ef104	0.96823	0.96953	54.97	-48.63	-1.22	-41.45	-43.32
0.97 closest	shuffled seed 20260717 ~0.97 closest-neighborhood	repeat_m4_160_80_16	naive_ef104	0.96847	0.96953	57.27	-48.65	-1.23	-41.27	-42.54
0.97 closest	cold matched ~0.97 closest-neighborhood	repeat_m4_160_80_16	naive_ef104	0.96850	0.96953	54.19	-48.63	-1.23	-38.10	-38.49
