target	worker_count	QPS	worker1 QPS	QPS speedup	QPS变化vs1(%)	P95 ms	P95变化vs1(%)	P99 ms	P99变化vs1(%)	Recall@10
0.080	1	907.28	907.28	1.000	0.00	126.07	0.00	134.55	0.00	0.80587
0.080	2	1009.28	907.28	1.112	11.24	108.19	-14.18	111.21	-17.34	0.80490
0.080	3	1135.91	907.28	1.252	25.20	98.83	-21.61	103.31	-23.22	0.80640
0.080	4	1234.45	907.28	1.361	36.06	91.65	-27.30	93.64	-30.41	0.80650
0.085	1	641.98	641.98	1.000	0.00	184.61	0.00	188.97	0.00	0.86183
0.085	2	786.17	641.98	1.225	22.46	137.99	-25.25	140.53	-25.63	0.86083
0.085	3	954.24	641.98	1.486	48.64	115.76	-37.29	117.74	-37.69	0.86343
0.085	4	1020.40	641.98	1.589	58.95	110.35	-40.22	112.68	-40.37	0.86213
0.090	1	432.76	432.76	1.000	0.00	250.97	0.00	258.37	0.00	0.90427
0.090	2	580.47	432.76	1.341	34.13	183.80	-26.76	187.83	-27.30	0.90423
0.090	3	706.18	432.76	1.632	63.18	152.88	-39.09	154.47	-40.21	0.90460
0.090	4	762.33	432.76	1.762	76.16	144.36	-42.48	148.79	-42.41	0.90550
0.095	1	218.63	218.63	1.000	0.00	488.70	0.00	513.15	0.00	0.95540
0.095	2	316.81	218.63	1.449	44.91	328.24	-32.83	371.26	-27.65	0.95377
0.095	3	382.40	218.63	1.749	74.91	297.39	-39.15	307.41	-40.09	0.95517
0.095	4	412.18	218.63	1.885	88.53	259.16	-46.97	262.64	-48.82	0.95470
