record_type,record_id,method,case_id,block_id,order_label,metric,value,n,mean,median,sample_standard_deviation,hash_all_value,orion_value,difference_orion_minus_hash_all,relative_difference_percent,statistic,degrees_of_freedom,p_value_two_sided,confidence_interval_95_low,confidence_interval_95_high,extreme_count,enumeration_count,input_path,sha256,size_bytes
case_metric,01-hash:qps,hash_all,01-hash,,,qps,967.9678844852849,,,,,,,,,,,,,,,,,,
case_metric,01-hash:latency_p50_ms,hash_all,01-hash,,,latency_p50_ms,205.12271497864276,,,,,,,,,,,,,,,,,,
case_metric,01-hash:latency_p95_ms,hash_all,01-hash,,,latency_p95_ms,217.3173001036048,,,,,,,,,,,,,,,,,,
case_metric,01-hash:latency_p99_ms,hash_all,01-hash,,,latency_p99_ms,217.87464398890734,,,,,,,,,,,,,,,,,,
case_metric,02-orion:qps,orion,02-orion,,,qps,996.5529277256165,,,,,,,,,,,,,,,,,,
case_metric,02-orion:latency_p50_ms,orion,02-orion,,,latency_p50_ms,200.14965801965445,,,,,,,,,,,,,,,,,,
case_metric,02-orion:latency_p95_ms,orion,02-orion,,,latency_p95_ms,210.41771434247494,,,,,,,,,,,,,,,,,,
case_metric,02-orion:latency_p99_ms,orion,02-orion,,,latency_p99_ms,212.84668127074838,,,,,,,,,,,,,,,,,,
case_metric,03-orion:qps,orion,03-orion,,,qps,998.3330998569423,,,,,,,,,,,,,,,,,,
case_metric,03-orion:latency_p50_ms,orion,03-orion,,,latency_p50_ms,199.72833804786205,,,,,,,,,,,,,,,,,,
case_metric,03-orion:latency_p95_ms,orion,03-orion,,,latency_p95_ms,209.5244150259532,,,,,,,,,,,,,,,,,,
case_metric,03-orion:latency_p99_ms,orion,03-orion,,,latency_p99_ms,210.80064942361787,,,,,,,,,,,,,,,,,,
case_metric,04-hash:qps,hash_all,04-hash,,,qps,962.3193281775993,,,,,,,,,,,,,,,,,,
case_metric,04-hash:latency_p50_ms,hash_all,04-hash,,,latency_p50_ms,206.3167269807309,,,,,,,,,,,,,,,,,,
case_metric,04-hash:latency_p95_ms,hash_all,04-hash,,,latency_p95_ms,223.92163462936875,,,,,,,,,,,,,,,,,,
case_metric,04-hash:latency_p99_ms,hash_all,04-hash,,,latency_p99_ms,232.68125092610714,,,,,,,,,,,,,,,,,,
case_metric,05-orion:qps,orion,05-orion,,,qps,982.9122455549393,,,,,,,,,,,,,,,,,,
case_metric,05-orion:latency_p50_ms,orion,05-orion,,,latency_p50_ms,202.6730279903859,,,,,,,,,,,,,,,,,,
case_metric,05-orion:latency_p95_ms,orion,05-orion,,,latency_p95_ms,211.45294336602092,,,,,,,,,,,,,,,,,,
case_metric,05-orion:latency_p99_ms,orion,05-orion,,,latency_p99_ms,211.72236382961273,,,,,,,,,,,,,,,,,,
case_metric,06-hash:qps,hash_all,06-hash,,,qps,960.3350253991556,,,,,,,,,,,,,,,,,,
case_metric,06-hash:latency_p50_ms,hash_all,06-hash,,,latency_p50_ms,205.04211401566863,,,,,,,,,,,,,,,,,,
case_metric,06-hash:latency_p95_ms,hash_all,06-hash,,,latency_p95_ms,227.20934787066653,,,,,,,,,,,,,,,,,,
case_metric,06-hash:latency_p99_ms,hash_all,06-hash,,,latency_p99_ms,228.33444161573425,,,,,,,,,,,,,,,,,,
case_metric,07-hash:qps,hash_all,07-hash,,,qps,983.4685270972672,,,,,,,,,,,,,,,,,,
case_metric,07-hash:latency_p50_ms,hash_all,07-hash,,,latency_p50_ms,204.5883290702477,,,,,,,,,,,,,,,,,,
case_metric,07-hash:latency_p95_ms,hash_all,07-hash,,,latency_p95_ms,209.38412386458367,,,,,,,,,,,,,,,,,,
case_metric,07-hash:latency_p99_ms,hash_all,07-hash,,,latency_p99_ms,211.42006154637784,,,,,,,,,,,,,,,,,,
case_metric,08-orion:qps,orion,08-orion,,,qps,981.507817861926,,,,,,,,,,,,,,,,,,
case_metric,08-orion:latency_p50_ms,orion,08-orion,,,latency_p50_ms,201.78762706927955,,,,,,,,,,,,,,,,,,
case_metric,08-orion:latency_p95_ms,orion,08-orion,,,latency_p95_ms,217.34933375846595,,,,,,,,,,,,,,,,,,
case_metric,08-orion:latency_p99_ms,orion,08-orion,,,latency_p99_ms,226.96540114935485,,,,,,,,,,,,,,,,,,
case_metric,09-hash:qps,hash_all,09-hash,,,qps,965.4627594202374,,,,,,,,,,,,,,,,,,
case_metric,09-hash:latency_p50_ms,hash_all,09-hash,,,latency_p50_ms,204.61923291441053,,,,,,,,,,,,,,,,,,
case_metric,09-hash:latency_p95_ms,hash_all,09-hash,,,latency_p95_ms,220.99841085728258,,,,,,,,,,,,,,,,,,
case_metric,09-hash:latency_p99_ms,hash_all,09-hash,,,latency_p99_ms,224.98597656842318,,,,,,,,,,,,,,,,,,
case_metric,10-orion:qps,orion,10-orion,,,qps,991.0121638653305,,,,,,,,,,,,,,,,,,
case_metric,10-orion:latency_p50_ms,orion,10-orion,,,latency_p50_ms,201.51259598787874,,,,,,,,,,,,,,,,,,
case_metric,10-orion:latency_p95_ms,orion,10-orion,,,latency_p95_ms,209.80319912778214,,,,,,,,,,,,,,,,,,
case_metric,10-orion:latency_p99_ms,orion,10-orion,,,latency_p99_ms,211.2085398682393,,,,,,,,,,,,,,,,,,
