record_type,record_id,method,case_id,block_id,order_label,metric,value,n,mean,median,sample_standard_deviation,hash_all_value,orion_value,difference_orion_minus_hash_all,relative_difference_percent,statistic,degrees_of_freedom,p_value_two_sided,confidence_interval_95_low,confidence_interval_95_high,extreme_count,enumeration_count,input_path,sha256,size_bytes
case_metric,01-hash:qps,hash_all,01-hash,,,qps,967.2211739286886,,,,,,,,,,,,,,,,,,
case_metric,01-hash:latency_p50_ms,hash_all,01-hash,,,latency_p50_ms,204.5080680400133,,,,,,,,,,,,,,,,,,
case_metric,01-hash:latency_p95_ms,hash_all,01-hash,,,latency_p95_ms,219.76506296778098,,,,,,,,,,,,,,,,,,
case_metric,01-hash:latency_p99_ms,hash_all,01-hash,,,latency_p99_ms,226.31002935813737,,,,,,,,,,,,,,,,,,
case_metric,02-orion:qps,orion,02-orion,,,qps,963.843888353389,,,,,,,,,,,,,,,,,,
case_metric,02-orion:latency_p50_ms,orion,02-orion,,,latency_p50_ms,206.81488700211048,,,,,,,,,,,,,,,,,,
case_metric,02-orion:latency_p95_ms,orion,02-orion,,,latency_p95_ms,216.06504049850628,,,,,,,,,,,,,,,,,,
case_metric,02-orion:latency_p99_ms,orion,02-orion,,,latency_p99_ms,216.06962973019108,,,,,,,,,,,,,,,,,,
case_metric,03-orion:qps,orion,03-orion,,,qps,963.2991349409999,,,,,,,,,,,,,,,,,,
case_metric,03-orion:latency_p50_ms,orion,03-orion,,,latency_p50_ms,207.9622750170529,,,,,,,,,,,,,,,,,,
case_metric,03-orion:latency_p95_ms,orion,03-orion,,,latency_p95_ms,214.79488768381998,,,,,,,,,,,,,,,,,,
case_metric,03-orion:latency_p99_ms,orion,03-orion,,,latency_p99_ms,218.09497279813513,,,,,,,,,,,,,,,,,,
case_metric,04-hash:qps,hash_all,04-hash,,,qps,989.5493231226728,,,,,,,,,,,,,,,,,,
case_metric,04-hash:latency_p50_ms,hash_all,04-hash,,,latency_p50_ms,202.56167405750602,,,,,,,,,,,,,,,,,,
case_metric,04-hash:latency_p95_ms,hash_all,04-hash,,,latency_p95_ms,211.0176978399977,,,,,,,,,,,,,,,,,,
case_metric,04-hash:latency_p99_ms,hash_all,04-hash,,,latency_p99_ms,214.16692673694342,,,,,,,,,,,,,,,,,,
case_metric,05-orion:qps,orion,05-orion,,,qps,959.3006195218428,,,,,,,,,,,,,,,,,,
case_metric,05-orion:latency_p50_ms,orion,05-orion,,,latency_p50_ms,207.91302504949272,,,,,,,,,,,,,,,,,,
case_metric,05-orion:latency_p95_ms,orion,05-orion,,,latency_p95_ms,218.63657652866095,,,,,,,,,,,,,,,,,,
