dataset,method,physical_machine_count,stage14_ef_search,stage15_ef_search,stage14_qps,stage15_qps,stage15_to_stage14_qps_ratio,stage14_total_segments,stage15_total_segments,stage14_estimated_nonempty_hnsw_segments,stage15_estimated_nonempty_hnsw_segments,stage14_source,stage15_source
sift1m,random,1,24,24,11766.658173297688,17491.472692266496,1.4865284972720838,3,2,2,1,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/e1/stage14-e1-sift1m-random-m1-baseline-a.json,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/e1/stage15-e1-sift1m-random-m1-baseline-a.json
sift1m,random,2,24,24,11128.692253643841,10880.706614833145,0.9777165516703458,4,4,2,2,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/e1/stage14-e1-sift1m-random-m2-primary.json,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/e1/stage15-e1-sift1m-random-m2-primary.json
sift1m,random,3,24,24,8620.482998110427,8261.167038055177,0.9583183494319274,6,6,3,3,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/e1/stage14-e1-sift1m-random-m3-primary.json,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/e1/stage15-e1-sift1m-random-m3-primary.json
sift1m,random,4,24,24,6762.828818201245,6965.16987505537,1.0299195887244035,8,8,4,4,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/e1/stage14-e1-sift1m-random-m4-primary.json,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/e1/stage15-e1-sift1m-random-m4-primary.json
sift1m,kmeans,1,24,24,11766.658173297688,17491.472692266496,1.4865284972720838,3,2,2,1,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/e1/stage14-e1-sift1m-random-m1-baseline-a.json,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/e1/stage15-e1-sift1m-random-m1-baseline-a.json
sift1m,kmeans,2,24,24,19465.738266405002,20134.186535838777,1.0343397337560742,5,4,3,2,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/e1/stage14-e1-sift1m-kmeans-m2-primary.json,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/e1/stage15-e1-sift1m-kmeans-m2-primary.json
sift1m,kmeans,3,24,24,13326.478926164922,13786.14538676363,1.0344927165791864,7,6,4,3,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/e1/stage14-e1-sift1m-kmeans-m3-primary.json,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/e1/stage15-e1-sift1m-kmeans-m3-primary.json
sift1m,kmeans,4,24,24,13652.253193182018,13774.645489343093,1.0089649887406278,9,8,5,4,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/e1/stage14-e1-sift1m-kmeans-m4-primary.json,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/e1/stage15-e1-sift1m-kmeans-m4-primary.json
glove-200-angular,random,1,192,320,1401.1446812423317,3154.99515899118,2.2517268924675133,5,2,4,1,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/e1/stage14-e1-glove-200-angular-random-m1-baseline-a.json,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/e1/stage15-e1-glove-200-angular-random-m1-baseline-a.json
glove-200-angular,random,2,192,320,2783.6593770050495,3413.457808411839,1.2262483824742925,6,4,4,2,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/e1/stage14-e1-glove-200-angular-random-m2-primary.json,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/e1/stage15-e1-glove-200-angular-random-m2-primary.json
