experiment_id,timestamp,status,dataset,partition_method,logical_shard_count,routing_fanout,ef_search,selected_tuning_recall,query_count,searched_shard_events,mean_distance_computations_per_searched_shard,p95_distance_computations_per_searched_shard,normalized_distance_to_m1,mean_nodes_visited_per_searched_shard,p95_nodes_visited_per_searched_shard,mean_worker_cpu_time_us_per_searched_shard,mean_worker_cpu_wall_time_us_per_searched_shard,mean_local_search_latency_us_per_searched_shard,p95_local_search_latency_us_per_searched_shard,mean_shard_point_count,mean_vector_storage_size_bytes,controller_graph_index_size_bytes,controller_total_local_index_size_bytes,machine_llc_size_bytes,cache_regime,source_summary,source_summary_sha256
stage12-e3-deterministic-sift1m-random-m1,2026-08-21T02:42:42Z,VALID_E3,sift1m,random,1,1,16,0.904,9000,9000,1747.8517777777777,2290.0,1.0,82.64455555555556,91.0,368.8917777777778,362.74033333333335,516.2345941111112,586.2605,1000000.0,512000000.0,77772488,589772488,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-random-m1-summary.json,46a7425512909c544437898997ab9e9cc18121b343875087dd20bd7b1432ccc5
stage12-e3-deterministic-sift1m-random-m2,2026-08-21T02:49:04Z,VALID_E3,sift1m,random,2,2,24,0.94,9000,18000,831.0844444444444,1125.0,0.47548908609463836,35.3975,40.0,160.41994444444444,156.71733333333333,528.0889956111112,608.4615,500000.0,256000000.0,41161797,297425989,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-random-m2-summary.json,6e2b25b1314d40ca8c1bedf945be45796a6fc66ac213524626e15c3e3bf1cb05
stage12-e3-deterministic-sift1m-random-m4,2026-08-21T02:59:07Z,VALID_E3,sift1m,random,4,4,16,0.9351,9000,36000,610.7525555555555,836.0,0.34943040555307703,27.32988888888889,32.0,115.20466666666667,111.30086111111112,509.14667933333334,682.05855,250000.0,128000000.0,19121046,147142550,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-random-m4-summary.json,dcd18b757bfcee427c8997300e458ce05b2451be5b9bd0db4c3cefb5530dc791
stage12-e3-deterministic-sift1m-random-m8,2026-08-21T03:07:35Z,VALID_E3,sift1m,random,8,8,16,0.9617,9000,72000,568.0058055555555,773.0,0.3249736692648614,26.90876388888889,31.0,102.36788888888888,98.610875,496.3007715833333,686.4575,125000.0,64000000.0,8842901,73092245,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-random-m8-summary.json,e6502ba5359a077addde0fc2999edf80142768bf4f8415d2090171017850309d
stage12-e3-deterministic-sift1m-random-m16,2026-08-21T03:14:55Z,VALID_E3,sift1m,random,16,16,16,0.9745,9000,144000,518.2765555555555,701.0,0.2965220290100877,26.458229166666666,30.0,83.96527777777777,80.20209027777778,476.97919773611113,661.55,62500.0,32000000.0,4046245,36251557,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-random-m16-summary.json,e936796439ebf696d2628510b24314198e1151e9adf95067060b01c4621f2537
stage12-e3-deterministic-sift1m-random-m32,2026-08-21T03:24:34Z,VALID_E3,sift1m,random,32,32,16,0.9847,9000,288000,468.6067708333333,630.0,0.2681044106778442,24.893770833333335,28.0,58.33778819444444,54.806868055555555,446.3368770138889,618.479,31250.0,16000000.0,1837678,18036846,16777216,mixed_or_below_llc,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-random-m32-summary.json,a5cca13fb036fa646709343a6f9f989c6622372e890790ed9dee72814b66aa45
stage12-e3-deterministic-sift1m-kmeans-m1,2026-08-21T02:42:56Z,VALID_E3,sift1m,kmeans,1,1,16,0.904,9000,9000,1747.8517777777777,2290.0,1.0,82.64455555555556,91.0,367.4277777777778,361.60055555555556,522.6250486666667,615.303,1000000.0,512000000.0,77772488,589772488,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-kmeans-m1-summary.json,a8ba41b7f6518691a96a774c823e7d97c2993d0aab6bdc44865dc6f07b0cc785
stage12-e3-deterministic-sift1m-kmeans-m2,2026-08-21T02:55:14Z,VALID_E3,sift1m,kmeans,2,1,24,0.9201,9000,9000,1217.1542222222222,1960.0499999999993,0.696371533156956,52.934666666666665,74.0,243.17277777777778,238.43977777777778,538.2072762222222,631.0074999999999,500000.0,256000000.0,39309204,302568340,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-kmeans-m2-summary.json,13387ae6f7d7144a08453da60c426bc5749f46be6dd1c555fb8c54a244250511
stage12-e3-deterministic-sift1m-kmeans-m4,2026-08-21T03:04:15Z,VALID_E3,sift1m,kmeans,4,1,48,0.9122,9000,9000,1931.3122222222223,3197.0499999999993,1.1049633880726983,88.17022222222222,120.0,377.54255555555557,372.19044444444444,690.0721101111111,964.2185499999999,250000.0,128000000.0,39176419,302261475,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-kmeans-m4-summary.json,a14822f5d95f25294667b3657ef384925af04b67c4a2c54db24d9d8bd7f145ad
stage12-e3-deterministic-sift1m-kmeans-m8,2026-08-21T03:10:48Z,VALID_E3,sift1m,kmeans,8,2,24,0.9036000000000001,9000,18000,810.2841111111111,1076.0499999999993,0.4635885727915144,34.656444444444446,39.0,154.0151111111111,149.56555555555556,561.0359571666667,787.7695499999999,125000.0,64000000.0,17476325,131711717,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-kmeans-m8-summary.json,d57921d4d975fad34657dcc8d40cb090776478b23c3138648123d6923df30b8b
stage12-e3-deterministic-sift1m-kmeans-m16,2026-08-21T03:18:10Z,VALID_E3,sift1m,kmeans,16,3,24,0.9177000000000001,9000,27000,772.2188148148148,1037.0,0.44181024079548403,34.24922222222222,38.0,144.25807407407407,139.17603703703705,567.4906873703704,781.7965,62500.0,32000000.0,5954203,49646235,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-kmeans-m16-summary.json,af87d5f24b5e2a6172938581c65924b3a1a63fd64eea86afdf6018ead05135c8
