dataset,partition_method,logical_shard_count,query_count,actual_fanout_mean,oracle_fanout_mean,selected_ef_search,observed_distance_mean,observed_distance_p95,normalized_observed_distance_to_m1,observed_nodes_mean,observed_nodes_p95,observed_worker_cpu_time_us_mean,observed_worker_cpu_time_us_p95,mean_local_distance_per_searched_shard,modeled_distance_mean,normalized_modeled_distance_to_m1,model_relative_error,ideal_query_work_reduction,physical_e1_normalized_qps,physical_work_bound_projection,m_gt_4_projection,projection_status,source_e3_per_search,source_e3_per_search_sha256,status
glove-200-angular,random,1,9000,1.0,1.0,192,28461.340888888888,38452.299999999996,1.0,812.1514444444445,832.0,6455.033777777778,8771.299999999996,28461.340888888888,28461.340888888888,1.0,0.0,1.0,1.0,1.0,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-glove-200-angular-random-m1.csv,3be067c458925b25627857605c475bb49c2ae3b02e45b9f1dcfcd57e35e96dd5,VALID_E4
glove-200-angular,random,2,9000,2.0,1.9774444444444443,128,20267.439777777778,27238.149999999998,0.7121041786787371,559.4818888888889,584.0,4113.150666666666,5456.0,10133.719888888889,20267.439777777778,0.7121041786787371,0.0,0.5,1.2448265637884186,2.808577817519439,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-glove-200-angular-random-m2.csv,8977f46525c694ec06294785fdc8c7b9d65df9b37e58fe4c89210dd3f3212dec,VALID_E4
glove-200-angular,random,4,9000,4.0,3.1453333333333333,128,20266.092,27246.1,0.7120568239956587,557.4744444444444,583.0,4009.605,5166.0,5066.523,20266.092,0.7120568239956587,0.0,0.25,1.0880757627520963,5.6175291987994305,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-glove-200-angular-random-m4.csv,5ccefa0a0e49e00ac51008a19377904ebbb17ef6d9704877abfbdb7e6e66bf63,VALID_E4
glove-200-angular,random,8,9000,8.0,4.929111111111111,96,31867.404777777778,41994.1,1.1196733457564747,857.6983333333334,897.0,5679.394111111111,7181.0,3983.425597222222,31867.404777777778,1.1196733457564747,0.0,0.125,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-glove-200-angular-random-m8.csv,d7a46864363d5ddff955ba4559c527a03a6c2b4be3010a53692a0cbd804e8935,VALID_E4
glove-200-angular,random,16,9000,16.0,6.610888888888889,64,45416.14333333333,58547.0,1.595713410363722,1198.6035555555557,1261.0,7597.582111111111,9457.05,2838.5089583333333,45416.14333333333,1.595713410363722,0.0,0.0625,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-glove-200-angular-random-m16.csv,c628cd33bc9e81e43d133599f0ba90a8a2185011dac702cecaefc946f703eb2e,VALID_E4
glove-200-angular,random,32,9000,32.0,7.6995555555555555,48,70248.69033333333,87662.99999999999,2.4682143616345895,1850.7178888888889,1945.0499999999993,10442.624,12607.0,2195.2715729166666,70248.69033333333,2.4682143616345895,0.0,0.03125,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-glove-200-angular-random-m32.csv,c601cb1f82be1eba90b789b04a91c3b61f754f40600d54f280d89a859894adb6,VALID_E4
glove-200-angular,kmeans,1,9000,1.0,1.0,192,28461.340888888888,38452.299999999996,1.0,812.1514444444445,832.0,6592.077555555556,9331.0,28461.340888888888,28461.340888888888,1.0,0.0,1.0,1.0,1.0,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-glove-200-angular-kmeans-m1.csv,7288734b0993b6dad7d646808b3fc4f415e456ec1cdc0b37885c9820871ff883,VALID_E4
glove-200-angular,kmeans,2,9000,2.0,1.3296666666666668,192,35025.65388888889,45148.05,1.2306396253650391,1016.3026666666667,1040.0,6689.8386666666665,8429.0,17512.826944444445,35025.65388888889,1.2306396253650391,0.0,0.5,1.1828975583381363,1.6251711376567686,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-glove-200-angular-kmeans-m2.csv,134e8e9571017e0ea4d8c73e70b73680f95cd3193a9967184ecfbb6a7b2e7e27,VALID_E4
glove-200-angular,kmeans,4,9000,3.0,1.5385555555555555,192,28885.608444444446,36870.1,1.0149068013770632,812.5165555555556,841.0,6007.051777777778,7492.0999999999985,9628.536148148149,28885.608444444446,1.0149068013770632,0.0,0.25,1.1369248590305958,3.941248590089899,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-glove-200-angular-kmeans-m4.csv,84ab97ec6535f204c62d08676978d046dad9d42225abb0e133ab622b4d78e097,VALID_E4
glove-200-angular,kmeans,8,9000,4.0,1.8713333333333333,256,36589.84,45929.149999999994,1.2855978972615594,1066.401111111111,1083.0,6484.988666666667,8184.0,9147.46,36589.84,1.2855978972615594,0.0,0.125,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-glove-200-angular-kmeans-m8.csv,93b90c7d9f7f4931f50afd9f1b29ead89870d91280e2ac8e5d6cb8a600a6e48c,VALID_E4
glove-200-angular,kmeans,16,9000,9.0,2.1136666666666666,128,46060.98544444444,53112.05,1.6183701823558965,1253.6726666666666,1286.0,7593.3313333333335,8888.0,5117.887271604938,46060.98544444444,1.6183701823558965,0.0,0.0625,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-glove-200-angular-kmeans-m16.csv,18b55b6bd2a4f1f40c8be564f909751f7dfeb569cd3ad23ba4140f69c408b1f1,VALID_E4
glove-200-angular,kmeans,32,9000,8.0,2.418111111111111,192,51657.61422222222,61565.05,1.815009855786134,1604.767,1619.0,7800.088555555555,9734.0,6457.201777777777,51657.61422222222,1.815009855786134,0.0,0.03125,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-glove-200-angular-kmeans-m32.csv,df3f9f6679137cf5a8e316ea0d2251b09b9b2598282010c17d31b3fee6e3bd72,VALID_E4
