dataset,partition_method,logical_shard_count,query_count,actual_fanout_mean,oracle_fanout_mean,selected_ef_search,observed_distance_mean,observed_distance_p95,normalized_observed_distance_to_m1,observed_nodes_mean,observed_nodes_p95,observed_worker_cpu_time_us_mean,observed_worker_cpu_time_us_p95,mean_local_distance_per_searched_shard,modeled_distance_mean,normalized_modeled_distance_to_m1,model_relative_error,ideal_query_work_reduction,physical_e1_normalized_qps,physical_work_bound_projection,m_gt_4_projection,projection_status,source_e3_per_search,source_e3_per_search_sha256,status
glove-200-angular,random,1,9000,1.0,1.0,384,12837.623222222222,18101.05,1.0,397.8228888888889,408.0,2944.9248888888887,3970.0,12837.623222222222,12837.623222222222,1.0,0.0,1.0,1.0,1.0,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-glove-200-angular-random-m1.csv,3ef9f05e855f1ab7f98ccfe7fefb3fd7214a1394d1c5146bbb4847e030ec51f5,VALID_E4
glove-200-angular,random,2,9000,2.0,1.9774444444444443,256,18142.10877777778,24980.299999999996,1.4131984140470308,535.3755555555556,549.0,3653.396,4844.0999999999985,9071.05438888889,18142.10877777778,1.4131984140470308,0.0,0.5,1.2448265637884186,1.4152294399146137,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-glove-200-angular-random-m2.csv,fc891488d07bbae7ed966ecfa4cf29b32726828dd6cbc22766e719a867bf868d,VALID_E4
glove-200-angular,random,4,9000,4.0,3.1453333333333333,128,20260.820111111112,27298.1,1.578237634832526,558.9998888888889,585.0,3997.1477777777777,5175.0,5065.205027777778,20260.820111111112,1.578237634832526,0.0,0.25,1.0880757627520963,2.5344725735326024,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-glove-200-angular-random-m4.csv,1e756794b838e6e5156dbc2c9cc8041e4aaee98fdc67ee5953e3b1083557801f,VALID_E4
glove-200-angular,random,8,9000,8.0,4.929111111111111,96,31862.36911111111,42124.0,2.4819523489329876,852.8695555555555,892.0,5814.511555555556,7386.0999999999985,3982.796138888889,31862.36911111111,2.4819523489329876,0.0,0.125,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-glove-200-angular-random-m8.csv,7fe1b81da57f51c7ad657ce37640388a2d61900ad9376596235096e9b632cfc8,VALID_E4
glove-200-angular,random,16,9000,16.0,6.610888888888889,64,45431.720888888885,58507.34999999999,3.5389511050803804,1185.3745555555556,1248.0,7684.173111111111,9581.05,2839.4825555555553,45431.720888888885,3.5389511050803804,0.0,0.0625,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-glove-200-angular-random-m16.csv,d8db958d9ee5a0d90841f8dab6c018a07033bb953f01ce7495e82f7ad6733d9b,VALID_E4
glove-200-angular,random,32,9000,32.0,7.6995555555555555,48,70315.15733333334,87699.25,5.477272242389555,1838.5622222222223,1935.0,10382.410444444444,12572.099999999999,2197.3486666666668,70315.15733333334,5.477272242389555,0.0,0.03125,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-glove-200-angular-random-m32.csv,9844f55af36819d85dd58d5f876e0f35e243ef00b36251af8dbffad9bfc99500,VALID_E4
glove-200-angular,kmeans,1,9000,1.0,1.0,384,12837.623222222222,18101.05,1.0,397.8228888888889,408.0,2833.190222222222,3818.0999999999985,12837.623222222222,12837.623222222222,1.0,0.0,1.0,1.0,1.0,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-glove-200-angular-kmeans-m1.csv,26877f56539d68cfaa46f37d75315c5d7fcc2b449732dad1c20fa75fa0eac010,VALID_E4
glove-200-angular,kmeans,2,9000,2.0,1.3296666666666668,256,17654.006777777777,23579.149999999998,1.3751772015880854,537.15,556.0,3499.6085555555555,4519.0,8827.003388888888,17654.006777777777,1.3751772015880854,0.0,0.5,1.1828975583381363,1.4543580257804996,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-glove-200-angular-kmeans-m2.csv,fdb4bd9652589a327297de01814aa501fd4fdb484b331a2af4895ee8786ca291,VALID_E4
glove-200-angular,kmeans,4,9000,3.0,1.5385555555555555,256,27760.028222222223,35759.1,2.1623962428005346,802.906,823.0,5839.346888888889,7302.049999999999,9253.342740740742,27760.028222222223,2.1623962428005346,0.0,0.25,1.1369248590305958,1.849799736434786,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-glove-200-angular-kmeans-m4.csv,19e3b7084214e436902a6ab2db356b9d4705196f3312625bd303a505799949b4,VALID_E4
glove-200-angular,kmeans,8,9000,4.0,1.8713333333333333,256,36568.87744444444,45964.05,2.848570705918746,1064.4215555555556,1081.0,6517.897777777778,8220.05,9142.21936111111,36568.87744444444,2.848570705918746,0.0,0.125,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-glove-200-angular-kmeans-m8.csv,43bad345678e576c545031137ed6b8881fff0b476de312f31c26b73cad5e5e13,VALID_E4
