dataset,partition_method,partition_seed,logical_shards,physical_core_equivalents,m32_capacity_fraction,relevant_query_shard_pairs,ef_search,local_target_recall_mean,local_target_recall_median,local_target_recall_p95,local_target_recall_std,local_target_recall_target_weighted,distance_computations_mean,distance_computations_median,distance_computations_p95,distance_computations_std,graph_nodes_visited_mean,graph_nodes_visited_median,graph_nodes_visited_p95,graph_nodes_visited_std,worker_cpu_us_mean,worker_cpu_us_median,worker_cpu_us_p95,worker_cpu_us_std,local_latency_us_mean,local_latency_us_median,local_latency_us_p95,local_latency_us_std
glove-200-angular,common_m1,,1,1,0.03125,9000,10,0.5177666666666667,0.6,1.0,0.36467780452217147,0.5177666666666667,880.0774444444445,835.0,1359.0,253.33818877391326,24.186444444444444,23.0,33.0,4.417278526451203,202.85955555555554,193.0,314.0499999999993,58.38400321075611,4569.19193,4168.2395,8551.3325,2089.2680447095577
glove-200-angular,common_m1,,1,1,0.03125,9000,16,0.6000888888888889,0.7,1.0,0.35501798528601786,0.6000888888888889,1159.196,1110.0,1786.0,335.319695258785,30.918666666666667,30.0,42.0,5.432213217873949,269.1502222222222,257.0,412.0,77.29719622596322,4691.4013932222215,4311.041499999999,8614.22255,2071.6545414437182
glove-200-angular,common_m1,,1,1,0.03125,9000,20,0.6345000000000001,0.7,1.0,0.3487370467526755,0.6345,1329.6635555555556,1281.5,2033.199999999997,382.6627971996904,35.157555555555554,34.0,48.0,5.938767045834628,312.149,298.0,479.0,90.27289810531916,4709.151771222222,4370.7485,8494.587799999998,1987.2350282777986
glove-200-angular,common_m1,,1,1,0.03125,9000,24,0.6627333333333334,0.8,1.0,0.3410898806277704,0.6627333333333333,1495.9018888888888,1444.0,2290.0499999999993,428.40046378850934,39.36688888888889,37.0,53.0,6.453530755321194,354.09944444444443,338.0,549.0,104.85637478486795,4803.760666333334,4436.562,8605.669799999998,1992.6287026899347
glove-200-angular,common_m1,,1,1,0.03125,9000,32,0.7002555555555556,0.8,1.0,0.3278633543655077,0.7002555555555555,1808.0557777777778,1757.0,2739.0999999999985,510.23999821429953,47.481,45.0,63.0,7.207948937727632,434.5134444444444,417.0,669.0,127.97583815931915,5049.328355888888,4734.52,8715.688599999996,1947.5324120107664
glove-200-angular,common_m1,,1,1,0.03125,9000,40,0.7290222222222222,0.9,1.0,0.31531631306348645,0.7290222222222222,2111.168,2070.0,3157.0499999999993,586.6666606045454,55.56122222222222,53.0,72.0,7.764593904781681,528.0236666666667,506.0,823.0499999999993,159.3895305215775,5353.134650777778,5078.6295,8964.014999999996,1930.956532520499
glove-200-angular,common_m1,,1,1,0.03125,9000,80,0.8031111111111111,0.9,1.0,0.2711852357684051,0.8031111111111111,3538.9935555555558,3544.0,5085.049999999999,949.2804319077233,95.45111111111112,92.0,114.0,9.389003549595717,1143.5545555555555,1143.0,1639.0,304.6758695206035,9107.46427311111,9823.109,11700.433249999998,2322.791084256903
glove-200-angular,common_m1,,1,1,0.03125,9000,160,0.8593,1.0,1.0,0.2251867348569972,0.8593,6149.611111111111,6268.0,8566.05,1635.9325465206175,174.33466666666666,172.0,191.0,9.14343713636544,2028.5784444444444,2063.0,2789.0,510.8151682053807,15913.927486222225,17388.3625,19943.322849999997,4210.704116462718
glove-200-angular,common_m1,,1,1,0.03125,9000,320,0.9028222222222222,1.0,1.0,0.17757887623236784,0.9028222222222222,10992.990444444444,11314.0,15435.05,3056.6633978386412,332.88533333333334,331.0,345.0,7.786767008485899,3674.269333333333,3781.0,5024.0,937.1207535813562,28180.555110999998,30863.072500000002,35163.59,7638.035725928635
glove-200-angular,kmeans,20260820,2,2,0.0625,13550,10,0.5087747027470274,0.5,1.0,0.3985256374301607,0.5361111111111111,844.9932103321033,805.0,1312.0,245.24444757892388,24.20287822878229,23.0,33.0,4.285849778161284,172.75977859778598,164.0,272.0,52.761281705275636,5981.18382708487,5427.7955,11658.494599999995,3000.8411397275086
glove-200-angular,kmeans,20260820,2,2,0.0625,13550,16,0.589311368827974,0.7,1.0,0.3923503573417309,0.6168333333333333,1120.3972693726937,1075.0,1722.0,324.9950249405152,30.98952029520295,30.0,42.0,5.329514782244604,226.67667896678967,215.0,357.0,69.69363136741678,6161.672121623616,5641.486,11649.539149999999,2912.6840906522493
glove-200-angular,kmeans,20260820,2,2,0.0625,13550,20,0.6255110993967082,0.75,1.0,0.3847847937164805,0.6521444444444444,1289.877859778598,1242.0,1973.0,372.6391534193665,35.305092250922506,34.0,47.0,5.907195865964649,262.6219188191882,250.0,417.0,81.8377992990043,6250.8213678228785,5706.5935,11794.63715,2924.494637900102
glove-200-angular,kmeans,20260820,2,2,0.0625,13550,24,0.6537291337199086,0.8,1.0,0.3772414912035652,0.6800555555555555,1453.770996309963,1406.0,2221.5499999999993,418.06818494368474,39.54088560885609,38.0,53.0,6.417163616707434,295.3740221402214,282.0,469.0,92.23032473739622,6217.012000221403,5694.861,11629.986099999998,2895.1380578862804
glove-200-angular,kmeans,20260820,2,2,0.0625,13550,32,0.692886897440403,0.8888888888888888,1.0,0.3645168952350101,0.7176888888888889,1759.0016974169741,1716.0,2654.0,492.7766510499427,47.65439114391144,45.0,62.0,7.017219273096092,357.02044280442806,342.0,560.0,109.71307340094286,6251.24563394834,5684.826999999999,11717.721349999994,2882.3678459038674
glove-200-angular,kmeans,20260820,2,2,0.0625,13550,40,0.7215399461137468,0.9,1.0,0.3522321397914579,0.7456555555555555,2055.7744649446495,2018.0,3062.0,567.8811499770462,55.709963099631,53.0,71.0,7.533003179277662,423.3791143911439,406.0,671.0,131.99592677640686,6371.0966450922515,5833.8615,11878.511449999993,2887.3852545910813
glove-200-angular,kmeans,20260820,2,2,0.0625,13550,80,0.7969997364259357,1.0,1.0,0.3092460754163774,0.8174888888888889,3438.4467158671587,3440.0,4886.549999999999,907.3901472563623,95.24236162361623,92.0,112.0,8.432182614710507,755.1310701107011,719.0,1246.5499999999993,253.33301060015938,6783.993976900369,6343.922500000001,12001.624949999998,2812.5825368758224
glove-200-angular,kmeans,20260820,2,2,0.0625,13550,160,0.8571901540443976,1.0,1.0,0.2593392575201658,0.8730111111111111,5995.894169741698,6066.5,8375.55,1591.2742361949483,174.03070110701108,172.0,189.0,8.202471179881613,1596.5437638376384,1547.0,2530.5499999999993,580.3025094516397,9646.890778154982,9564.0115,17569.35265,5436.1891629195925
glove-200-angular,kmeans,20260820,2,2,0.0625,13550,320,0.9053525742400282,1.0,1.0,0.20640691158705074,0.9161222222222222,10751.068413284132,10961.0,15146.0,2981.5492139567014,332.35136531365316,331.0,342.0,5.964669347393995,3141.2339483394835,3114.0,4624.549999999999,930.9581906808971,20098.712307380072,19278.9445,33320.179599999996,10271.748808073897
glove-200-angular,kmeans,20260820,4,4,0.125,17045,10,0.5078391698910913,0.5,1.0,0.4167973806828251,0.5576666666666666,812.2878850102669,781.0,1258.0,239.24357798448938,23.308536227632736,23.0,31.0,4.070487821460353,182.72068055148137,167.0,323.0,72.06687971366301,6929.173502258727,6289.797,13671.339,3550.8238330212216
