dataset,logical_shards,twcut_full_minus_no_refinement,local_recall_full_minus_no_refinement,P_HNSW_full_minus_no_refinement,W90_full_minus_no_refinement,twcut_full_minus_kmeans,P_HNSW_full_minus_kmeans,W90_full_minus_kmeans
sift1m,2,-0.00013853127993415995,0.00031356842536778284,-0.003444444444444361,-0.5061111111110677,-0.00021962276087122892,0.0032222222222222374,-2.9132222222222026
sift1m,4,-0.017322647797995916,-0.004077881713058784,-0.05977777777777771,-45.67911111111107,0.08676411592806925,0.08866666666666667,73.1527777777776
sift1m,8,-0.05893050473079123,-0.005361894617006646,-0.05033333333333312,-74.30444444444447,0.038781221032375135,0.01822222222222214,-30.591222222222086
sift1m,16,-0.06063316592187695,-0.002443901147248795,0.16522222222222194,-2.63377777777805,0.023977087498097793,0.2662222222222219,-22.460222222222455
sift1m,32,-0.07269370435111677,-0.003769298011873201,0.6021111111111113,187.13422222222243,0.03643307685120217,0.802888888888889,170.08011111111136
glove-200-angular,2,-0.05112203834311374,-0.001645935704156054,-0.08800000000000008,-1589.9991111111103,-0.007238079539251235,0.030000000000000027,165.50655555555568
glove-200-angular,4,-0.015371900335966027,-0.004659452507594697,-0.09111111111111114,-1272.0989999999983,0.143409942597311,0.13177777777777777,738.5412222222221
glove-200-angular,8,-0.10279482919142419,-0.013668090239913111,-0.20733333333333315,-3781.4834444444423,0.07189082912766043,0.18788888888888877,293.6037777777783
glove-200-angular,16,-0.043047444126461665,-0.01249405831635908,0.0003333333333332966,-1579.9504444444465,0.06062555482509219,0.38288888888888906,1695.4161111111098
glove-200-angular,32,-0.04933520442604045,-0.008485093545141487,0.8112222222222218,4053.309222222226,0.05321861674114431,1.6152222222222221,10740.491111111114
