experiment_id,timestamp,git_commit,dataset,dataset_checksum,partition_method,partition_seed,logical_shards,physical_hosts,logical_to_physical_mapping,vector_count,dimension,distance_metric,HNSW_M,HNSW_efConstruction,efSearch,navigation_sample_size,navigation_sample_rate,k_nav,shard_size_mean,shard_size_std,shard_size_min,shard_size_max,edge_cut_ratio,traversal_weighted_edge_cut,mean_retained_degree_ratio,largest_component_fraction,mean_path_shards,mean_path_transitions,mean_local_target_recall,mean_local_distance_computations,P_exact_mean,P_exact_p95,P_HNSW_mean,P_HNSW_p95,Delta_P_mean,W90_mean,W90_p95
c23-20260821-v1-glove-200-angular-random-m2,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,random,20260820,2,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,,,,591757.0,575.0,591182,592332,0.4999751834022989,0.5001030236637634,0.5000383720407595,0.9995158485662189,2.0,5488.692555555555,0.927929764729142,10992.715024466192,1.9774444444444443,2.0,2.165,3.0,0.18755555555555556,21809.474,30467.149999999998
c23-20260821-v1-glove-200-angular-random-m4,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,random,20260820,4,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,,,,295878.5,347.1897895964108,295354,296306,0.7500329434701026,0.7502472745164442,0.2499809334432682,0.9955775766066138,4.0,8237.887333333334,0.9529389640188606,11007.037300700124,3.1453333333333333,4.0,3.432111111111111,5.0,0.2867777777777778,36839.673,59515.05
c23-20260821-v1-glove-200-angular-random-m8,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,random,20260820,8,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,,,,147939.25,317.10359111810766,147530,148470,0.8750032355631231,0.8750623699538292,0.12506303007155367,0.9733057657112633,8.0,9610.047666666667,0.974425530580896,10972.544117370451,4.929111111111111,6.0,5.2395555555555555,9.0,0.31044444444444447,57334.018,104133.09999999995
c23-20260821-v1-glove-200-angular-random-m16,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,random,20260820,16,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,,,,73969.625,215.50547411840842,73581,74353,0.937555463822211,0.9375913686212414,0.062484858163335294,0.8812798158703657,16.0,10295.555888888888,0.9894949332710338,10698.818678270012,6.610888888888889,8.0,6.809,8.0,0.1981111111111111,72824.488,104584.99999999997
c23-20260821-v1-glove-200-angular-random-m32,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,random,20260820,32,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,,,,36984.8125,176.69968122141591,36675,37353,0.9687997464768514,0.96893780582191,0.031216023139385936,0.6106290250896905,32.0,10639.541555555556,0.9971986648956097,9909.693432614693,7.6995555555555555,9.0,7.754555555555555,9.0,0.055,76668.75666666667,100983.79999999999
c23-20260821-v1-glove-200-angular-kmeans-m2,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,kmeans,20260820,2,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,,,,591757.0,236342.0,355415,828099,0.18262797795988286,0.15916042514759374,0.8193019456980056,0.9995885135283571,2.0,2191.4846666666667,0.9057685526855268,10740.146789667897,1.3296666666666668,2.0,1.6703333333333332,3.0,0.3406666666666667,15873.027444444444,28516.249999999996
c23-20260821-v1-glove-200-angular-kmeans-m4,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,kmeans,20260820,4,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,,,,295878.5,141739.88967912315,177560,528812,0.27809444113502046,0.24085503574452727,0.7220880009957564,0.9989387535762145,4.0,3432.8547777777776,0.9116130504220854,10839.154532120856,1.5385555555555555,3.0,2.1398888888888887,5.0,0.6013333333333334,21912.430888888888,54620.05
c23-20260821-v1-glove-200-angular-kmeans-m8,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,kmeans,20260820,8,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,,,,147939.25,54258.164389679645,68251,256096,0.38286345445511616,0.3510287291348217,0.6200044652829055,0.9975243216387808,8.0,4926.976111111111,0.9280811769152104,10591.630112044819,1.8713333333333333,4.0,2.699888888888889,9.0,0.8285555555555556,27734.65066666667,98262.15
c23-20260821-v1-glove-200-angular-kmeans-m16,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,kmeans,20260820,16,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,,,,73969.625,25429.31636388157,20789,119678,0.40790288227783955,0.38649411773618225,0.5950921634796098,0.9954288669166567,15.86111111111111,5368.683333333333,0.949095894191393,10068.450996781878,2.1136666666666666,5.0,3.089777777777778,17.0,0.9761111111111112,30664.237555555555,172905.44999999998
c23-20260821-v1-glove-200-angular-kmeans-m32,2026-08-22T09:46:07.674886Z,fe61fdac6760bc4d2bcd00cc512218d5fbd7e424,glove-200-angular,4839085e5a8bb293434a1a66e1aa0193afc3f07c6797a85f1dbd91656172da20,kmeans,20260820,32,4,"{""microbenchmark_execution"":""one logical shard at a time"",""physical_host_count"":4,""rule"":""logical_shard_id modulo 4""}",1183514,200,cosine,32,200,320,,,,36984.8125,15414.836654659814,15843,68153,0.4763263276198857,0.45561525352212057,0.5312960092640093,0.9946582803414239,31.68188888888889,6243.324444444444,0.968512446172294,9148.506849315068,2.418111111111111,5.0,3.308777777777778,6.0,0.8906666666666667,29511.80422222222,67109.24999999996
