scope,relation,x_metric,y_metric,expected_direction_under_claim,configuration_count,pearson_r,pearson_p_value,spearman_rho,spearman_p_value,interpretation
pooled,topology_disruption_vs_local_target_recall,traversal_weighted_cut,local_target_recall,negative,40,0.8457633815774606,6.46584766158122e-12,0.7570356472795498,1.5792674303120352e-08,consistency diagnostic only; not formal causality
pooled,topology_disruption_vs_fixed_recall_work_080,traversal_weighted_cut,distance_computations_at_fixed_local_recall_080,positive,40,0.004281653079525077,0.9790811071231845,-0.13358348968105066,0.41121451006206533,consistency diagnostic only; not formal causality
pooled,topology_disruption_vs_fixed_recall_work_090,traversal_weighted_cut,distance_computations_at_fixed_local_recall_090,positive,40,-0.052877990714318784,0.7458987928754411,-0.1407129455909944,0.3864643173754838,consistency diagnostic only; not formal causality
pooled,topology_disruption_vs_fixed_recall_work_095,traversal_weighted_cut,distance_computations_at_fixed_local_recall_095,positive,40,-0.14128976867627419,0.38450080768359207,-0.19493433395872423,0.22805534092052607,consistency diagnostic only; not formal causality
pooled,local_target_recall_vs_hnsw_fanout,local_target_recall,P_HNSW,negative,40,0.9058906713834858,9.3466278425222e-16,0.877298311444653,1.1172306923768589e-13,consistency diagnostic only; not formal causality
pooled,ann_fanout_penalty_vs_topology_disruption,Delta_P,traversal_weighted_cut,positive,40,-0.20005424286373558,0.21583080270104849,-0.2879924953095685,0.07153568557889649,consistency diagnostic only; not formal causality
sift1m,topology_disruption_vs_local_target_recall,traversal_weighted_cut,local_target_recall,negative,20,0.9604569543733783,1.9446252442831237e-11,0.9503759398496241,1.4466901765702984e-10,consistency diagnostic only; not formal causality
sift1m,topology_disruption_vs_fixed_recall_work_080,traversal_weighted_cut,distance_computations_at_fixed_local_recall_080,positive,20,-0.8648095267571778,8.679958003849043e-07,-0.8285714285714285,6.401019922542658e-06,consistency diagnostic only; not formal causality
sift1m,topology_disruption_vs_fixed_recall_work_090,traversal_weighted_cut,distance_computations_at_fixed_local_recall_090,positive,20,-0.9068198555358635,3.5716410573919315e-08,-0.8571428571428572,1.3848421203009952e-06,consistency diagnostic only; not formal causality
sift1m,topology_disruption_vs_fixed_recall_work_095,traversal_weighted_cut,distance_computations_at_fixed_local_recall_095,positive,20,-0.8894678039133886,1.5560637611986018e-07,-0.9413533834586465,6.293602987073964e-10,consistency diagnostic only; not formal causality
sift1m,local_target_recall_vs_hnsw_fanout,local_target_recall,P_HNSW,negative,20,0.9278785183945526,3.851562148473303e-09,0.9428571428571428,5.009327938313892e-10,consistency diagnostic only; not formal causality
sift1m,ann_fanout_penalty_vs_topology_disruption,Delta_P,traversal_weighted_cut,positive,20,-0.15553565042405978,0.5126015805157891,-0.19097744360902258,0.41992697220250474,consistency diagnostic only; not formal causality
glove-200-angular,topology_disruption_vs_local_target_recall,traversal_weighted_cut,local_target_recall,negative,20,0.8607014594947888,1.118693953707423e-06,0.8300751879699247,5.947594428814412e-06,consistency diagnostic only; not formal causality
glove-200-angular,topology_disruption_vs_fixed_recall_work_080,traversal_weighted_cut,distance_computations_at_fixed_local_recall_080,positive,20,-0.7809929983217361,4.816189586759053e-05,-0.7593984962406014,0.00010303152627878628,consistency diagnostic only; not formal causality
glove-200-angular,topology_disruption_vs_fixed_recall_work_090,traversal_weighted_cut,distance_computations_at_fixed_local_recall_090,positive,20,-0.8162154417096915,1.1413815307746064e-05,-0.7413533834586465,0.00018373904000045953,consistency diagnostic only; not formal causality
glove-200-angular,topology_disruption_vs_fixed_recall_work_095,traversal_weighted_cut,distance_computations_at_fixed_local_recall_095,positive,20,-0.8416809169856531,3.290774749522947e-06,-0.7834586466165413,4.392227394692123e-05,consistency diagnostic only; not formal causality
glove-200-angular,local_target_recall_vs_hnsw_fanout,local_target_recall,P_HNSW,negative,20,0.9068943049192837,3.547028703489001e-08,0.8887218045112781,1.6485274130235867e-07,consistency diagnostic only; not formal causality
glove-200-angular,ann_fanout_penalty_vs_topology_disruption,Delta_P,traversal_weighted_cut,positive,20,-0.16802861418131054,0.4788699812285569,-0.16691729323308271,0.48182491843154673,consistency diagnostic only; not formal causality
