dataset,partition_method,partition_seed,logical_shards,P_exact_mean,P_HNSW_mean,Delta_P_mean,Delta_P_median,Delta_P_p95,Delta_P_std,W90_mean,W90_median,W90_p95,W90_std,hnsw_reached_90_fraction
glove-200-angular,random,20260820,2,1.9774444444444443,2.165,0.18755555555555556,0.0,1.0,0.4001952609834108,21809.474,22640.5,30467.149999999998,6144.86428682898,0.8182222222222222
glove-200-angular,random,20260820,4,3.1453333333333333,3.432111111111111,0.2867777777777778,0.0,2.0,0.6549662040098417,36839.673,36018.5,59515.05,13010.432490670448,0.8772222222222222
glove-200-angular,random,20260820,8,4.929111111111111,5.2395555555555555,0.31044444444444447,0.0,3.0,1.0045794157104433,57334.018,54848.5,104133.09999999995,21626.013512889425,0.9397777777777778
glove-200-angular,random,20260820,16,6.610888888888889,6.809,0.1981111111111111,0.0,0.0,1.3393932245149454,72824.488,72116.0,104584.99999999997,26111.377652843432,0.9835555555555555
glove-200-angular,random,20260820,32,7.6995555555555555,7.754555555555555,0.055,0.0,0.0,1.114439320914333,76668.75666666667,78346.0,100983.79999999999,21381.469402860403,0.998
glove-200-angular,kmeans,20260820,2,1.3296666666666668,1.6703333333333332,0.3406666666666667,0.0,2.0,0.6755669224189907,15873.027444444444,13434.5,28516.249999999996,7636.746360839959,0.7951111111111111
glove-200-angular,kmeans,20260820,4,1.5385555555555555,2.1398888888888887,0.6013333333333334,0.0,4.0,1.244167905781924,21912.430888888888,14146.0,54620.05,16249.827313280774,0.8238888888888889
glove-200-angular,kmeans,20260820,8,1.8713333333333333,2.699888888888889,0.8285555555555556,0.0,7.0,2.098530205808665,27734.65066666667,16694.5,98262.15,28121.977308590074,0.8791111111111111
glove-200-angular,kmeans,20260820,16,2.1136666666666666,3.089777777777778,0.9761111111111112,0.0,13.0,3.4085165213833437,30664.237555555555,15948.5,172905.44999999998,41792.24759599707,0.9326666666666666
glove-200-angular,kmeans,20260820,32,2.418111111111111,3.308777777777778,0.8906666666666667,0.0,1.0,4.836716241418345,29511.80422222222,16930.5,67109.24999999996,49472.461093992075,0.9708888888888889
glove-200-angular,orion,1,2,1.3083333333333333,1.702888888888889,0.39455555555555555,0.0,2.0,0.7540949853391018,16066.35611111111,13602.5,28448.299999999996,7824.9456050481685,0.7877777777777778
glove-200-angular,orion,1,4,1.7824444444444445,2.2808888888888887,0.49844444444444447,0.0,3.0,1.0402979392794818,22725.99,18362.5,53318.14999999998,15888.363144309596,0.8315555555555556
glove-200-angular,orion,1,8,1.9457777777777778,2.884777777777778,0.939,0.0,7.0,2.1836134934756397,27994.75811111111,17652.0,91625.45,27396.64895090965,0.8606666666666667
glove-200-angular,orion,1,16,2.1724444444444444,3.480777777777778,1.3083333333333333,0.0,13.0,3.8469811396585887,32466.361555555555,15851.0,163128.24999999997,44301.730530106455,0.9061111111111111
glove-200-angular,orion,1,32,2.4255555555555555,4.931555555555556,2.506,0.0,29.0,8.034354540900527,40303.01977777778,16205.0,266902.35,70228.23271399748,0.9163333333333333
glove-200-angular,orion_no_refinement,1,2,1.4277777777777778,1.7864444444444445,0.3586666666666667,0.0,2.0,0.704132563276736,17631.794555555556,16652.5,30053.249999999996,8369.87927497652,0.7938888888888889
glove-200-angular,orion_no_refinement,1,4,1.866,2.3721111111111113,0.5061111111111111,0.0,3.0,1.0552337228673765,24004.921,20671.5,52215.1,15069.82723714594,0.8347777777777777
glove-200-angular,orion_no_refinement,1,8,2.4067777777777777,3.099,0.6922222222222222,0.0,6.0,1.794233217702251,31850.291555555556,23178.0,96532.45,26559.22524844963,0.8903333333333333
glove-200-angular,orion_no_refinement,1,16,2.441,3.4703333333333335,1.0293333333333334,0.0,12.0,3.4036623412632068,33943.11388888889,19311.5,171876.19999999995,42933.75855890387,0.9257777777777778
