dataset,partition_method,partition_seed,logical_shards,measurement_query_count,common_ef_search,P_HNSW_mean,P_HNSW_median,P_HNSW_p95,P_HNSW_std,hnsw_reached_90_fraction
glove-200-angular,random,20260820,2,9000,320,2.165,2.0,3.0,0.41392095326952894,0.8182222222222222
glove-200-angular,random,20260820,4,9000,320,3.432111111111111,3.0,5.0,0.7708955750646912,0.8772222222222222
glove-200-angular,random,20260820,8,9000,320,5.2395555555555555,5.0,9.0,1.2944976813086921,0.9397777777777778
glove-200-angular,random,20260820,16,9000,320,6.809,7.0,8.0,1.6832729692147048,0.9835555555555555
glove-200-angular,random,20260820,32,9000,320,7.754555555555555,8.0,9.0,1.4743289706101028,0.998
glove-200-angular,kmeans,20260820,2,9000,320,1.6703333333333332,1.0,3.0,0.7942067321128256,0.7951111111111111
glove-200-angular,kmeans,20260820,4,9000,320,2.1398888888888887,2.0,5.0,1.4568947147534523,0.8238888888888889
glove-200-angular,kmeans,20260820,8,9000,320,2.699888888888889,2.0,9.0,2.513748857978389,0.8791111111111111
glove-200-angular,kmeans,20260820,16,9000,320,3.089777777777778,2.0,17.0,3.9396201107827578,0.9326666666666666
glove-200-angular,kmeans,20260820,32,9000,320,3.308777777777778,2.0,6.0,5.361642643771232,0.9708888888888889
glove-200-angular,orion,1,2,9000,320,1.702888888888889,1.0,3.0,0.7957892580387577,0.7877777777777778
glove-200-angular,orion,1,4,9000,320,2.2808888888888887,2.0,5.0,1.3997584271298342,0.8315555555555556
glove-200-angular,orion,1,8,9000,320,2.884777777777778,2.0,9.0,2.61605119206528,0.8606666666666667
glove-200-angular,orion,1,16,9000,320,3.480777777777778,2.0,17.0,4.52441125151544,0.9061111111111111
glove-200-angular,orion,1,32,9000,320,4.931555555555556,2.0,33.0,8.60365450919435,0.9163333333333333
glove-200-angular,orion_no_refinement,1,2,9000,320,1.7864444444444445,2.0,3.0,0.7616900960818224,0.7938888888888889
glove-200-angular,orion_no_refinement,1,4,9000,320,2.3721111111111113,2.0,5.0,1.34778830718613,0.8347777777777777
glove-200-angular,orion_no_refinement,1,8,9000,320,3.099,2.0,9.0,2.323187250309368,0.8903333333333333
glove-200-angular,orion_no_refinement,1,16,9000,320,3.4703333333333335,2.0,17.0,4.080605605925561,0.9257777777777778
glove-200-angular,orion_no_refinement,1,32,9000,320,4.130777777777777,2.0,8.0,6.564441878243685,0.954
sift1m,random,20260820,2,9000,24,2.115222222222222,2.0,3.0,0.3681054431599058,0.868
sift1m,random,20260820,4,9000,24,3.3486666666666665,3.0,5.0,0.6795328460706582,0.9366666666666666
sift1m,random,20260820,8,9000,24,5.081222222222222,5.0,7.0,1.1236659525141386,0.9721111111111111
sift1m,random,20260820,16,9000,24,6.723777777777777,7.0,8.0,1.4871042538196153,0.9898888888888889
sift1m,random,20260820,32,9000,24,7.787333333333334,8.0,9.0,1.7199145973629684,0.9967777777777778
sift1m,kmeans,20260820,2,9000,24,1.4334444444444445,1.0,3.0,0.8231466200044142,0.784
sift1m,kmeans,20260820,4,9000,24,1.9108888888888889,1.0,5.0,1.5479209314033269,0.8087777777777778
sift1m,kmeans,20260820,8,9000,24,2.6496666666666666,1.0,9.0,2.8382388710059074,0.8385555555555556
sift1m,kmeans,20260820,16,9000,24,3.5834444444444444,2.0,17.0,5.1130479409950365,0.8754444444444445
sift1m,kmeans,20260820,32,9000,24,4.781555555555555,2.0,33.0,8.971340406614724,0.9091111111111111
sift1m,orion,1,2,9000,24,1.4377777777777778,1.0,3.0,0.8267174416903648,0.7813333333333333
sift1m,orion,1,4,9000,24,2.006666666666667,1.0,5.0,1.4605021967346254,0.8248888888888889
sift1m,orion,1,8,9000,24,2.718888888888889,2.0,9.0,2.818683476946263,0.8387777777777777
sift1m,orion,1,16,9000,24,3.8824444444444444,2.0,17.0,5.359183460008128,0.8593333333333333
sift1m,orion,1,32,9000,24,5.628777777777778,2.0,33.0,9.89349251082389,0.8854444444444445
sift1m,orion_no_refinement,1,2,9000,24,1.4337777777777778,1.0,3.0,0.8238481221651609,0.7834444444444445
sift1m,orion_no_refinement,1,4,9000,24,2.0643333333333334,2.0,5.0,1.4426730976443232,0.8273333333333334
sift1m,orion_no_refinement,1,8,9000,24,2.7351111111111113,2.0,9.0,2.671714075039736,0.8547777777777777
sift1m,orion_no_refinement,1,16,9000,24,3.654888888888889,2.0,17.0,4.9052815627521875,0.8842222222222222
sift1m,orion_no_refinement,1,32,9000,24,4.899111111111111,2.0,33.0,8.562699424369557,0.9163333333333333
