dataset,logical_shards,sensitivity_parameter,factor,value,alpha,beta,navigation_k,recall_at_10,recall_gate_valid,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_max_shard_distance_computations
glove-200-angular,4,navigation_k,0.5,24,8,8,24,0.8591,False,2.573777777777778,4.0,8060.205444444445,8579.099999999999
glove-200-angular,4,navigation_k,1.0,48,8,8,48,0.9011333333333333,True,2.9133333333333336,4.0,14276.54388888889,15318.149999999998
glove-200-angular,4,navigation_k,2.0,96,8,8,96,0.9344111111111112,True,3.265111111111111,4.0,23827.618,22931.0
glove-200-angular,4,alpha,0.5,4,4,8,48,0.8617555555555556,False,2.9133333333333336,4.0,8278.769666666667,8453.099999999999
glove-200-angular,4,alpha,1.0,8,8,8,48,0.9011333333333333,True,2.9133333333333336,4.0,14276.54388888889,15318.149999999998
glove-200-angular,4,alpha,2.0,16,16,8,48,0.9299333333333333,True,2.9133333333333336,4.0,22913.360666666667,22822.1
glove-200-angular,4,beta,0.5,4,8,4,48,0.8994333333333333,False,2.9133333333333336,4.0,13909.01911111111,15165.64999999999
glove-200-angular,4,beta,1.0,8,8,8,48,0.9011333333333333,True,2.9133333333333336,4.0,14276.54388888889,15318.149999999998
glove-200-angular,4,beta,2.0,16,8,16,48,0.9039222222222223,True,2.9133333333333336,4.0,14998.940111111111,15636.0
glove-200-angular,4,logical_shards,,4,8,8,48,0.9011333333333333,True,2.9133333333333336,4.0,14276.54388888889,15318.149999999998
glove-200-angular,8,navigation_k,0.5,24,8,16,24,0.8584555555555556,False,3.680888888888889,6.0,9716.439888888888,7955.149999999998
glove-200-angular,8,navigation_k,1.0,48,8,16,48,0.900411111111111,True,4.5215555555555556,7.0,16515.857333333333,13611.0
glove-200-angular,8,navigation_k,2.0,96,8,16,96,0.9363555555555556,True,5.541333333333333,8.0,27701.737555555555,20622.05
glove-200-angular,8,alpha,0.5,4,4,16,48,0.8642222222222222,False,4.5215555555555556,7.0,10472.756333333333,7775.0
glove-200-angular,8,alpha,1.0,8,8,16,48,0.900411111111111,True,4.5215555555555556,7.0,16515.857333333333,13611.0
glove-200-angular,8,alpha,2.0,16,16,16,48,0.9295,True,4.5215555555555556,7.0,26010.966,20896.1
glove-200-angular,8,beta,0.5,8,8,8,48,0.8956888888888889,False,4.5215555555555556,7.0,15296.829222222223,13331.099999999999
glove-200-angular,8,beta,1.0,16,8,16,48,0.900411111111111,True,4.5215555555555556,7.0,16515.857333333333,13611.0
glove-200-angular,8,beta,2.0,32,8,32,48,0.9079222222222223,True,4.5215555555555556,7.0,18880.63266666667,14167.0
glove-200-angular,8,logical_shards,,8,8,16,48,0.900411111111111,True,4.5215555555555556,7.0,16515.857333333333,13611.0
glove-200-angular,16,navigation_k,0.5,24,8,32,24,0.8704555555555556,False,4.5568888888888885,9.0,12664.608333333334,8243.0
glove-200-angular,16,navigation_k,1.0,48,8,32,48,0.905788888888889,True,6.218111111111111,11.0,20798.209777777778,13249.05
glove-200-angular,16,navigation_k,2.0,96,8,32,96,0.9374555555555556,True,8.574555555555555,13.0,34126.68411111111,18277.149999999998
glove-200-angular,16,alpha,0.5,4,4,32,48,0.8801555555555555,False,6.218111111111111,11.0,15259.101222222222,8051.0
glove-200-angular,16,alpha,1.0,8,8,32,48,0.905788888888889,True,6.218111111111111,11.0,20798.209777777778,13249.05
glove-200-angular,16,alpha,2.0,16,16,32,48,0.9277555555555554,True,6.218111111111111,11.0,29337.475666666665,18749.199999999997
glove-200-angular,16,beta,0.5,16,8,16,48,0.8971444444444444,False,6.218111111111111,11.0,17411.658666666666,12772.249999999996
glove-200-angular,16,beta,1.0,32,8,32,48,0.905788888888889,True,6.218111111111111,11.0,20798.209777777778,13249.05
glove-200-angular,16,beta,2.0,64,8,64,48,0.9190666666666667,True,6.218111111111111,11.0,27170.97333333333,14212.249999999996
glove-200-angular,16,logical_shards,,16,8,32,48,0.905788888888889,True,6.218111111111111,11.0,20798.209777777778,13249.05
glove-200-angular,32,navigation_k,0.5,24,16,4,24,0.8644444444444445,False,5.5345555555555555,11.0,13798.994555555555,11321.05
glove-200-angular,32,navigation_k,1.0,48,16,4,48,0.9060888888888889,True,8.064666666666668,16.0,24175.530555555557,15906.099999999984
glove-200-angular,32,navigation_k,2.0,96,16,4,96,0.9426,True,12.273666666666667,21.0,41459.17411111111,17175.249999999996
glove-200-angular,32,alpha,0.5,8,8,4,48,0.8749444444444444,False,8.064666666666668,16.0,14936.865555555556,10946.149999999998
glove-200-angular,32,alpha,1.0,16,16,4,48,0.9060888888888889,True,8.064666666666668,16.0,24175.530555555557,15906.099999999984
glove-200-angular,32,alpha,2.0,32,32,4,48,0.926688888888889,True,8.064666666666668,16.0,36007.77055555556,17439.05
glove-200-angular,32,beta,0.5,2,16,2,48,0.9047222222222222,True,8.064666666666668,16.0,23631.223222222223,15886.149999999998
glove-200-angular,32,beta,1.0,4,16,4,48,0.9060888888888889,True,8.064666666666668,16.0,24175.530555555557,15906.099999999984
glove-200-angular,32,beta,2.0,8,16,8,48,0.9085555555555556,True,8.064666666666668,16.0,25248.920444444444,15949.149999999998
glove-200-angular,32,logical_shards,,32,16,4,48,0.9060888888888889,True,8.064666666666668,16.0,24175.530555555557,15906.099999999984
sift1m,4,navigation_k,0.5,50,1,4,50,0.9720555555555556,True,1.4578888888888888,3.0,1489.5015555555556,1844.0499999999993
sift1m,4,navigation_k,1.0,100,1,4,100,0.9913444444444445,True,1.5358888888888889,3.0,2534.556777777778,3236.0
sift1m,4,navigation_k,2.0,200,1,4,200,0.9976333333333334,True,1.6196666666666666,3.0,4382.886666666666,5692.049999999999
sift1m,4,alpha,0.5,1,1,4,100,0.9913444444444445,True,1.5358888888888889,3.0,2534.556777777778,3236.0
sift1m,4,alpha,1.0,1,1,4,100,0.9913444444444445,True,1.5358888888888889,3.0,2534.556777777778,3236.0
sift1m,4,alpha,2.0,2,2,4,100,0.9974888888888889,True,1.5358888888888889,3.0,4285.644555555556,5638.149999999998
sift1m,4,beta,0.5,2,1,2,100,0.9908222222222222,True,1.5358888888888889,3.0,2482.7934444444445,3185.0
sift1m,4,beta,1.0,4,1,4,100,0.9913444444444445,True,1.5358888888888889,3.0,2534.556777777778,3236.0
sift1m,4,beta,2.0,8,1,8,100,0.9922222222222222,True,1.5358888888888889,3.0,2641.7795555555554,3340.0
sift1m,4,logical_shards,,4,1,4,100,0.9913444444444445,True,1.5358888888888889,3.0,2534.556777777778,3236.0
sift1m,8,navigation_k,0.5,50,1,4,50,0.97,True,2.1991111111111112,4.0,1656.9514444444444,1690.0499999999993
sift1m,8,navigation_k,1.0,100,1,4,100,0.9901666666666666,True,2.433777777777778,5.0,2734.318,2926.0499999999993
sift1m,8,navigation_k,2.0,200,1,4,200,0.9969111111111112,True,2.6866666666666665,5.0,4637.226555555556,5091.149999999998
sift1m,8,alpha,0.5,1,1,4,100,0.9901666666666666,True,2.433777777777778,5.0,2734.318,2926.0499999999993
sift1m,8,alpha,1.0,1,1,4,100,0.9901666666666666,True,2.433777777777778,5.0,2734.318,2926.0499999999993
sift1m,8,alpha,2.0,2,2,4,100,0.9969,True,2.433777777777778,5.0,4481.489888888889,5085.049999999999
sift1m,8,beta,0.5,2,1,2,100,0.9893555555555557,True,2.433777777777778,5.0,2664.0355555555557,2877.0
sift1m,8,beta,1.0,4,1,4,100,0.9901666666666666,True,2.433777777777778,5.0,2734.318,2926.0499999999993
sift1m,8,beta,2.0,8,1,8,100,0.9913888888888889,True,2.433777777777778,5.0,2891.2324444444444,3018.0
sift1m,8,logical_shards,,8,1,4,100,0.9901666666666666,True,2.433777777777778,5.0,2734.318,2926.0499999999993
sift1m,16,navigation_k,0.5,50,1,4,50,0.965288888888889,True,3.324222222222222,6.0,1898.2117777777778,1465.0
sift1m,16,navigation_k,1.0,100,1,4,100,0.9876222222222223,True,3.884333333333333,6.049999999999272,3028.9535555555553,2485.0499999999993
sift1m,16,navigation_k,2.0,200,1,4,200,0.9963000000000001,True,4.503555555555556,7.0,5003.339888888889,4238.049999999999
sift1m,16,alpha,0.5,1,1,4,100,0.9876222222222223,True,3.884333333333333,6.049999999999272,3028.9535555555553,2485.0499999999993
sift1m,16,alpha,1.0,1,1,4,100,0.9876222222222223,True,3.884333333333333,6.049999999999272,3028.9535555555553,2485.0499999999993
sift1m,16,alpha,2.0,2,2,4,100,0.9958444444444445,True,3.884333333333333,6.049999999999272,4727.129222222222,4264.0
sift1m,16,beta,0.5,2,1,2,100,0.9863777777777777,True,3.884333333333333,6.049999999999272,2934.568888888889,2445.0
sift1m,16,beta,1.0,4,1,4,100,0.9876222222222223,True,3.884333333333333,6.049999999999272,3028.9535555555553,2485.0499999999993
sift1m,16,beta,2.0,8,1,8,100,0.9895444444444444,True,3.884333333333333,6.049999999999272,3249.2896666666666,2574.0
sift1m,16,logical_shards,,16,1,4,100,0.9876222222222223,True,3.884333333333333,6.049999999999272,3028.9535555555553,2485.0499999999993
sift1m,32,navigation_k,0.5,50,1,4,50,0.9611777777777778,True,4.857333333333333,9.0,2225.6724444444444,1318.0499999999993
sift1m,32,navigation_k,1.0,100,1,4,100,0.9844555555555556,True,5.994777777777778,11.0,3458.9093333333335,2200.0499999999993
sift1m,32,navigation_k,2.0,200,1,4,200,0.9951111111111111,True,7.356111111111111,13.0,5575.597555555555,3626.0499999999993
sift1m,32,alpha,0.5,1,1,4,100,0.9844555555555556,True,5.994777777777778,11.0,3458.9093333333335,2200.0499999999993
