policy,config_id,config,query_count,recall_at_10,p5_per_query_recall,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_aggregate_distance_computations,max_shard_distance_computations_mean,p95_max_shard_distance_computations,p99_max_shard_distance_computations,aggregate_nodes_visited_per_query,p95_max_shard_nodes_visited,worker_cpu_time_us_per_query
P0,0b49a0aa365c7f1e,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.4496,0.0,1.0,1.0,555.516,860.05,555.516,860.05,1060.07,12.415,17.0,251.785
P0,c2fa85a3f0ab9945,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.4995,0.0,1.0,1.0,781.259,1217.05,781.259,1217.05,1433.03,18.392,24.0,315.018
P0,5c045e7c45e353d8,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.566,0.0,1.0,1.0,1337.502,2021.1499999999999,1337.502,2021.1499999999999,2456.1,34.013,40.0,473.586
P0,21ab6f22997bc6b1,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.6189,0.0,1.0,1.0,2365.971,3499.1499999999987,2365.971,3499.1499999999987,4059.18,65.308,71.0,775.983
P0,417e843a3088d802,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.6533,0.0,1.0,1.0,4256.153,6460.699999999999,4256.153,6460.699999999999,7010.259999999998,128.721,132.0,1339.362
P0,c324b6c6b7211da0,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.6801,0.1,1.0,1.0,7629.965,11734.75,7629.965,11734.75,12641.03,256.526,259.0,2390.285
P0,b5b284e41d984446,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.6935,0.1,1.0,1.0,13361.81,20741.049999999996,13361.81,20741.049999999996,22410.37,512.276,513.0,4239.494
P0,0d52546b9c48598c,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.5404,0.0,2.0,2.0,1093.204,1562.1,638.325,960.05,1137.02,25.53,21.0,476.899
P0,f8ff35239f22d22d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.5989,0.0,2.0,2.0,1557.564,2215.0,898.212,1342.3499999999997,1579.07,37.864,30.0,607.888
P0,08f3182b3aa721f6,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.6752999999999999,0.1,2.0,2.0,2677.201,3765.2999999999997,1535.633,2216.1,2531.5799999999995,69.434,46.0,928.155
P0,da67bf187de3789d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.7373,0.2,2.0,2.0,4754.694,6655.2,2730.561,3852.6499999999996,4323.04,132.532,80.04999999999995,1542.724
P0,af38d3533799fe47,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.7786000000000001,0.2,2.0,2.0,8575.068,12002.5,4940.019,6734.1,7232.0599999999995,258.88,141.0,2671.676
P0,dcb39bd612eae981,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.8105,0.3,2.0,2.0,15482.706,21856.899999999998,8977.298,12326.15,12793.27,513.985,265.0,4790.511
P0,0829f8f57ab849e7,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.829,0.3,2.0,2.0,27385.471,38859.75,15947.749,22021.55,22720.38,1025.35,520.0,8636.142
P0,0d78a84c38598d90,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.5681,0.0,3.0,3.0,1639.132,2216.2,691.137,987.0999999999999,1151.09,39.473,24.0,697.26
P0,9ded195fc9ecf68a,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.6301,0.1,3.0,3.0,2354.123,3187.25,981.247,1441.0,1635.1699999999998,58.37,33.0,903.732
P0,c6de7039a08707d0,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.7112999999999999,0.2,3.0,3.0,4057.218,5540.25,1671.924,2295.2999999999997,2624.4299999999994,106.387,51.0,1384.913
P0,68ad1afbe4eba899,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.7794,0.29500000000000026,3.0,3.0,7187.982,9738.1,2961.327,4009.999999999999,4391.2,200.933,85.0,2305.785
P0,85591d2ad956ddf2,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.8244,0.3,3.0,3.0,12958.305,17495.399999999994,5330.295,6902.299999999999,7287.139999999999,390.074,146.04999999999995,4001.738
P0,0f1cf690f7612a1e,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.8593,0.4,3.0,3.0,23457.461,31937.85,9685.524,12553.65,12879.279999999999,772.277,268.0,7201.782
P0,4ce505dd83497fff,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.8795,0.5,3.0,3.0,41573.178,57084.299999999996,17235.565,22392.15,22948.05,1539.023,522.0,12994.382
P0,99f64554f021592d,"{""policy"":""P0"",""fixed_p"":4,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.5831000000000001,0.1,4.0,4.0,2207.351,2859.25,743.689,1047.0,1240.2799999999997,54.323,27.0,921.336
P0,a3004f723fadd8fe,"{""policy"":""P0"",""fixed_p"":4,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.6477,0.1,4.0,4.0,3179.195,4151.699999999999,1057.111,1482.1,1676.06,79.977,35.0,1201.133
P0,e95ef758d4a66d7b,"{""policy"":""P0"",""fixed_p"":4,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.7313999999999999,0.2,4.0,4.0,5480.701,7161.4,1794.732,2401.0,2667.2999999999997,144.491,54.0,1852.48
P0,a6b99609271165a3,"{""policy"":""P0"",""fixed_p"":4,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.8018,0.3,4.0,4.0,9690.363,12753.0,3149.106,4076.05,4466.12,270.592,89.0,3088.521
