dataset,logical_shards,sensitivity_parameter,factor,value,alpha,beta,navigation_k,recall_at_10,recall_gate_valid,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_max_shard_distance_computations
glove-200-angular,16,alpha,0.5,4,4,32,48,0.8801555555555555,False,6.218111111111111,11.0,15259.101222222222,8051.0
glove-200-angular,16,alpha,1.0,8,8,32,48,0.905788888888889,True,6.218111111111111,11.0,20798.209777777778,13249.05
glove-200-angular,16,alpha,2.0,16,16,32,48,0.9277555555555554,True,6.218111111111111,11.0,29337.475666666665,18749.199999999997
glove-200-angular,16,beta,0.5,16,8,16,48,0.8971444444444444,False,6.218111111111111,11.0,17411.658666666666,12772.249999999996
glove-200-angular,16,beta,1.0,32,8,32,48,0.905788888888889,True,6.218111111111111,11.0,20798.209777777778,13249.05
glove-200-angular,16,beta,2.0,64,8,64,48,0.9190666666666667,True,6.218111111111111,11.0,27170.97333333333,14212.249999999996
glove-200-angular,16,navigation_k,0.5,24,8,32,24,0.8704555555555556,False,4.5568888888888885,9.0,12664.608333333334,8243.0
glove-200-angular,16,navigation_k,1.0,48,8,32,48,0.905788888888889,True,6.218111111111111,11.0,20798.209777777778,13249.05
glove-200-angular,16,navigation_k,2.0,96,8,32,96,0.9374555555555556,True,8.574555555555555,13.0,34126.68411111111,18277.149999999998
glove-200-angular,16,logical_shards,,16,8,32,48,0.905788888888889,True,6.218111111111111,11.0,20798.209777777778,13249.05
