policy,query_count,concurrency,wall_seconds,qps,recall_at_10,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,response_bytes_per_query,response_distance_computations_per_query,response_nodes_visited_per_query,response_worker_cpu_time_us_per_query
P0,1000,8,0.883447038999293,1131.9297658552684,0.9285,6903.096205,6245.17,13637.753,16647.77575,1331.133,1658.258,64.366,574.656
P0,1000,16,0.817847966995032,1222.7211417719088,0.9285,12587.299014,11316.1415,26113.959249999996,33628.06561,1331.136,1658.258,64.366,581.224
P0,1000,32,0.6209327320029843,1610.480408681683,0.9285,17267.209935,14721.902999999998,39665.93364999999,55278.18186999998,1331.129,1658.258,64.366,583.169
P0,1000,64,0.5206914099981077,1920.5233287863039,0.9285,16121.813232999999,13011.077000000001,39426.89764999999,55974.00422999997,1331.125,1658.258,64.366,573.704
P1,1000,8,0.9323626999976113,1072.543978864193,0.9412,7275.352245,6665.4745,13631.56805,17700.19071,1330.904,1460.787,51.913,586.565
P1,1000,16,0.847130924994417,1180.4550754732397,0.9412,13023.728570000001,11459.042,27295.91319999999,39523.69698,1330.874,1460.787,51.913,578.796
P1,1000,32,0.8569849759951467,1166.8816000406327,0.9412,12147.571908,6373.7055,37883.2281,60647.36358,1330.866,1460.787,51.913,569.898
P1,1000,64,0.5367315490002511,1863.1287873102688,0.9412,16847.392649,13535.597,40095.872749999995,61270.570479999995,1330.803,1460.787,51.913,550.891
P2,1000,8,0.9289317820002907,1076.5053143586888,0.9361,7248.983730000001,6590.905500000001,13491.03275,16614.923029999994,1332.398,2291.998,96.141,772.599
P2,1000,16,0.7896641150000505,1266.361204725551,0.9361,12249.945566,10704.877,25458.321799999998,34429.438879999994,1332.425,2291.998,96.141,769.571
P2,1000,32,0.6492543369968189,1540.2284482620246,0.9361,18247.068443,15008.3105,45245.358199999995,62231.53775999999,1332.491,2291.998,96.141,766.749
P2,1000,64,0.6392664039958618,1564.2930611546315,0.9361,17719.449585000002,13768.0285,44818.47569999997,73884.33147,1332.452,2291.998,96.141,757.149
P3,1000,8,0.9289109449964599,1076.5294621475377,0.9899,7275.990019999999,6686.695,13492.740600000001,17168.0127,1333.045,2655.553,109.786,922.759
P3,1000,16,0.979506649004179,1020.922115247156,0.9899,14749.41828,12639.541000000001,29013.49399999999,81245.48397999999,1333.077,2655.553,109.786,929.786
P3,1000,32,0.8156315640007961,1226.0437728707418,0.9899,11058.416545,6686.8805,33547.68844999999,47922.928869999996,1333.035,2655.553,109.786,912.368
P3,1000,64,0.5184237789944746,1928.9238659916064,0.9899,18740.16218,15425.827000000001,46617.12099999999,60691.23162,1333.002,2655.553,109.786,898.91
