policy,query_count,concurrency,wall_seconds,qps,client_cpu_utilization_pct,recall_at_10,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,response_bytes_per_query,response_distance_computations_per_query,response_nodes_visited_per_query,response_worker_cpu_time_us_per_query
P0,1000,64,0.526706334996561,1898.59117606119,14.760337798197867,0.9285,18172.204436,14844.222000000002,42899.89064999999,56308.75156,1331.115,1658.258,64.366,563.316
P0,1000,128,0.5160138659994118,1937.9324198259817,14.81225864967107,0.9285,15391.700130000001,13158.999,35090.74989999999,50343.18306999999,1331.114,1658.258,64.366,553.928
P0,1000,256,0.5172885720021441,1933.1569536313962,14.784655053172727,0.9285,16508.740556,13883.594000000001,37421.05004999999,54586.04057999999,1331.113,1658.258,64.366,558.345
P0,1000,512,0.5739907669994864,1742.1883024834349,14.742266555495984,0.9285,17804.253149,13358.7145,44783.39739999996,84450.13079,1331.146,1658.258,64.366,558.427
P1,1000,64,0.5225098679948132,1913.8394530951261,14.737499058250156,0.9412,16820.472589,14833.3805,37810.35414999999,53759.14371,1330.804,1460.787,51.913,535.95
P1,1000,128,0.5184689500019886,1928.755810731124,14.832516609664765,0.9412,15335.306416,12678.859,37151.51234999998,56132.15269,1330.789,1460.787,51.913,530.372
P1,1000,256,0.5251324829951045,1904.2813620983381,14.799268830552244,0.9412,17368.167568999997,13910.8955,43945.926699999996,58389.054069999984,1330.795,1460.787,51.913,532.367
P1,1000,512,0.5289679799971054,1890.4735972968952,14.871257093941827,0.9412,16023.320329,13040.6975,37509.88535,56576.44076999997,1330.805,1460.787,51.913,531.505
P2,1000,64,0.5188835250010015,1927.2147829285384,14.756448111327007,0.9361,14816.75714,12678.085500000001,34341.15795,45223.932940000006,1332.385,2291.998,96.141,740.906
P2,1000,128,0.5202675330001512,1922.0880346567953,14.836012143578344,0.9361,17637.064154,14574.0845,40682.90529999999,57441.29023,1332.382,2291.998,96.141,738.94
P2,1000,256,0.6051494729981641,1652.4842945753235,14.731554120558796,0.9361,19252.654607,14333.9655,51499.41134999999,82483.07843,1332.373,2291.998,96.141,745.443
P2,1000,512,0.5215577839990146,1917.333094585526,14.832588161534826,0.9361,16064.558224,13449.883,36070.14004999998,55423.41865999997,1332.402,2291.998,96.141,740.32
P3,1000,64,0.5241403960026219,1907.8857642466423,14.818396553165162,0.9899,21566.232899,18078.184,50123.77184999995,68686.66093,1332.829,2655.553,109.786,871.67
P3,1000,128,0.525735369999893,1902.0976275577646,14.819750999445805,0.9899,16669.525111,14205.127499999999,40187.45909999999,50912.78913,1332.849,2655.553,109.786,870.013
P3,1000,256,0.5307381180027733,1884.168417680478,14.805249912272048,0.9899,16018.643776,13646.692,37158.98574999999,48284.52867,1332.847,2655.553,109.786,869.703
P3,1000,512,0.5920777320061461,1688.9674209021248,14.585364865420198,0.9899,17005.685366,14575.983,37572.71139999999,55533.02761,1332.839,2655.553,109.786,869.917
