policy,repetition,query_count,concurrency,wall_seconds,qps,client_cpu_utilization_pct,recall_at_10,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,response_bytes_per_query,response_distance_computations_per_query,response_nodes_visited_per_query,response_worker_cpu_time_us_per_query,controller_combined_cpu_utilization_pct,mean_worker_cpu_utilization_pct,max_worker_cpu_utilization_pct,cluster_network_bytes_per_query
P0,1,18000,128,14.415493496002455,1248.6565239678796,14.780015325807872,0.9311999999999999,24694.32405138889,7046.745,109862.22604999997,173973.92820999998,1332.2480555555555,1587.7634444444445,64.36344444444444,552.1013888888889,8.97760917463943,3.5205176995205494,6.127666275027557,7137.300111111111
P0,2,18000,128,13.106514131999575,1373.3628803751085,14.524350142440008,0.9311999999999999,12892.33370361111,5181.153,58318.57479999998,119541.99005999998,1332.2441666666666,1587.7634444444445,64.36344444444444,548.2561666666667,9.066738275069003,3.8530458588301655,6.714218526278308,7139.368166666667
P0,3,18000,128,14.056470657997124,1280.5490395100915,15.37734184644176,0.9311999999999999,48888.82300705555,26534.693,160272.34849999996,226070.94069999998,1332.2470555555556,1587.7634444444445,64.36344444444444,553.1043888888889,9.195053519815518,3.608460719360227,6.272318906489244,7139.115444444445
P1,1,18000,128,14.251833126996644,1262.995422385585,15.20008684547033,0.9486444444444444,42480.874095499996,16816.9365,150360.24884999997,225847.6393299998,1332.1405,1381.1913333333334,50.70366666666666,531.8153333333333,10.770544296454851,4.020925241329416,5.180620112192724,7329.817777777777
P1,2,18000,128,12.632459755004675,1424.900640816911,15.196499239702431,0.9486444444444444,37920.2056275,10973.616,141172.48884999997,209114.8311199998,1332.1285,1381.1913333333334,50.70366666666666,524.406888888889,11.108947588591102,4.496792917392875,5.785360472205699,7330.7215
P1,3,18000,128,14.590592776999983,1233.6716043761064,14.605257537817188,0.9486444444444444,18173.256864555555,6033.43,86233.00955,150485.40817999968,1332.1352777777777,1381.1913333333334,50.70366666666666,531.7025,10.469074309358346,3.9370877744595494,5.054626712374325,7331.170611111111
P1,4,18000,128,13.065271553998173,1377.698115619474,15.742169551352344,0.9486444444444444,57740.006291833335,40261.16,175687.3893,241169.00805,1332.1347777777778,1381.1913333333334,50.70366666666666,528.7251666666667,11.130014869240659,4.360584622122748,5.600087710712491,7333.2735
P1,5,18000,128,16.50109433200123,1090.8367431784134,14.431586706990196,0.9486444444444444,13753.555146944445,6497.1945,54940.954849999995,98980.04728999961,1332.1631666666667,1381.1913333333334,50.70366666666666,540.1041666666666,10.059938853756481,3.501451274399846,4.499701565610955,7328.028777777778
P2,1,18000,64,15.641721790001611,1150.76845386074,14.597675422372824,0.9392555555555555,18494.953962777778,6904.2845,71920.2332,110814.05949999944,1333.4879444444443,2199.4505555555556,96.56966666666666,728.6186111111111,8.897144990497388,3.768411510945201,6.776747561624358,7130.3285
P2,2,18000,64,16.78636100800213,1072.2991118455823,14.552968393271483,0.9392555555555555,16693.9976425,6706.911,70219.62329999988,117753.76923999966,1333.4877777777779,2199.4505555555556,96.56966666666666,730.8130555555556,8.677679849565175,3.521377330258332,6.334507716272977,7137.748277777778
P2,3,18000,64,15.022539412006154,1198.1995524414622,14.723749943915898,0.9392555555555555,20134.49378316667,7043.1715,77363.52554999998,118985.61902999987,1333.490388888889,2199.4505555555556,96.56966666666666,723.578,9.08079938586423,3.9126392792687255,7.0394223705935905,7128.116722222222
P3,1,18000,64,14.901513834003708,1207.9309659751393,14.387425967305024,0.9912777777777778,7170.7097045,5371.6900000000005,13277.101849999997,52022.84582999942,1334.0624444444445,2534.556777777778,109.295,850.8767222222223,10.519065495366837,4.891374775800564,7.079817606132067,7340.4537222222225
P3,2,18000,64,15.872371728997678,1134.0460208045215,14.56282836122793,0.9912777777777778,17021.074167944444,6337.153,72621.62559999998,114825.79615999969,1334.1050555555555,2534.556777777778,109.295,860.992,10.41117249655262,4.600936710949209,6.688771437522965,7323.377555555556
P3,3,18000,64,16.014225075996364,1124.0006877997553,14.500554889356824,0.9912777777777778,12676.915766444445,6066.098,53287.27604999998,94125.27243999984,1334.0944444444444,2534.556777777778,109.295,860.0227222222222,10.417821189699582,4.554978095929255,6.619115161487447,7322.1035
