policy,query_count,concurrency,wall_seconds,qps,client_cpu_utilization_pct,recall_at_10,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,response_bytes_per_query,response_distance_computations_per_query,response_nodes_visited_per_query,response_worker_cpu_time_us_per_query
P0,1000,64,0.5201764759985963,1922.4244965716184,14.759114486601113,0.9285,15315.534448999999,12469.0795,35605.1707,47318.781339999994,1331.13,1658.258,64.366,555.11
P0,1000,128,0.5150223460004781,1941.6633234765927,14.799843995493216,0.9285,15095.794209000002,12271.884,36396.784449999985,48169.02708999998,1331.121,1658.258,64.366,562.89
P0,1000,256,0.5158948390017031,1938.3795386189138,14.827409113652251,0.9285,15751.846346999999,13252.128499999999,36076.71474999999,50951.75327999998,1331.117,1658.258,64.366,560.997
P0,1000,512,0.5679116569954203,1760.8372493894135,14.685761107853514,0.9285,17396.318745,13139.833999999999,45572.68494999998,83028.90204999998,1331.134,1658.258,64.366,557.945
P1,1000,64,0.5144048209986067,1943.9942224077804,14.792143224335351,0.9412,17302.842621,14667.821,39040.567449999995,54187.38943999999,1330.823,1460.787,51.913,540.966
P1,1000,128,0.5222628559931763,1914.744631988658,14.81192695637729,0.9412,16179.015347999999,13437.792000000001,38416.48464999999,53051.426179999995,1330.805,1460.787,51.913,530.577
P1,1000,256,0.5224001780006802,1914.241307932131,14.823102027139795,0.9412,16783.368787,14297.856500000002,38483.755800000006,52598.22971,1330.806,1460.787,51.913,530.326
P1,1000,512,0.5855404500034638,1707.8239428105855,14.642912287185712,0.9412,18135.162969999998,14283.622500000001,44439.904149999995,75681.46938,1330.811,1460.787,51.913,531.73
P2,1000,64,0.5085606009961339,1966.3339984286397,14.783980705098312,0.9361,17722.592614,14533.105,40396.23944999999,55979.102289999995,1332.4,2291.998,96.141,745.605
P2,1000,128,0.5902375669975299,1694.233061251733,14.623315225267703,0.9361,17012.122921,13304.3215,44770.18009999999,85479.69399999999,1332.393,2291.998,96.141,739.268
P2,1000,256,0.517638318000536,1931.8508024341518,14.819848692097876,0.9361,17466.448392000002,14298.075499999999,42202.70524999999,56829.430199999995,1332.384,2291.998,96.141,737.874
P2,1000,512,0.5239506279976922,1908.5767752995318,14.816974725592257,0.9361,16882.813254,13864.809000000001,41085.5947,58411.542479999975,1332.369,2291.998,96.141,739.71
P3,1000,64,0.5175204140032292,1932.290926003472,14.798807989538288,0.9899,16865.838068,14023.9165,39116.611999999994,50393.93563,1332.853,2655.553,109.786,869.546
P3,1000,128,0.5932691169946338,1685.5756879201335,14.613573063467399,0.9899,18751.829187,14016.3205,45940.73054999995,89562.69224999998,1332.889,2655.553,109.786,872.792
P3,1000,256,0.5281944970047334,1893.2419888332129,14.753829354890426,0.9899,15389.804034,12650.637,37235.5461,51223.277609999976,1332.786,2655.553,109.786,864.195
P3,1000,512,0.5318613499985076,1880.1892636169293,14.793919364552545,0.9899,15484.752776000001,13166.528,34503.57104999997,47129.62156,1332.862,2655.553,109.786,873.975
