policy,query_count,concurrency,wall_seconds,qps,client_cpu_utilization_pct,recall_at_10,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,response_bytes_per_query,response_distance_computations_per_query,response_nodes_visited_per_query,response_worker_cpu_time_us_per_query
P0,1000,64,0.5215132099983748,1917.4969700252009,14.770219003702719,0.9285,16145.82642,13304.137999999999,38180.3874,50539.47691999999,1331.11,1658.258,64.366,553.051
P0,1000,128,0.5094970939971972,1962.7197324220676,14.84638310820594,0.9285,17648.804534000003,14064.6325,42887.48649999999,62224.57195999999,1331.131,1658.258,64.366,559.099
P0,1000,256,0.5134903200014378,1947.4563804770457,14.850197711572529,0.9285,14931.177527,12461.0485,34985.30159999999,49534.13521999999,1331.155,1658.258,64.366,565.594
P0,1000,512,0.571979257001658,1748.3151491227966,14.697758720427919,0.9285,17648.155019,13616.39,46212.17889999999,81623.37247999996,1331.132,1658.258,64.366,559.679
P1,1000,64,0.5105058400004054,1958.8414502745077,14.759396557528056,0.9412,18629.885383,15851.881000000001,44117.494799999986,62677.88982,1330.811,1460.787,51.913,537.563
P1,1000,128,0.5193209640056011,1925.5914344124465,14.786298228309475,0.9412,15215.000833,12800.1775,36899.02109999998,52401.563879999994,1330.785,1460.787,51.913,532.505
P1,1000,256,0.5241705109947361,1907.7761511273616,14.827688484898495,0.9412,15003.085183000001,12586.662,33556.86189999999,43957.320589999974,1330.814,1460.787,51.913,534.065
P1,1000,512,0.5241502200005925,1907.8500052883114,14.747800115377652,0.9412,14976.405617,11706.514,36589.792499999974,54252.304889999985,1330.79,1460.787,51.913,534.241
P2,1000,64,0.5086938530002953,1965.818918593104,14.812498358409705,0.9361,15686.474356,13230.0,36008.65314999998,51006.40724,1332.38,2291.998,96.141,744.122
P2,1000,128,0.514049821998924,1945.3367304192805,14.78231474325057,0.9361,15272.657107,12708.78,34804.861199999985,53110.16257999999,1332.392,2291.998,96.141,735.609
P2,1000,256,0.5854746590048308,1708.0158545200998,14.62708136600907,0.9361,15821.33042,13149.099,35595.64135,56194.2094,1332.377,2291.998,96.141,742.022
P2,1000,512,0.5144611240029917,1943.7814702480507,14.855819163812246,0.9361,17199.768620000003,13899.926,40446.76989999999,63544.13911,1332.379,2291.998,96.141,740.982
P3,1000,64,0.5157149959995877,1939.055501114029,14.764818667413735,0.9899,19435.629028,16595.2265,43563.42055,59629.97394999997,1332.885,2655.553,109.786,880.976
P3,1000,128,0.5958291760034626,1678.3333886190705,14.590515033707398,0.9899,16136.403201,13560.002,37846.118699999985,48947.45717,1332.804,2655.553,109.786,865.722
P3,1000,256,0.527852911996888,1894.4671465711183,14.821259975441995,0.9899,16974.511357,14437.355,38354.961449999995,62402.0409,1332.826,2655.553,109.786,869.658
P3,1000,512,0.5262718800004222,1900.1585264240182,14.806438309023594,0.9899,17412.249478,14522.66,41251.854599999984,59051.48176999999,1332.856,2655.553,109.786,871.033
