policy,query_count,concurrency,wall_seconds,qps,client_cpu_utilization_pct,recall_at_10,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,response_bytes_per_query,response_distance_computations_per_query,response_nodes_visited_per_query,response_worker_cpu_time_us_per_query
P0,1000,64,0.517908237001393,1930.843976897997,14.73560254937492,0.9285,15809.073725,13352.700499999999,36751.39129999999,52338.29669999998,1331.104,1658.258,64.366,556.143
P0,1000,128,0.5115797979960917,1954.729260062845,14.803405729007821,0.9285,14484.693223999999,11937.039,32739.7615,48138.109549999994,1331.142,1658.258,64.366,561.181
P0,1000,256,0.5159872529984568,1938.0323722900007,14.819938657521215,0.9285,14776.604663,12596.194,34455.29069999999,49150.2123,1331.124,1658.258,64.366,562.657
P0,1000,512,0.5745559650022187,1740.474489715094,14.72491724538498,0.9285,16859.528079999996,12411.460500000001,42815.5004,86634.02009999997,1331.125,1658.258,64.366,562.307
P1,1000,64,0.5178537309984677,1931.0472053023773,14.760106845735413,0.9412,17361.306590999997,14475.127,40141.90234999999,55713.10248,1330.8,1460.787,51.913,536.215
P1,1000,128,0.5244950720007182,1906.5956066764163,14.83592604658326,0.9412,16512.724152000003,13919.692500000001,38688.24615,53429.61767999998,1330.797,1460.787,51.913,527.746
P1,1000,256,0.5226106090049143,1913.4705319206344,14.74068839162702,0.9412,15214.209931,12593.288,35506.558,53501.519969999994,1330.817,1460.787,51.913,533.299
P1,1000,512,0.5221501889973297,1915.1577861539645,14.766470021405251,0.9412,17219.592361000003,14009.9155,40094.94704999997,56094.464799999994,1330.802,1460.787,51.913,532.635
P2,1000,64,0.5896788109967019,1695.8384485780564,14.548597520401707,0.9361,8926.403078,5521.485,25593.849,41199.24802999998,1332.376,2291.998,96.141,743.725
P2,1000,128,0.578618932995596,1728.2531610620686,14.708850984944645,0.9361,20704.595475000002,14924.324499999999,65575.52469999997,107384.42697999999,1332.388,2291.998,96.141,743.986
P2,1000,256,0.5210972830027458,1919.0274688013114,14.791687322920424,0.9361,18774.212635,15151.223,45204.62539999999,64384.58791,1332.373,2291.998,96.141,738.464
P2,1000,512,0.5228079900043667,1912.7481199964973,14.803641868471352,0.9361,16014.348143,12903.044,37076.643,51264.45379999997,1332.411,2291.998,96.141,744.665
P3,1000,64,0.525357503000123,1903.4657243674426,14.769532947925189,0.9899,19297.304738000003,15715.371,48443.99995,56586.02114,1332.862,2655.553,109.786,875.78
P3,1000,128,0.5241478629977792,1907.8585845617329,14.808072536266161,0.9899,16017.841331,13975.446,34585.44819999999,47310.56840999999,1332.8,2655.553,109.786,864.775
P3,1000,256,0.5199871560034808,1923.1244242373286,14.79137426511452,0.9899,15709.035044,13077.0235,35197.5086,47572.74493,1332.868,2655.553,109.786,874.607
P3,1000,512,0.5912168030044995,1691.426892669675,14.685691240297501,0.9899,18314.229964000002,14133.4425,44075.07599999999,87576.17970000001,1332.827,2655.553,109.786,869.852
