policy,query_count,concurrency,wall_seconds,qps,client_cpu_utilization_pct,recall_at_10,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,response_bytes_per_query,response_distance_computations_per_query,response_nodes_visited_per_query,response_worker_cpu_time_us_per_query
P0,1000,64,0.5278694619992166,1894.4077503795515,14.703847534774658,0.9285,17827.142643,14331.2595,42275.168149999976,61375.91132,1331.118,1658.258,64.366,558.502
P0,1000,128,0.5155702359988936,1939.5999423095982,14.795319371416102,0.9285,14486.412909,12177.485,33264.44225,46889.30825999999,1331.123,1658.258,64.366,564.085
P0,1000,256,0.5226658280007541,1913.2683761345063,14.772165284907155,0.9285,15401.158539,12517.2665,37143.83579999999,53829.327729999975,1331.127,1658.258,64.366,558.58
P0,1000,512,0.5738434859958943,1742.6354474766222,14.731822559297072,0.9285,18182.067288,12319.005000000001,64175.193499999936,96300.51291,1331.132,1658.258,64.366,562.859
P1,1000,64,0.5160567679995438,1937.7713112385418,14.754200961291785,0.9412,22165.344512,18091.514,52669.45974999997,72274.82977999999,1330.799,1460.787,51.913,531.379
P1,1000,128,0.5259728360033478,1901.2388692895065,14.800803538930994,0.9412,15596.588362,13263.0235,35791.979899999984,49155.90662999999,1330.8,1460.787,51.913,534.18
P1,1000,256,0.5258454349968815,1901.699498458003,14.786480817402266,0.9412,17247.969052,14687.485,40319.89885,55122.09097,1330.785,1460.787,51.913,535.208
P1,1000,512,0.5251938849978615,1904.0587268149018,14.770058513784194,0.9412,17974.778306,15109.588,42329.419249999984,61752.41181999999,1330.782,1460.787,51.913,532.939
P2,1000,64,0.7253785319990129,1378.590564631379,14.773140508402069,0.9361,21350.445565,15769.657500000001,60738.97944999999,81999.03032999998,1332.358,2291.998,96.141,745.548
P2,1000,128,0.5284816749990568,1892.2131973673158,14.78844382355195,0.9361,15536.597532,12946.0625,34427.987049999996,48966.291600000004,1332.378,2291.998,96.141,734.926
P2,1000,256,0.5173528510058532,1932.9167666821002,14.795101733020624,0.9361,14617.839659,12198.91,34041.54899999999,45743.98715,1332.412,2291.998,96.141,732.807
P2,1000,512,0.5286731860032887,1891.5277462053452,14.837295909218225,0.9361,14191.949134999999,11957.606,33060.681,49063.49766,1332.403,2291.998,96.141,733.885
P3,1000,64,0.6347049499963759,1575.5352152298635,14.685594661036479,0.9899,23413.561192,17729.680999999997,62471.68539999998,98790.57828999999,1332.864,2655.553,109.786,876.053
P3,1000,128,0.5365957829999388,1863.600184126147,14.78923675216623,0.9899,16074.467672,13671.599,37067.65189999999,50864.62688999999,1332.86,2655.553,109.786,873.833
P3,1000,256,0.5356600599989179,1866.8556322866787,14.805195248300022,0.9899,15030.998119999998,12353.788499999999,34468.8601,51084.80125,1332.852,2655.553,109.786,866.113
P3,1000,512,0.530732168997929,1884.1895374235403,14.803413819505376,0.9899,19075.036785,15689.143499999998,46669.88095,63553.97770999997,1332.857,2655.553,109.786,872.771
