policy,config_id,config,query_count,recall_at_10,p5_per_query_recall,mean_shards_per_query,p95_shards_per_query,aggregate_distance_computations_per_query,p95_aggregate_distance_computations,max_shard_distance_computations_mean,p95_max_shard_distance_computations,p99_max_shard_distance_computations,aggregate_nodes_visited_per_query,p95_max_shard_nodes_visited,worker_cpu_time_us_per_query
P0,0b49a0aa365c7f1e,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.7432000000000001,0.3,1.0,1.0,456.238,647.1499999999999,456.238,647.1499999999999,758.0699999999999,12.115,16.0,273.315
P0,c2fa85a3f0ab9945,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.8098,0.4,1.0,1.0,601.263,827.0,601.263,827.0,955.02,17.704,22.0,283.64
P0,5c045e7c45e353d8,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.8866,0.5,1.0,1.0,970.664,1296.1,970.664,1296.1,1391.11,33.003,36.0,354.279
P0,21ab6f22997bc6b1,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.9285,0.6,1.0,1.0,1658.258,2228.05,1658.258,2228.05,2400.01,64.366,66.0,505.13
P0,417e843a3088d802,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.9399,0.6,1.0,1.0,2898.766,3964.5499999999993,2898.766,3964.5499999999993,4245.0599999999995,128.134,129.0,738.104
P0,c324b6c6b7211da0,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.943,0.6,1.0,1.0,5047.652,7032.949999999999,5047.652,7032.949999999999,7563.349999999999,256.08,257.0,1228.506
P0,b5b284e41d984446,"{""policy"":""P0"",""fixed_p"":1,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.9438,0.6,1.0,1.0,8647.674,12362.05,8647.674,12362.05,13288.31,512.075,513.0,2108.076
P0,0d52546b9c48598c,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.786,0.4,2.0,2.0,831.512,1095.0,482.432,659.05,758.0699999999999,31.24,30.0,454.292
P0,f8ff35239f22d22d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.8567,0.5,2.0,2.0,1094.537,1400.05,633.127,841.05,957.05,42.945,38.0,478.903
P0,08f3182b3aa721f6,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.9361,0.7,2.0,2.0,1749.496,2232.05,1014.463,1302.0,1391.11,73.762,54.0,604.737
P0,da67bf187de3789d,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":64,""ef_min"":8,""ef_max"":512}",1000,0.9786,0.9,2.0,2.0,2981.986,3795.2999999999997,1736.76,2229.1,2400.01,136.187,84.04999999999995,865.289
P0,af38d3533799fe47,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":128,""ef_min"":8,""ef_max"":512}",1000,0.9903,0.9,2.0,2.0,5228.735,6795.2,3049.114,3975.1499999999996,4245.0599999999995,262.638,142.0,1320.261
P0,dcb39bd612eae981,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":256,""ef_min"":8,""ef_max"":512}",1000,0.9933,1.0,2.0,2.0,9191.274,11934.4,5337.92,7035.799999999999,7563.349999999999,518.002,269.0,2252.038
P0,0829f8f57ab849e7,"{""policy"":""P0"",""fixed_p"":2,""uniform_ef_search"":512,""ef_min"":8,""ef_max"":512}",1000,0.9941,1.0,2.0,2.0,15923.354,20715.3,9210.321,12362.05,13288.31,1029.741,524.0,3994.145
P0,0d78a84c38598d90,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":8,""ef_min"":8,""ef_max"":512}",1000,0.7911,0.4,3.0,3.0,1262.018,1580.05,515.013,684.1499999999999,765.05,52.745,31.0,648.965
P0,9ded195fc9ecf68a,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":16,""ef_min"":8,""ef_max"":512}",1000,0.862,0.5950000000000003,3.0,3.0,1640.828,2031.1,663.634,868.05,966.02,70.42,40.0,693.444
P0,c6de7039a08707d0,"{""policy"":""P0"",""fixed_p"":3,""uniform_ef_search"":32,""ef_min"":8,""ef_max"":512}",1000,0.9414,0.7,3.0,3.0,2573.531,3164.05,1045.826,1306.1,1406.1499999999999,116.772,57.0,878.51
