stage,dataset,method,physical_machine_count,logical_shard_count,baseline_label,total_segments,estimated_empty_appendable_segments,estimated_nonempty_hnsw_segments,estimated_hnsw_segments_per_shard,max_segment_size_kb,source,source_sha256,stage15_gate_status
stage14,sift1m,common,1,1,A,3,1,2,2.0,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_sift1m_common_m1_baseline-a-prepare.json,482c8cf0bfe02919f36d90fa3af5a8cf5242eb24a33e779781ff6c50e39a197a,NOT_APPLICABLE
stage14,sift1m,common,1,1,B,3,1,2,2.0,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_sift1m_common_m1_baseline-b-prepare.json,463aacd6c4e5a5b997f58a508ebf0187028b011dbb79357801f310cb5794e598,NOT_APPLICABLE
stage14,sift1m,random,2,2,,4,2,2,1.0,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_sift1m_random_m2-prepare.json,5c68a6e67d1cfa10dd6d8a6d2b05705df074e58b7769e7329c880d760484bd7f,NOT_APPLICABLE
stage14,sift1m,random,3,3,,6,3,3,1.0,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_sift1m_random_m3-prepare.json,463062a66481c294d92432767295d7f10ed3e95ac516f47fcff403e9492ecd39,NOT_APPLICABLE
stage14,sift1m,random,4,4,,8,4,4,1.0,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_sift1m_random_m4-prepare.json,5e22419c026d9f22aef6461107e8b992bc33baf1d7825532aa261921d2e47531,NOT_APPLICABLE
stage14,sift1m,kmeans,2,2,,5,2,3,1.5,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_sift1m_kmeans_m2-prepare.json,aa9c5f4954a7276132f1c20260fcfb90e44b25015c2b147011b667176a3b27f8,NOT_APPLICABLE
stage14,sift1m,kmeans,3,3,,7,3,4,1.3333333333333333,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_sift1m_kmeans_m3-prepare.json,7aee948acba91b2ea2b945eaa987f296a04502579a30ba50751ba10310aeef37,NOT_APPLICABLE
stage14,sift1m,kmeans,4,4,,9,4,5,1.25,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_sift1m_kmeans_m4-prepare.json,5d28280d7d9383babd08e887abe56fe3e28b278371a42d4578237fb4d6bbc36d,NOT_APPLICABLE
stage14,glove-200-angular,common,1,1,A,5,1,4,4.0,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_glove_common_m1_baseline-a-prepare.json,ed00d8356d6db3a75192681d685a78862152d234c18eba5f29707137c4a5adda,NOT_APPLICABLE
stage14,glove-200-angular,common,1,1,B,5,1,4,4.0,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_glove_common_m1_baseline-b-prepare.json,733ca0e070f68db39236691bb138b49a74b620cb6663bfbeedc017e3d1a0f6a0,NOT_APPLICABLE
stage14,glove-200-angular,random,2,2,,6,2,4,2.0,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_glove_random_m2-prepare.json,80511f0bba352ea65b68d3983488b166198ea99ffc8ed5d35165e100a1180a54,NOT_APPLICABLE
stage14,glove-200-angular,random,3,3,,9,3,6,2.0,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_glove_random_m3-prepare.json,6b454d29d00cbb7f4d7e86d3be6a52c129b44ef078b1090d013182743a742c8d,NOT_APPLICABLE
stage14,glove-200-angular,random,4,4,,8,4,4,1.0,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_glove_random_m4-prepare.json,ad0c26f81dba5bc3d44d73f880a9c9b1f2cf9ebd17d3b57cea67065295732ca2,NOT_APPLICABLE
stage14,glove-200-angular,kmeans,2,2,,7,2,5,2.5,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_glove_kmeans_m2-prepare.json,f419a54bec88c2a1c9c87ecb7e164fdde423f112b5c7e09887e9dc17deabe209,NOT_APPLICABLE
stage14,glove-200-angular,kmeans,3,3,,8,3,5,1.6666666666666667,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_glove_kmeans_m3-prepare.json,688a10d3d5ef816b3f660fe8696fdb4da0e564cd1c36501facee8a156f4ad70f,NOT_APPLICABLE
stage14,glove-200-angular,kmeans,4,4,,9,4,5,1.25,,/users/dry/Orion/experiments/c1/retests/stage14-physical-core-isolated/logs/c1s14_glove_kmeans_m4-prepare.json,07a86d75963f10af421c630c6a2e2925aa6c72a5cf93b73fd72cf552ccc110a7,NOT_APPLICABLE
stage15,sift1m,common,1,1,A,2,1,1,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_sift1m_common_m1_baseline-a-prepare.json,17e3c5228c226797e7f8ffd01bc31cfe9d3e91b0421f6afde1a65c4b5898d8f8,PASS
stage15,sift1m,common,1,1,B,2,1,1,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_sift1m_common_m1_baseline-b-prepare.json,b900647e4f6a14d53a849936b17ce28fe47ce67886e33880be1bec621f6c1f5b,PASS
stage15,sift1m,random,2,2,,4,2,2,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_sift1m_random_m2-prepare.json,8ed46a8d9cf6c9a96da3b82507301148866b23a61f30e98ad998fc7e9497317f,PASS
stage15,sift1m,random,3,3,,6,3,3,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_sift1m_random_m3-prepare.json,b55f773e676500c44ca49d49b751508804661aabcda553039bf41641761d4c2b,PASS
stage15,sift1m,random,4,4,,8,4,4,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_sift1m_random_m4-prepare.json,30649aa77b38d76a66cbba0001f19c208de3a8ce33a60b2c8e01c61048380be9,PASS
stage15,sift1m,kmeans,2,2,,4,2,2,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_sift1m_kmeans_m2-prepare.json,539a1642f2dcc2c3060cd8d8b899ec477068b7e0a2695c05a0bbd7953ef857c2,PASS
stage15,sift1m,kmeans,3,3,,6,3,3,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_sift1m_kmeans_m3-prepare.json,aa9e25135278b61a830d3cf3bec8f5ef27b80544f1c3ee1abbd981785948647f,PASS
stage15,sift1m,kmeans,4,4,,8,4,4,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_sift1m_kmeans_m4-prepare.json,58b64385f30cde33922bf9625abf7ee6afea349bc48b36b7e6cd02e1bf76cd37,PASS
stage15,glove-200-angular,common,1,1,A,2,1,1,1.0,2000000,/users/dry/Orion/experiments/c1/retests/stage15-single-hnsw-per-shard/logs/c1s15_glove_common_m1_baseline-a-prepare.json,8d1997610ae01cca265ace5bdc1701fa1a4372c2bb7726c088643b260358ff19,PASS
