dataset,partition_method,logical_shard_count,sensitivity_target_recall,selected_fanout,selected_ef_search,achieved_tuning_recall,mean_aggregate_distance_computations,mean_local_distance_computations,source_tuning,source_tuning_sha256
sift1m,random,4,0.89,4,16,0.9351,2528.529,632.13225,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-random-m4-tuning-pinned.json,88e7806770b3b5c72c9743cc0d7c86cd330fa445ef5e6abc5abad009e18c79d1
sift1m,random,4,0.9,4,16,0.9351,2528.529,632.13225,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-random-m4-tuning-pinned.json,88e7806770b3b5c72c9743cc0d7c86cd330fa445ef5e6abc5abad009e18c79d1
sift1m,random,4,0.91,4,16,0.9351,2528.529,632.13225,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-random-m4-tuning-pinned.json,88e7806770b3b5c72c9743cc0d7c86cd330fa445ef5e6abc5abad009e18c79d1
sift1m,random,16,0.89,16,16,0.9745,8558.612,534.91325,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-random-m16-tuning-pinned.json,c99f97cc7873c924b6328062075f6fd3be3942cbd0e345b3c94465a3aeb579ce
sift1m,random,16,0.9,16,16,0.9745,8558.612,534.91325,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-random-m16-tuning-pinned.json,c99f97cc7873c924b6328062075f6fd3be3942cbd0e345b3c94465a3aeb579ce
sift1m,random,16,0.91,16,16,0.9745,8558.612,534.91325,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-random-m16-tuning-pinned.json,c99f97cc7873c924b6328062075f6fd3be3942cbd0e345b3c94465a3aeb579ce
sift1m,kmeans,4,0.89,1,48,0.9122,2020.316,2020.316,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-kmeans-m4-tuning-pinned.json,f87fa19e507f658e2d99a9135e863f4637e5544b624590bd7e8bea8967a15721
sift1m,kmeans,4,0.9,1,48,0.9122,2020.316,2020.316,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-kmeans-m4-tuning-pinned.json,f87fa19e507f658e2d99a9135e863f4637e5544b624590bd7e8bea8967a15721
sift1m,kmeans,4,0.91,1,48,0.9122,2020.316,2020.316,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-kmeans-m4-tuning-pinned.json,f87fa19e507f658e2d99a9135e863f4637e5544b624590bd7e8bea8967a15721
sift1m,kmeans,16,0.89,2,32,0.8934,1918.708,959.354,/users/dry/Orion/experiments/c1/runs/stage12-e3-deterministic-sift1m-kmeans-m16-tuning-pinned.json,3adabcb85aee5ecb0413ab0fa5b744d8c32390a703344f3b5886b0f538199c3c
