dataset,partition_method,logical_shard_count,query_count,actual_fanout_mean,oracle_fanout_mean,selected_ef_search,observed_distance_mean,observed_distance_p95,normalized_observed_distance_to_m1,observed_nodes_mean,observed_nodes_p95,observed_worker_cpu_time_us_mean,observed_worker_cpu_time_us_p95,mean_local_distance_per_searched_shard,modeled_distance_mean,normalized_modeled_distance_to_m1,model_relative_error,ideal_query_work_reduction,physical_e1_normalized_qps,physical_work_bound_projection,m_gt_4_projection,projection_status,source_e3_per_search,source_e3_per_search_sha256,status
sift1m,random,1,9000,1.0,1.0,24,864.5702222222222,1166.0,1.0,35.44311111111111,40.0,143.02911111111112,189.0,864.5702222222222,864.5702222222222,1.0,0.0,1.0,1.0,1.0,,PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-sift1m-random-m1.csv,433f7d882818f7bae2671f5657a22f602f8cf1ee947c8a009ccfeccadf5914bf,VALID_E4
sift1m,random,2,9000,2.0,1.9775555555555555,24,1669.3712222222223,2198.0499999999993,1.9308682849744743,71.29011111111112,77.0,267.6538888888889,342.0,834.6856111111111,1669.3712222222223,1.9308682849744743,0.0,0.5,0.619233826921201,1.0358034339076836,,PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-sift1m-random-m2.csv,55868c8695348afc2ab3e2d34bf10ddd3ff24ed61b554236580ed5364be7e26e,VALID_E4
sift1m,random,4,9000,4.0,3.148222222222222,16,2438.0904444444445,3179.0999999999985,2.8200027965082715,109.30355555555556,118.0,430.49033333333335,539.0499999999993,609.5226111111111,2438.0904444444445,2.8200027965082715,0.0,0.25,0.39388956604255965,1.4184383096899058,,PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-sift1m-random-m4.csv,e57d39089c1361183531e700ac0cdf11f10c8da1a41f3c2a705dbf37b39cb477,VALID_E4
sift1m,random,8,9000,8.0,4.902666666666667,16,4544.709,5846.049999999999,5.256610606271684,209.84688888888888,222.0,777.9617777777778,958.0,568.088625,4544.709,5.256610606271684,0.0,0.125,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-sift1m-random-m8.csv,f10b600d97657356af704f8bc320f080f16de4a8db3395297e849512ef3d4199,VALID_E4
sift1m,random,16,9000,16.0,6.595111111111111,16,8296.81088888889,10607.149999999998,9.596456916551473,407.22133333333335,424.0,1290.6602222222223,1564.0,518.5506805555556,8296.81088888889,9.596456916551473,0.0,0.0625,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-sift1m-random-m16.csv,3456dca86bc56e23007acbe21f749ae60fae987fc4f5b41940c790b60690f02b,VALID_E4
sift1m,random,32,9000,32.0,7.699888888888889,16,15006.159666666666,19058.05,17.356785233819448,787.6326666666666,811.0,1849.9474444444445,2157.0,468.9424895833333,15006.159666666666,17.356785233819448,0.0,0.03125,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-sift1m-random-m32.csv,cf6b2822e713e929929bec44f4af2b4d1e5259cf248245e68d05b07b8abe1c00,VALID_E4
sift1m,kmeans,1,9000,1.0,1.0,24,864.5702222222222,1166.0,1.0,35.44311111111111,40.0,145.07966666666667,191.0,864.5702222222222,864.5702222222222,1.0,0.0,1.0,1.0,1.0,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-sift1m-kmeans-m1.csv,5bf2eed85a99ac6d0ff51f3a68f081eed8bfa9a1c6bce33102502ad0dbd51bda,VALID_E4
sift1m,kmeans,2,9000,1.0,1.001111111111111,24,861.93,1170.0,0.99694620268619,35.275444444444446,40.0,138.13088888888888,184.0,861.93,861.93,0.99694620268619,0.0,0.5,1.1175076316988564,2.006126303115618,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-sift1m-kmeans-m2.csv,0850bae75d8558b63c3b7496f36db7cb07c3fb3e7dd43ec0ad5d5fe8b2967e73,VALID_E4
sift1m,kmeans,4,9000,1.0,1.1525555555555556,48,1359.7886666666666,1824.0,1.5727914653035058,57.687222222222225,61.0,223.6561111111111,347.0499999999993,1359.7886666666666,1359.7886666666666,1.5727914653035058,0.0,0.25,1.003456935014608,2.543248795687042,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-sift1m-kmeans-m4.csv,7dd0b9bddc3c49b00ad09e37cc2a9c9e4fb7185c8890fc869f4104479352199c,VALID_E4
sift1m,kmeans,8,9000,2.0,1.3785555555555555,32,1979.2365555555555,2497.0499999999993,2.2892721778784884,83.25233333333334,89.0,315.2696666666667,423.0,989.6182777777777,1979.2365555555555,2.2892721778784884,0.0,0.125,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage2-e3-sift1m-kmeans-m8.csv,7d2e83761c0f7ed23a1b55a99b98e32e8c381e525837a0bc0828f2c9f91ee983,VALID_E4
