experiment_id,timestamp,status,dataset,partition_method,logical_shard_count,routing_fanout,ef_search,selected_tuning_recall,query_count,searched_shard_events,mean_distance_computations_per_searched_shard,p95_distance_computations_per_searched_shard,normalized_distance_to_m1,mean_nodes_visited_per_searched_shard,p95_nodes_visited_per_searched_shard,mean_worker_cpu_time_us_per_searched_shard,mean_worker_cpu_wall_time_us_per_searched_shard,mean_local_search_latency_us_per_searched_shard,p95_local_search_latency_us_per_searched_shard,mean_shard_point_count,mean_vector_storage_size_bytes,controller_graph_index_size_bytes,controller_total_local_index_size_bytes,machine_llc_size_bytes,cache_regime,source_summary,source_summary_sha256
stage2-e3-sift1m-random-m1,2026-08-20T18:21:44Z,VALID_E3,sift1m,random,1,1,24,0.9098999999999999,9000,9000,864.5702222222222,1166.0,1.0,35.44311111111111,40.0,143.02911111111112,140.16144444444444,485.9845321111111,535.8179999999999,1000000.0,512000000.0,87245374,599245374,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-random-m1-summary.json,fd97cb512b3c044464f72c4e3592577f6de6d279e0471631f6472de7c24effb3
stage2-e3-sift1m-random-m2,2026-08-20T18:26:52Z,VALID_E3,sift1m,random,2,2,24,0.9381,9000,18000,834.6856111111111,1123.0,0.9654341424872371,35.64505555555556,40.0,133.82694444444445,130.91022222222222,473.28717966666665,524.172,500000.0,256000000.0,40660748,296924940,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-random-m2-summary.json,f2b82fa260c404d9e1b29d87f39444a5c1d6c03f044389d8b67dcaa318ecd215
stage2-e3-sift1m-random-m4,2026-08-20T18:34:17Z,VALID_E3,sift1m,random,4,4,16,0.9374,9000,36000,609.5226111111111,832.0,0.7050006991270679,27.32588888888889,31.0,107.62258333333334,104.10952777777777,501.0988956944445,710.472,250000.0,128000000.0,19051314,147072818,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-random-m4-summary.json,4a7732555d86f8994533ed5877e4429b491791c906446971c95701f3af150011
stage2-e3-sift1m-random-m8,2026-08-20T18:42:31Z,VALID_E3,sift1m,random,8,8,16,0.9599,9000,72000,568.088625,771.0,0.6570763257839605,26.23086111111111,30.0,97.24522222222222,93.7461388888889,479.4527265972222,666.77,125000.0,64000000.0,8796461,73045805,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-random-m8-summary.json,b167f8c566ff9cedac3b0a79a6e1086b8b7ed60690abec8e784da7efb0ce5ffb
stage2-e3-sift1m-random-m16,2026-08-20T19:03:30Z,VALID_E3,sift1m,random,16,16,16,0.9765,9000,144000,518.5506805555556,700.0,0.599778557284467,25.451333333333334,29.0,80.66626388888889,77.17008333333334,464.6154284097222,641.944,62500.0,32000000.0,4047110,36252422,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-random-m16-summary.json,27a34fd1f03e3c78d36f89aefe6a175764f75af5b1d9511259e6b7cdf51dddbe
stage2-e3-sift1m-random-m32,2026-08-20T19:19:10Z,VALID_E3,sift1m,random,32,32,16,0.9843,9000,288000,468.9424895833333,629.0,0.5423995385568577,24.613520833333332,28.0,57.81085763888889,54.32217361111111,445.9379698680555,620.754,31250.0,16000000.0,1841741,18036592,16777216,mixed_or_below_llc,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-random-m32-summary.json,377d800940cbcb7da64c4ebcec6d3ebce1e165f78320fee90a578fc8918c6b2e
stage2-e3-sift1m-kmeans-m1,2026-08-20T18:22:04Z,VALID_E3,sift1m,kmeans,1,1,24,0.9098999999999999,9000,9000,864.5702222222222,1166.0,1.0,35.44311111111111,40.0,145.07966666666667,142.29155555555556,483.2307763333333,534.213,1000000.0,512000000.0,87245374,599245374,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-kmeans-m1-summary.json,99b810c93721b93dda79d226531394e82390f398c61eeb36f275ac46a23f82e6
stage2-e3-sift1m-kmeans-m2,2026-08-20T18:30:11Z,VALID_E3,sift1m,kmeans,2,1,24,0.9047999999999999,9000,9000,861.93,1170.0,0.99694620268619,35.275444444444446,40.0,138.13088888888888,135.29288888888888,481.2835631111111,531.9789999999999,500000.0,256000000.0,41893245,305152381,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-kmeans-m2-summary.json,e5c5efc393081fef85ca12a256ad79d57a2ea6ff72d2498bf8b4282605bcd3dd
stage2-e3-sift1m-kmeans-m4,2026-08-20T18:37:32Z,VALID_E3,sift1m,kmeans,4,1,48,0.9048999999999999,9000,9000,1359.7886666666666,1824.0,1.5727914653035058,57.687222222222225,61.0,223.6561111111111,220.22933333333333,605.4308589999999,878.2669999999999,250000.0,128000000.0,42355245,305440301,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-kmeans-m4-summary.json,b07d41a8d16c1f8ffe596a0d5ff759733a8e3c51e9f171d02a39351f0aed2ab9
stage2-e3-sift1m-kmeans-m8,2026-08-20T18:50:40Z,VALID_E3,sift1m,kmeans,8,2,32,0.9244,9000,18000,989.6182777777777,1299.0,1.1446360889392442,41.62616666666667,46.0,157.63483333333335,154.064,548.9821415,752.2105,125000.0,64000000.0,17619563,131854955,16777216,all_shard_vector_stores_larger_than_llc,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-kmeans-m8-summary.json,436dacad634474cd46d769fc1c6533a64b9608e7414c4627485a8be70e65877b
