dataset,partition_method,logical_shard_count,sensitivity_target_recall,selected_fanout,selected_ef_search,achieved_tuning_recall,mean_aggregate_distance_computations,mean_local_distance_computations,source_tuning,source_tuning_sha256
sift1m,random,4,0.89,4,16,0.9374,2523.562,630.8905,/users/dry/Orion/experiments/c1/runs/stage1-sift1m-random-m4-tuning-pinned.json,8ae6720562dede84a0ca646f099d9ab5224278f6e64e4315dccfcc19dbff9045
sift1m,random,4,0.9,4,16,0.9374,2523.562,630.8905,/users/dry/Orion/experiments/c1/runs/stage1-sift1m-random-m4-tuning-pinned.json,8ae6720562dede84a0ca646f099d9ab5224278f6e64e4315dccfcc19dbff9045
sift1m,random,4,0.91,4,16,0.9374,2523.562,630.8905,/users/dry/Orion/experiments/c1/runs/stage1-sift1m-random-m4-tuning-pinned.json,8ae6720562dede84a0ca646f099d9ab5224278f6e64e4315dccfcc19dbff9045
sift1m,random,16,0.89,16,16,0.9765,8553.824,534.614,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-random-m16-tuning-pinned.json,6a918239f319e5f3a57e7e6c0b530ae3395c327b34c81311d680e66b403cd75f
sift1m,random,16,0.9,16,16,0.9765,8553.824,534.614,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-random-m16-tuning-pinned.json,6a918239f319e5f3a57e7e6c0b530ae3395c327b34c81311d680e66b403cd75f
sift1m,random,16,0.91,16,16,0.9765,8553.824,534.614,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-random-m16-tuning-pinned.json,6a918239f319e5f3a57e7e6c0b530ae3395c327b34c81311d680e66b403cd75f
sift1m,kmeans,4,0.89,1,48,0.9048999999999999,1414.184,1414.184,/users/dry/Orion/experiments/c1/runs/stage1-sift1m-kmeans-m4-tuning-pinned.json,c856a9b7029063b0e6c8d2a5a6a2e3c14c9d3dabbc4cbaa7175af2c6a2233a68
sift1m,kmeans,4,0.9,1,48,0.9048999999999999,1414.184,1414.184,/users/dry/Orion/experiments/c1/runs/stage1-sift1m-kmeans-m4-tuning-pinned.json,c856a9b7029063b0e6c8d2a5a6a2e3c14c9d3dabbc4cbaa7175af2c6a2233a68
sift1m,kmeans,4,0.91,1,64,0.9166,1754.022,1754.022,/users/dry/Orion/experiments/c1/runs/stage1-sift1m-kmeans-m4-tuning-pinned.json,c856a9b7029063b0e6c8d2a5a6a2e3c14c9d3dabbc4cbaa7175af2c6a2233a68
sift1m,kmeans,16,0.89,2,32,0.8964,1924.167,962.0835,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-kmeans-m16-tuning-prefix-pinned.json,fbef605e036c809eac7d85caef25a4c9d4aec77ffa1d00ce4251d4a365832d8f
sift1m,kmeans,16,0.9,3,24,0.9184,2391.42,797.14,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-kmeans-m16-tuning-prefix-pinned.json,fbef605e036c809eac7d85caef25a4c9d4aec77ffa1d00ce4251d4a365832d8f
sift1m,kmeans,16,0.91,3,24,0.9184,2391.42,797.14,/users/dry/Orion/experiments/c1/runs/stage2-e3-sift1m-kmeans-m16-tuning-prefix-pinned.json,fbef605e036c809eac7d85caef25a4c9d4aec77ffa1d00ce4251d4a365832d8f
glove-200-angular,random,4,0.89,4,128,0.9013,20151.72,5037.93,/users/dry/Orion/experiments/c1/runs/stage1-glove-200-angular-random-m4-tuning-pinned.json,55a09b29f2ca737a415a459759f289956f9e87bce2b385e01f612a39cce64441
glove-200-angular,random,4,0.9,4,128,0.9013,20151.72,5037.93,/users/dry/Orion/experiments/c1/runs/stage1-glove-200-angular-random-m4-tuning-pinned.json,55a09b29f2ca737a415a459759f289956f9e87bce2b385e01f612a39cce64441
glove-200-angular,random,4,0.91,4,192,0.9284,28321.158,7080.2895,/users/dry/Orion/experiments/c1/runs/stage1-glove-200-angular-random-m4-tuning-pinned.json,55a09b29f2ca737a415a459759f289956f9e87bce2b385e01f612a39cce64441
glove-200-angular,random,16,0.89,16,64,0.9098999999999999,45230.083,2826.8801875,/users/dry/Orion/experiments/c1/runs/stage1-glove-200-angular-random-m16-tuning-pinned.json,051eb2eca9f0611c4180cc068bfebbefff1451a3e0fd536022e933a83b38d435
glove-200-angular,random,16,0.9,16,64,0.9098999999999999,45230.083,2826.8801875,/users/dry/Orion/experiments/c1/runs/stage1-glove-200-angular-random-m16-tuning-pinned.json,051eb2eca9f0611c4180cc068bfebbefff1451a3e0fd536022e933a83b38d435
glove-200-angular,random,16,0.91,16,96,0.9412999999999999,62791.997,3924.4998125,/users/dry/Orion/experiments/c1/runs/stage1-glove-200-angular-random-m16-tuning-pinned.json,051eb2eca9f0611c4180cc068bfebbefff1451a3e0fd536022e933a83b38d435
glove-200-angular,kmeans,4,0.89,3,256,0.9042,27814.474,9271.491333333333,/users/dry/Orion/experiments/c1/runs/stage1-glove-200-angular-kmeans-m4-tuning-pinned.json,d61af0919f7e51935089b1eda9fd2a226c13f4c2c4c3f78a7db7347b9aad58bd
glove-200-angular,kmeans,4,0.9,3,256,0.9042,27814.474,9271.491333333333,/users/dry/Orion/experiments/c1/runs/stage1-glove-200-angular-kmeans-m4-tuning-pinned.json,d61af0919f7e51935089b1eda9fd2a226c13f4c2c4c3f78a7db7347b9aad58bd
glove-200-angular,kmeans,4,0.91,4,256,0.918,37603.67,9400.9175,/users/dry/Orion/experiments/c1/runs/stage1-glove-200-angular-kmeans-m4-tuning-pinned.json,d61af0919f7e51935089b1eda9fd2a226c13f4c2c4c3f78a7db7347b9aad58bd
glove-200-angular,kmeans,16,0.89,8,128,0.893,40668.276,5083.5345,/users/dry/Orion/experiments/c1/runs/stage1-glove-200-angular-kmeans-m16-tuning-pinned.json,5bd1c765a71fed57499d135fa62042a5575729f68fd4c2344c3793723986ddc6
glove-200-angular,kmeans,16,0.9,9,128,0.9001,45894.985,5099.442777777778,/users/dry/Orion/experiments/c1/runs/stage1-glove-200-angular-kmeans-m16-tuning-pinned.json,5bd1c765a71fed57499d135fa62042a5575729f68fd4c2344c3793723986ddc6
glove-200-angular,kmeans,16,0.91,7,192,0.911,49597.382,7085.3402857142855,/users/dry/Orion/experiments/c1/runs/stage1-glove-200-angular-kmeans-m16-tuning-pinned.json,5bd1c765a71fed57499d135fa62042a5575729f68fd4c2344c3793723986ddc6
