dataset,partition_method,logical_shard_count,query_count,actual_fanout_mean,oracle_fanout_mean,selected_ef_search,observed_distance_mean,observed_distance_p95,normalized_observed_distance_to_m1,observed_nodes_mean,observed_nodes_p95,observed_worker_cpu_time_us_mean,observed_worker_cpu_time_us_p95,mean_local_distance_per_searched_shard,modeled_distance_mean,normalized_modeled_distance_to_m1,model_relative_error,ideal_query_work_reduction,physical_e1_normalized_qps,physical_work_bound_projection,m_gt_4_projection,projection_status,source_e3_per_search,source_e3_per_search_sha256,status
sift1m,random,1,9000,1.0,1.0,16,1747.8517777777777,2290.0,1.0,82.64455555555556,91.0,368.8917777777778,493.0,1747.8517777777777,1747.8517777777777,1.0,0.0,1.0,1.0,1.0,,PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-sift1m-random-m1.csv,cdd4ab3ef946924f9242a09c031bf2bf4bba6e9e790d5a5bb5b502a1d7758f3b,VALID_E4
sift1m,random,2,9000,2.0,1.9775555555555555,24,1662.168888888889,2211.0,0.9509781721892767,70.795,77.0,320.8398888888889,413.0499999999993,831.0844444444444,1662.168888888889,0.9509781721892767,0.0,0.5,0.619233826921201,2.103097692974106,,PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-sift1m-random-m2.csv,ea1e614ef75b48b835ee51b92129b61a7cf663a99b0014def6883fe469ab41dc,VALID_E4
sift1m,random,4,9000,4.0,3.148222222222222,16,2443.010222222222,3195.0,1.3977216222123081,109.31955555555555,118.0,460.8186666666667,579.0,610.7525555555555,2443.010222222222,1.3977216222123081,0.0,0.25,0.39388956604255965,2.8618001871279746,,PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-sift1m-random-m4.csv,bafa050f862ab0c59a32925f40c43f46d830ebd3eda08868d6a8130c99c90283,VALID_E4
sift1m,random,8,9000,8.0,4.902666666666667,16,4544.046444444444,5868.049999999999,2.599789354118891,215.2701111111111,228.0,818.9431111111111,1007.0,568.0058055555555,4544.046444444444,2.599789354118891,0.0,0.125,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-sift1m-random-m8.csv,5de66f5a87b504730dd3a9008ac8552ace13999d348ae4fa95d35471cc5002f3,VALID_E4
sift1m,random,16,9000,16.0,6.595111111111111,16,8292.424888888889,10643.149999999998,4.744352464161403,423.33166666666665,442.0,1343.4444444444443,1626.0,518.2765555555555,8292.424888888889,4.744352464161403,0.0,0.0625,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-sift1m-random-m16.csv,77207cdecd59488ec3073bd22679a90f51e70e562fbdae1698d8a90ae48e20e8,VALID_E4
sift1m,random,32,9000,32.0,7.699888888888889,16,14995.416666666666,19044.05,8.579341141691014,796.6006666666667,821.0,1866.8092222222222,2180.0,468.6067708333333,14995.416666666666,8.579341141691014,0.0,0.03125,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-sift1m-random-m32.csv,012f9accc3490f47fcb18f310b01417daaa5e4061a0dd63644c599d581f92a16,VALID_E4
sift1m,kmeans,1,9000,1.0,1.0,16,1747.8517777777777,2290.0,1.0,82.64455555555556,91.0,367.4277777777778,493.0,1747.8517777777777,1747.8517777777777,1.0,0.0,1.0,1.0,1.0,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-sift1m-kmeans-m1.csv,c1d09e8b4acbcf668baa20f4c8eb3bcf268b83f1683ea296b6f6fc607dd54c13,VALID_E4
sift1m,kmeans,2,9000,1.0,1.001111111111111,24,1217.1542222222222,1960.0499999999993,0.696371533156956,52.934666666666665,74.0,243.17277777777778,396.0,1217.1542222222222,1217.1542222222222,0.696371533156956,0.0,0.5,1.1175076316988564,2.8720300942416865,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-sift1m-kmeans-m2.csv,711a785da8e7911322f73131074bdc0c89c239ab759d3236f7ba9138851e7444,VALID_E4
sift1m,kmeans,4,9000,1.0,1.1525555555555556,48,1931.3122222222223,3197.0499999999993,1.1049633880726983,88.17022222222222,120.0,377.54255555555557,593.0,1931.3122222222223,1931.3122222222223,1.1049633880726983,0.0,0.25,1.003456935014608,3.620029444574529,,PHYSICAL_SANITY_CHECK_PASSED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-sift1m-kmeans-m4.csv,a1137d298d002d98ce93c0e7df8a3c9b74c0db182ff2d283e996c749247ccead,VALID_E4
sift1m,kmeans,8,9000,2.0,1.3785555555555555,24,1620.5682222222222,2050.0,0.9271771455830288,69.31288888888889,76.0,308.0302222222222,405.0,810.2841111111111,1620.5682222222222,0.9271771455830288,0.0,0.125,,,,WITHHELD_PHYSICAL_SANITY_CHECK_FAILED,/users/dry/Orion/experiments/c1/runs/per_query/stage12-e3-deterministic-sift1m-kmeans-m8.csv,4d30c1af3b80c299abf989accd9583273b3d5a6c90d9aef8c43880fa9ebc6c8a,VALID_E4
