dataset,partition_method,partition_seed,logical_shards,physical_hosts,physical_hosts_with_shards,physical_core_equivalents,m32_capacity_fraction,memory_capacity_gib,common_ef_search,measurement_query_count,point_count,shard_size_mean,shard_size_std,shard_size_cv,shard_size_min,shard_size_max,max_size_over_mean,edge_cut_ratio,traversal_weighted_edge_cut,mean_retained_degree_ratio,largest_component_fraction,path_shards_mean,path_transitions_mean,structural_source,common_ef_local_target_recall_mean,common_ef_local_target_recall_median,common_ef_local_target_recall_p95,common_ef_local_target_recall_std,common_ef_local_distance_computations_mean,common_ef_local_distance_computations_median,common_ef_local_distance_computations_p95,common_ef_local_distance_computations_std,achieved_recall_at_10,P_exact_mean,P_exact_median,P_exact_p95,P_exact_std,P_HNSW_mean,P_HNSW_median,P_HNSW_p95,P_HNSW_std,Delta_P_mean,Delta_P_median,Delta_P_p95,Delta_P_std,W90_mean,W90_median,W90_p95,W90_std,hnsw_reached_90_fraction,full_fanout_wall_us_mean,full_fanout_wall_us_median,full_fanout_wall_us_p95,full_fanout_wall_us_std,total_distance_computations_mean,total_distance_computations_median,total_distance_computations_p95,total_distance_computations_std,total_graph_nodes_visited_mean,total_graph_nodes_visited_median,total_graph_nodes_visited_p95,total_graph_nodes_visited_std,total_worker_cpu_us_mean,total_worker_cpu_us_median,total_worker_cpu_us_p95,total_worker_cpu_us_std,total_response_bytes_mean,total_response_bytes_median,total_response_bytes_p95,total_response_bytes_std,closed_loop_qps_secondary,run_id,manifest_path,manifest_sha256,per_query_sha256,e3_per_query_sha256
glove-200-angular,common_m1,,1,4,1,1,0.03125,8,320,9000,1183514,1183514.0,0.0,0.0,1183514,1183514,1.0,0.0,0.0,1.0,1.0,1.0,0.0,trivial_unpartitioned_control,0.9028222222222222,1.0,1.0,0.17757887623236784,10992.990444444444,11314.0,15435.05,3056.6633978386412,0.9028222222222222,1.0,1.0,1.0,0.0,1.222,1.0,2.0,0.4155911452377204,0.222,0.0,1.0,0.41559114523772045,10992.990444444444,11314.0,15435.05,3056.6633978386412,0.778,28478.806520777776,31082.4035,35360.43915,7504.146508123838,10992.990444444444,11314.0,15435.05,3056.6633978386412,332.88533333333334,331.0,345.0,7.786767008485899,3674.269333333333,3781.0,5024.0,937.1207535813562,774.8393333333333,775.0,781.0,3.7488913324104534,486.11509061582365,s13-glove-common-m1,/proj/intelisys-PG0/exp/orion-distributed/c23-linear-20260824-v1/matrix/glove-200-angular/s13-glove-common-m1/manifest.json,6f6b659080674297e0575e3ade96cb570b83e3395854d162a7d662463c3dbde4,ddb7ad7c4839a1108cf250f465f58400ec3cc2db8cc8b648dfeeb2854fc8befc,24ffc3d1965639bba5c5b2612a500c6abfa20e138fee1002dbbbc75970739f32
glove-200-angular,kmeans,20260820,2,4,2,2,0.0625,16,320,9000,1183514,591757.0,236342.0,0.3993902902711755,355415,828099,1.3993902902711755,0.18262797795988286,0.15916042514759374,0.8193019456980056,0.9995885135283571,2.0,2191.4846666666667,accepted_metrics_checksum_bound_to_identical_partition,0.9053525742400282,1.0,1.0,0.20640691158705074,10751.068413284132,10961.0,15146.0,2981.5492139567014,0.9161222222222223,1.3296666666666668,1.0,2.0,0.47009207136002146,1.6695555555555555,1.0,3.0,0.795072199532304,0.3398888888888889,0.0,2.0,0.6743951931495433,15873.012333333334,13428.5,28450.399999999994,7631.960764207547,0.7945555555555556,27585.935404555556,29928.375,34157.3065,6800.591917820144,21408.66911111111,21835.5,28655.199999999997,4811.24865098694,665.1207777777778,663.0,682.0,9.069421851937149,6130.479222222222,6239.5,8061.0,1279.6744735419827,1543.9853333333333,1544.0,1553.0,5.555678416419247,499.1703519736404,s13-glove-kmeans-m2,/proj/intelisys-PG0/exp/orion-distributed/c23-linear-20260824-v1/matrix/glove-200-angular/s13-glove-kmeans-m2/manifest.json,9ecb4ea70e8cbad038925a366ceafa4cc4ad204738a384da6ed335fd53a5d329,1e8fb919137951497f9d8f34e1aad09c66b379e3e72098cb0ba706c8df2012ba,70843a4eedb690f95f3d01a95734d2625c5856e71ed0624057b855ee6983b336
glove-200-angular,kmeans,20260820,4,4,4,4,0.125,32,320,9000,1183514,295878.5,141739.88967912315,0.479047614744306,177560,528812,1.7872606492191896,0.27809444113502046,0.24085503574452727,0.7220880009957564,0.9989387535762145,4.0,3432.8547777777776,accepted_metrics_checksum_bound_to_identical_partition,0.9113933937709238,1.0,1.0,0.22013930471670853,10836.822000586682,11080.0,15391.8,3208.0177582460556,0.929311111111111,1.5385555555555555,1.0,3.0,0.6415797536136201,2.1454444444444443,2.0,5.0,1.4603124940391745,0.6068888888888889,0.0,4.0,1.2491407219404371,21957.758555555556,14186.5,54479.2,16268.870484791709,0.8227777777777778,28799.531767888886,28827.5755,43765.891950000005,9210.40991773676,45645.90344444445,47533.5,55266.05,8107.230472794662,1324.8056666666666,1322.0,1345.0,11.000773260700056,10749.205333333333,11054.5,13234.0,1842.6792488880603,3074.338333333333,3075.0,3086.0,7.5632795282352365,503.2289665956004,s13-glove-kmeans-m4,/proj/intelisys-PG0/exp/orion-distributed/c23-linear-20260824-v1/matrix/glove-200-angular/s13-glove-kmeans-m4/manifest.json,27fcba3369e96f1d12a18734bec6a272689a45e66c12d2ba74e07f2e85152767,15e0577ca729d82ed99576a39b2504697d940de20d1334b1aee3794c7ca3af4b,be5d2aef6740b10812fe8370c4511c68d5d1a399a732d101090399a13ea539e6
glove-200-angular,kmeans,20260820,8,4,4,8,0.25,64,320,9000,1183514,147939.25,54258.164389679645,0.3667597638198088,68251,256096,1.73108894360354,0.38286345445511616,0.3510287291348217,0.6200044652829055,0.9975243216387808,8.0,4926.976111111111,accepted_metrics_checksum_bound_to_identical_partition,0.9282055414758497,1.0,1.0,0.2137169430087515,10592.943464052287,10831.0,14981.099999999999,3059.9893083100396,0.9542444444444446,1.8713333333333333,2.0,4.0,0.9636161061335577,2.7006666666666668,2.0,9.0,2.5162493252193165,0.8293333333333334,0.0,7.0,2.0963952129521974,27743.286333333333,16693.0,98335.05,28152.739313843605,0.8786666666666667,55552.76575877778,57554.582,82411.61295,18427.81591232441,87890.41933333334,90055.0,100704.25,10559.295887486669,2630.0785555555553,2628.0,2652.0,11.843542362458878,18593.754555555555,18753.5,22173.149999999998,2399.6996810900505,6129.702666666667,6130.0,6146.0,10.150228984828097,269.9970930895233,s13-glove-kmeans-m8,/proj/intelisys-PG0/exp/orion-distributed/c23-linear-20260824-v1/matrix/glove-200-angular/s13-glove-kmeans-m8/manifest.json,63b3b293f27c14e97cc00caa15873d164c9a82bc81b34c18b87cbc3f71ad76c4,a05fef571c30101a571b0fdb8d1079c8b2fa43300e6670ce6182b159deec2ce8,2cb27bfb40a09fd93f99718d5e37f3e34f480d489a7347e2338e334a54d3a762
glove-200-angular,kmeans,20260820,16,4,4,16,0.5,128,320,9000,1183514,73969.625,25429.31636388157,0.3437805229360237,20789,119678,1.6179343886088378,0.40790288227783955,0.38649411773618225,0.5950921634796098,0.9954288669166567,15.86111111111111,5368.683333333333,accepted_metrics_checksum_bound_to_identical_partition,0.9481086651793383,1.0,1.0,0.19336290527106598,10067.710285451582,10331.0,14551.0,3035.027042311366,0.9708666666666668,2.1136666666666666,2.0,5.0,1.277006873730739,3.1075555555555554,2.0,17.0,3.9716479398386624,0.9938888888888889,0.0,13.0,3.443587662257826,30852.107333333333,15943.5,173154.94999999998,42124.64201970981,0.9313333333333333,111816.7616028889,117260.95850000001,159103.79824999996,35173.259102155855,167193.74955555555,169187.0,179992.0,10270.508783889152,5225.166222222222,5223.0,5246.0,11.803075548138363,33087.586,33176.5,36795.1,2351.4721191305766,12237.954333333333,12238.0,12261.0,14.577754098473317,135.41965851919903,s13-glove-kmeans-m16,/proj/intelisys-PG0/exp/orion-distributed/c23-linear-20260824-v1/matrix/glove-200-angular/s13-glove-kmeans-m16/manifest.json,5917839836290e0f02291e7d0ec9928ac22f702db9c4cf401ce0c8cdc66fef87,622c7d2dfc3efb23766cdba568388f190bd3ec0f508b3de1234809446bba731e,7e478985d62610c0d979f5459693fa005361b502962e84670027b4bfbf908d41
glove-200-angular,kmeans,20260820,32,4,4,32,1.0,256,320,9000,1183514,36984.8125,15414.836654659814,0.41678828721004907,15843,68153,1.8427293635732234,0.4763263276198857,0.45561525352212057,0.5312960092640093,0.9946582803414239,31.68188888888889,6243.324444444444,accepted_metrics_checksum_bound_to_identical_partition,0.9682365673386277,1.0,1.0,0.15729210470343644,9148.491865290684,9243.0,13479.0,2910.2818912229554,0.9826000000000001,2.418111111111111,2.0,5.0,1.520659501988415,3.3048888888888888,2.0,6.049999999999272,5.352500816221733,0.8867777777777778,0.0,1.0,4.821452369423271,29483.59488888889,16946.0,66916.74999999999,49388.10852153129,0.971,251204.2577483333,266877.9625,352491.76495,77620.94496161044,290358.77077777777,292825.5,302895.45,10748.648522261943,10416.96411111111,10415.0,10441.0,12.903278687083498,50926.74522222222,51063.0,53841.05,1930.179400262938,24383.735111111113,24384.0,24420.0,21.942122111715452,61.323405112044654,s13-glove-kmeans-m32,/proj/intelisys-PG0/exp/orion-distributed/c23-linear-20260824-v1/matrix/glove-200-angular/s13-glove-kmeans-m32/manifest.json,2ffd369585b9e77d556ac8c683c2ae43b3aa72726a85fbaa9e26562f28079b33,f265c23cd9c0e460b51aeb4f29f827ec39636286e6a57aaf685a7cbd6a14ad66,ae5f4bf043522663a9a987c43403c0b76e9179eb4cf71a70ea4e6cdf7aabcfad
glove-200-angular,orion,1,2,4,2,2,0.0625,16,320,9000,1183514,591757.0,349982.0,0.5914285762568081,241775,941739,1.5914285762568081,0.19171906286805449,0.1519223456083425,0.8206423444112576,0.9997338434526334,2.0,1881.2954444444445,accepted_metrics_checksum_bound_to_identical_partition,0.9255250943004587,1.0,1.0,0.17218826303040052,10555.180069141741,10934.5,15043.0,3131.1762832713944,0.9109,1.3083333333333333,1.0,2.0,0.4618050334165803,1.6995555555555555,1.0,3.0,0.7942570408334951,0.39122222222222225,0.0,2.0,0.75111077416166,16038.51888888889,13579.0,28439.199999999997,7812.948284502456,0.7896666666666666,28174.07872522222,30679.074,34802.6696,6980.504430326885,21572.71,22215.5,28527.1,4996.499012520889,663.1173333333334,661.0,677.0,8.07543666517999,6074.457888888889,6208.5,7932.0,1288.3572327252807,1541.4683333333332,1542.0,1549.0,5.115455611293203,488.54851182528364,s13-glove-orion-m2,/proj/intelisys-PG0/exp/orion-distributed/c23-linear-20260824-v1/matrix/glove-200-angular/s13-glove-orion-m2/manifest.json,7d03e273c7577d118d43f5b6235adb6b0d89d274de822d95d32f0ea3ece9718a,7d2ddeb64d25ab7bb3055f5b8ccc6895bd2d2780ce67ee50373316e64e16d8f3,2afe08315447771999088c1e9511dbb1c080a8b67b6cdfcce4cb6f277dcf849a
glove-200-angular,orion,1,4,4,4,4,0.125,32,320,9000,1183514,295878.5,100058.61349354188,0.338174667958442,180825,453932,1.5341837950374901,0.4261470495005202,0.38426497834183826,0.5934194431078287,0.9988635537898157,4.0,4841.834222222222,accepted_metrics_checksum_bound_to_identical_partition,0.9120540976148381,1.0,1.0,0.21905604879289312,10604.465830273357,10738.5,15353.949999999993,3032.8512667046457,0.9358666666666666,1.7824444444444445,2.0,3.0,0.7215743761019467,2.277222222222222,2.0,5.0,1.394486387151419,0.49477777777777776,0.0,3.0,1.0360048560351418,22696.29977777778,18389.5,53228.59999999999,15835.083734898417,0.8332222222222222,28912.30073188889,28750.9165,44241.435699999995,9333.553113813416,43939.74566666667,44582.0,53826.05,6792.701562631853,1324.245111111111,1322.0,1343.0,10.424465266802198,10279.852888888889,10357.0,12805.299999999996,1605.7091683955198,3074.001333333333,3074.0,3086.0,7.47820525111325,502.0143370733093,s13-glove-orion-m4,/proj/intelisys-PG0/exp/orion-distributed/c23-linear-20260824-v1/matrix/glove-200-angular/s13-glove-orion-m4/manifest.json,172625dc8fb6505cca96508b82a8e0df925fe1b7c422100bca6409132690c97c,972fd0773ac74ee7a23005c28b9e22541550177be94839338fa97c33d2f0679c,04c33a52761001d005905093afea2fc10704d52a6a6dcc5940989b1ecc3c3ec0
glove-200-angular,orion,1,8,4,4,8,0.25,64,320,9000,1183514,147939.25,88606.16684202911,0.5989361636078938,50145,315143,2.1302189919172902,0.4780778131328024,0.4229195582624821,0.5404885176238949,0.9943777597899137,7.999333333333333,5421.949444444444,accepted_metrics_checksum_bound_to_identical_partition,0.9240136843517328,1.0,1.0,0.21754129161416563,10118.932797035297,10301.0,14698.7,3061.938010187147,0.9469333333333335,1.9457777777777778,2.0,4.0,0.9290101994151,2.8885555555555555,2.0,9.0,2.618592098866663,0.9427777777777778,0.0,7.0,2.19366589564783,28036.89011111111,17619.5,91731.45,27444.169482780693,0.8603333333333333,55893.96517244444,58267.0665,82080.22285,17889.398130805635,82057.41622222222,83005.5,93944.29999999999,8391.475559153478,2628.8806666666665,2627.0,2650.0,11.638603562665448,18359.367555555556,18388.0,21781.1,2104.081030973597,6130.319555555556,6131.0,6147.0,10.161446518976748,268.930317252157,s13-glove-orion-m8,/proj/intelisys-PG0/exp/orion-distributed/c23-linear-20260824-v1/matrix/glove-200-angular/s13-glove-orion-m8/manifest.json,c5fd67c6dd6e2696222be5e139cac01fb5a2eff981a7d39309c52e9da0adcc4b,d1193c37cb557b62caa856df5c551966cf4f117dde9a10cdd54e8748241b396e,5bdd7e7859fbdae97e1cde2447a74d2bf5c641b1bcdbff18da5a59704875062e
glove-200-angular,orion,1,16,4,4,16,0.5,128,320,9000,1183514,73969.625,44040.050327620826,0.5953802027199789,14531,193106,2.6106121262612865,0.4958598214345373,0.44711967256127444,0.5220370299179327,0.9876554058507123,15.991333333333333,5830.9638888888885,accepted_metrics_checksum_bound_to_identical_partition,0.9325478663371194,1.0,1.0,0.21895434398471023,9531.373535632933,9232.0,13778.0,2754.18972230916,0.9625666666666669,2.1724444444444444,2.0,5.0,1.3365114715483168,3.4904444444444445,2.0,17.0,4.539275250793803,1.318,0.0,13.0,3.859647134130269,32547.523444444443,15836.5,163068.05,44407.840822555765,0.9053333333333333,112956.484375,118056.3995,161551.48105,35065.138749212674,154604.28966666668,156630.5,167075.3,10322.286530059548,5224.424666666667,5223.0,5246.0,12.055883413872618,30531.211555555554,30637.0,33980.1,2227.9705286101425,12226.744222222222,12227.0,12250.0,14.156244007329832,133.9796180578702,s13-glove-orion-m16,/proj/intelisys-PG0/exp/orion-distributed/c23-linear-20260824-v1/matrix/glove-200-angular/s13-glove-orion-m16/manifest.json,c81aff85d421c5deb319fd7d3429d8c77fd324db1c6fb656bb5e6bd1b3ccfc25,b625ba4ce8903818d1e34dd9332cdccba7cf73efc6171dad9daacfabd35016b5,3e624d8055de4c7dc2075f53efac413ec404d9934951f76608369638ad7a2a27
