scope,relation,x_metric,y_metric,expected_direction_under_claim,configuration_count,pearson_r,pearson_p_value,spearman_rho,spearman_p_value,interpretation
pooled,topology_disruption_vs_local_target_recall,traversal_weighted_edge_cut,common_ef_local_target_recall_mean,negative,40,0.8452349670846775,6.86653657675857e-12,0.7667917448405254,7.958915685828202e-09,configuration-level consistency diagnostic; not causal proof
pooled,topology_disruption_vs_local_work,traversal_weighted_edge_cut,common_ef_local_distance_computations_mean,positive,40,0.18787891022589134,0.24566420619533624,0.006191369606003753,0.9697544253255672,configuration-level consistency diagnostic; not causal proof
pooled,local_target_recall_vs_hnsw_fanout,common_ef_local_target_recall_mean,P_HNSW_mean,negative,40,0.9035255021915478,1.4665385403319353e-15,0.8803001876172608,7.17054218285017e-14,configuration-level consistency diagnostic; not causal proof
pooled,topology_disruption_vs_hnsw_fanout,traversal_weighted_edge_cut,P_HNSW_mean,positive,40,0.8412990569954905,1.0671751338417594e-11,0.8082551594746717,2.855850092804669e-10,configuration-level consistency diagnostic; not causal proof
pooled,exact_fanout_vs_hnsw_fanout,P_exact_mean,P_HNSW_mean,positive,40,0.87827283362619,9.686698825756624e-14,0.8395872420262666,1.2879950678838977e-11,configuration-level consistency diagnostic; not causal proof
pooled,hnsw_fanout_vs_work_to_90,P_HNSW_mean,W90_mean,positive,40,0.4040069014485456,0.009726764204595844,0.49699812382739217,0.0011048672688706213,configuration-level consistency diagnostic; not causal proof
sift1m,topology_disruption_vs_local_target_recall,traversal_weighted_edge_cut,common_ef_local_target_recall_mean,negative,20,0.9621720287262606,1.3129487756756895e-11,0.9503759398496241,1.4466901765702984e-10,configuration-level consistency diagnostic; not causal proof
sift1m,topology_disruption_vs_local_work,traversal_weighted_edge_cut,common_ef_local_distance_computations_mean,positive,20,-0.7725077484801696,6.556452936288359e-05,-0.7639097744360903,8.847255639528148e-05,configuration-level consistency diagnostic; not causal proof
sift1m,local_target_recall_vs_hnsw_fanout,common_ef_local_target_recall_mean,P_HNSW_mean,negative,20,0.9240403919351843,6.054912783153657e-09,0.9458646616541352,3.113604214027191e-10,configuration-level consistency diagnostic; not causal proof
sift1m,topology_disruption_vs_hnsw_fanout,traversal_weighted_edge_cut,P_HNSW_mean,positive,20,0.8430061105978268,3.066621723093367e-06,0.8721804511278194,5.3897404423302e-07,configuration-level consistency diagnostic; not causal proof
sift1m,exact_fanout_vs_hnsw_fanout,P_exact_mean,P_HNSW_mean,positive,20,0.836219392765093,4.372317865516017e-06,0.8887218045112781,1.6485274130235867e-07,configuration-level consistency diagnostic; not causal proof
sift1m,hnsw_fanout_vs_work_to_90,P_HNSW_mean,W90_mean,positive,20,0.9875725337588248,6.419597992764067e-16,0.9759398496240601,2.3519202099227064e-13,configuration-level consistency diagnostic; not causal proof
glove-200-angular,topology_disruption_vs_local_target_recall,traversal_weighted_edge_cut,common_ef_local_target_recall_mean,negative,20,0.8618019688838834,1.0460070068848716e-06,0.8466165413533834,2.5220574871575744e-06,configuration-level consistency diagnostic; not causal proof
glove-200-angular,topology_disruption_vs_local_work,traversal_weighted_edge_cut,common_ef_local_distance_computations_mean,positive,20,-0.07333214049718563,0.7586542170781551,-0.10075187969924812,0.6725564354857818,configuration-level consistency diagnostic; not causal proof
glove-200-angular,local_target_recall_vs_hnsw_fanout,common_ef_local_target_recall_mean,P_HNSW_mean,negative,20,0.9074342224675876,3.372955542278907e-08,0.8812030075187969,2.88608487615473e-07,configuration-level consistency diagnostic; not causal proof
glove-200-angular,topology_disruption_vs_hnsw_fanout,traversal_weighted_edge_cut,P_HNSW_mean,positive,20,0.8958455595937572,9.336097734072409e-08,0.8706766917293233,5.953878226538418e-07,configuration-level consistency diagnostic; not causal proof
glove-200-angular,exact_fanout_vs_hnsw_fanout,P_exact_mean,P_HNSW_mean,positive,20,0.9454815303149275,3.312956433124374e-10,0.9473684210526315,2.429729310669123e-10,configuration-level consistency diagnostic; not causal proof
glove-200-angular,hnsw_fanout_vs_work_to_90,P_HNSW_mean,W90_mean,positive,20,0.9838384973507401,6.7379385252098e-15,0.9819548872180449,1.804935413691644e-14,configuration-level consistency diagnostic; not causal proof
