dataset,partition_method,partition_seed,logical_shards,local_recall_threshold,query_shard_pair_count,success_count,success_fraction,required_ef_search_mean,required_ef_search_median,required_ef_search_p95,required_ef_search_std,required_distance_computations_mean,required_distance_computations_median,required_distance_computations_p95,required_distance_computations_std,required_graph_nodes_visited_mean,required_graph_nodes_visited_median,required_graph_nodes_visited_p95,required_graph_nodes_visited_std
glove-200-angular,common_m1,,1,0.8,9000,7591,0.8434444444444444,58.59254380187063,16.0,320.0,85.92186616013039,2909.1947042550387,1237.0,12549.5,3579.7146062034476,74.59636411539982,33.0,330.0,86.64635289640071
glove-200-angular,common_m1,,1,0.9,9000,7002,0.778,68.81719508711797,20.0,320.0,92.39315916080126,3187.94715795487,1414.5,13074.649999999998,3714.977144172818,83.98586118251929,38.0,331.0,92.62188569881948
glove-200-angular,common_m1,,1,0.95,9000,5927,0.6585555555555556,84.8344862493673,32.0,320.0,100.68032174129458,3528.654800067488,1702.0,12794.199999999997,3761.6163330099857,99.0,48.0,331.0,100.37267993671595
glove-200-angular,kmeans,20260820,2,0.8,13550,11335,0.8365313653136531,60.434230260255845,16.0,320.0,88.74835720127402,2861.718659020732,1232.0,12225.599999999999,3512.4930805006497,76.55562417291574,34.0,330.0,88.94964137800447
glove-200-angular,kmeans,20260820,2,0.9,13550,10453,0.7714391143911439,67.65866258490385,20.0,320.0,92.04954082943219,3024.1339328422464,1369.0,12096.799999999997,3500.845800585494,83.26356070027744,39.0,331.0,91.95180008939244
glove-200-angular,kmeans,20260820,2,0.95,13550,10006,0.738450184501845,74.26164301419149,24.0,320.0,96.42836949566622,3187.325404757146,1487.0,12230.5,3573.389388439967,89.62912252648411,42.0,331.0,96.05134954970382
glove-200-angular,kmeans,20260820,4,0.8,17045,14625,0.8580228806101496,62.45196581196581,16.0,320.0,90.59547450291923,2939.417572649573,1201.0,12576.999999999996,3643.8042703950664,77.50666666666666,33.0,330.0,90.321913025852
glove-200-angular,kmeans,20260820,4,0.9,17045,13754,0.806922851276034,68.8736367602152,20.0,320.0,94.50880275518212,3110.0287916242546,1308.0,12896.89999999998,3723.1321690504883,83.59597208084921,36.0,330.0,93.95890966898187
glove-200-angular,kmeans,20260820,4,0.95,17045,13483,0.7910237606336169,74.35926722539494,20.0,320.0,98.26655249138376,3269.5872580286286,1403.0,13001.399999999994,3807.50390043108,88.95631536008307,40.0,330.0,97.52548841576011
glove-200-angular,kmeans,20260820,8,0.8,21420,19109,0.8921101774042951,64.33722329792245,16.0,320.0,91.50486059171367,2943.6209639436915,1201.0,12607.599999999991,3625.8852621756237,77.24114291695012,32.0,329.0,90.96757978046416
glove-200-angular,kmeans,20260820,8,0.9,21420,18393,0.8586834733893557,71.71880606752569,20.0,320.0,96.44234072090165,3164.400695916925,1320.0,12984.0,3759.4293614504477,84.34899146414396,36.0,329.0,95.70047501421605
glove-200-angular,kmeans,20260820,8,0.95,21420,18261,0.8525210084033613,75.14769180220141,20.0,320.0,98.35711041629678,3266.1758939817096,1401.0,13077.0,3801.0523147937524,87.70702590219594,38.0,329.0,97.51329612647093
glove-200-angular,kmeans,20260820,16,0.8,23927,22230,0.9290759393154178,61.7429599640126,16.0,320.0,88.0245209960937,2712.0195681511473,1119.0,10972.099999999999,3308.8924597836826,71.96504723346828,29.0,326.0,87.19404109568273
glove-200-angular,kmeans,20260820,16,0.9,23927,21735,0.9083880135411878,68.60685530250748,20.0,320.0,92.98441918963651,2923.598481711525,1230.0,11681.899999999998,3459.948394528064,78.61058201058201,32.0,326.0,92.00666151609546
glove-200-angular,kmeans,20260820,16,0.95,23927,21626,0.9038324904919129,71.97863682604273,20.0,320.0,94.94622496145598,3023.8267825765283,1286.0,11810.75,3508.170680496623,81.91029316563396,34.0,326.0,93.9026824378093
glove-200-angular,kmeans,20260820,32,0.8,27229,26084,0.9579492452899482,54.38023309308388,16.0,320.0,80.31172610206609,2273.7246587946634,1001.0,7894.0,2799.8176124033967,63.489418800797424,26.0,324.0,79.35228998243086
glove-200-angular,kmeans,20260820,32,0.9,27229,25817,0.9481435234492637,61.16210249060696,16.0,320.0,85.8579459610619,2472.6231940194443,1091.0,8700.999999999898,2956.4706243028927,70.07526048727583,29.0,325.0,84.76378246280791
glove-200-angular,kmeans,20260820,32,0.95,27229,25760,0.9460501671012523,63.06894409937888,20.0,320.0,86.93465221663874,2522.605395962733,1127.0,8998.099999999999,2976.695124118474,71.94153726708075,30.0,325.0,85.80010441434548
glove-200-angular,orion,1,2,0.8,13306,11517,0.8655493762212536,53.391508205261786,16.0,320.0,81.38987565917606,2603.517495875662,1130.0,11407.399999999992,3295.5029608045797,68.61752192411218,31.0,329.0,81.61798223040896
glove-200-angular,orion,1,2,0.9,13306,10774,0.809709905305877,61.985335065899385,16.0,320.0,88.08262743520022,2826.5127157972897,1231.0,12153.450000000003,3432.041254476661,76.644050491925,34.0,329.0,87.87275949518772
glove-200-angular,orion,1,2,0.95,13306,10223,0.7683000150308131,65.93700479311357,20.0,320.0,90.51972677947461,2893.306954905605,1283.0,12025.599999999999,3418.0377875623176,80.3753301379243,37.0,330.0,90.15450933255809
glove-200-angular,orion,1,4,0.8,19608,16747,0.8540901672786617,63.42318027109333,16.0,320.0,91.54623269132843,2918.796381441452,1217.0,11855.399999999998,3599.9178338790125,77.93055472621963,33.0,330.0,91.18189157980773
glove-200-angular,orion,1,4,0.9,19608,15880,0.8098735210118319,70.7580604534005,20.0,320.0,95.84405314462812,3128.0086901763225,1349.0,12267.099999999999,3698.9768930019372,84.9331234256927,37.0,330.0,95.29997217360324
glove-200-angular,orion,1,4,0.95,19608,15754,0.8034475724194207,73.5304049765139,20.0,320.0,97.15419071712617,3202.4023105243114,1415.5,12293.349999999999,3717.1579444296185,87.6566586263806,40.0,330.0,96.52417813684642
glove-200-angular,orion,1,8,0.8,22127,19506,0.881547430740724,64.21767661232441,16.0,320.0,91.29510307030301,2835.484415051779,1174.0,12030.75,3480.1600171970463,77.05552137803753,32.0,329.0,90.92944739908893
glove-200-angular,orion,1,8,0.9,22127,18827,0.850860939124147,70.73957614064906,20.0,320.0,95.43856776937136,3018.6969777447284,1290.0,12220.400000000001,3572.534736845673,83.30578424602963,36.0,329.0,94.88137715941444
glove-200-angular,orion,1,8,0.95,22127,18737,0.8467935101911691,73.0017612211133,20.0,320.0,96.45824283306996,3080.2079842023804,1346.0,12235.2,3587.046320135249,85.51993382078241,38.0,329.0,95.83543740072247
glove-200-angular,orion,1,16,0.8,24584,22277,0.9061584770582493,65.57902769672756,16.0,320.0,91.07134587799624,2710.5146114826953,1174.0,10751.400000000005,3218.7712302985888,76.19284463796741,31.0,326.0,90.32946423192885
glove-200-angular,orion,1,16,0.9,24584,21759,0.8850878620240807,73.0942598465003,20.0,320.0,95.89614905561925,2933.4360034928077,1295.0,11627.099999999999,3359.811100142778,83.4873385725447,36.0,327.0,94.96173764913677
glove-200-angular,orion,1,16,0.95,24584,21700,0.8826879271070615,75.72626728110599,24.0,320.0,97.0430314612607,3003.5823041474655,1359.5,11663.249999999996,3377.700027443516,86.06562211981567,38.0,327.0,96.04032432526645
glove-200-angular,orion,1,32,0.8,27297,25407,0.9307616221562809,54.557169284055576,16.0,320.0,81.09751762273248,2167.890463258157,979.0,8048.799999999988,2620.861260120613,64.57932853150706,27.0,325.0,80.59966093936714
glove-200-angular,orion,1,32,0.9,27297,24982,0.9151921456570319,59.67512609078536,16.0,320.0,84.76442968062874,2306.359058522136,1052.0,8586.849999999991,2711.338305550037,69.50960691698023,29.0,325.0,84.08292480229727
glove-200-angular,orion,1,32,0.95,27297,24932,0.9133604425394732,61.17343173431734,16.0,320.0,85.45318598550807,2344.320592010268,1079.0,8647.449999999997,2724.0456827775442,70.97380875982672,31.0,325.0,84.73204428348353
glove-200-angular,orion_no_refinement,1,2,0.8,14584,12594,0.8635490948985189,53.79148801016357,16.0,320.0,81.9959757470455,2673.8989995235825,1148.0,11610.849999999984,3385.9083421638356,68.81467365412101,31.0,329.0,82.30114385113414
glove-200-angular,orion_no_refinement,1,2,0.9,14584,11765,0.8067059791552387,61.290777730556734,16.0,320.0,87.35302597746076,2867.2311942201445,1250.0,11951.599999999999,3465.138618215267,75.75010624734382,34.0,329.0,87.22662488855669
glove-200-angular,orion_no_refinement,1,2,0.95,14584,11424,0.7833241908941305,64.77573529411765,20.0,320.0,90.24261253480199,2946.204744397759,1298.0,11990.550000000001,3498.8550956564577,79.11467086834733,35.0,330.0,90.00250044241032
glove-200-angular,orion_no_refinement,1,4,0.8,20737,17943,0.8652649852919901,59.907484813019,16.0,320.0,89.43341644158309,2801.7556150030655,1146.0,12723.899999999998,3584.255627247952,74.24209998328038,31.0,329.0,89.07165862344227
glove-200-angular,orion_no_refinement,1,4,0.9,20737,17004,0.8199836041857549,65.03622677017172,16.0,320.0,92.3968248090079,2916.3465655139967,1221.0,12720.849999999999,3598.714641747706,79.09015525758645,34.0,330.0,91.82351568597691
glove-200-angular,orion_no_refinement,1,4,0.95,20737,16899,0.8149201909630129,66.96952482395407,16.0,320.0,93.77412774880118,2964.937096869637,1249.0,12765.999999999985,3617.5242753794455,80.99248476241198,35.0,330.0,93.1228297176056
