dataset,partition_method,partition_seed,logical_shards,shard_id,physical_host_id,host_slot,cpuset,vector_count,query_participation_count,query_participation_fraction,memory_cap_bytes
glove-200-angular,common_m1,,1,0,0,0,"0,16",1183514,9000,1.0,8589934592
glove-200-angular,kmeans,20260820,2,0,0,0,"0,16",828099,8061,0.8956666666666667,8589934592
glove-200-angular,kmeans,20260820,2,1,1,0,"0,16",355415,5489,0.6098888888888889,8589934592
glove-200-angular,kmeans,20260820,4,0,0,0,"0,16",528812,6583,0.7314444444444445,8589934592
glove-200-angular,kmeans,20260820,4,1,1,0,"0,16",185963,3324,0.36933333333333335,8589934592
glove-200-angular,kmeans,20260820,4,2,2,0,"0,16",291179,4500,0.5,8589934592
glove-200-angular,kmeans,20260820,4,3,3,0,"0,16",177560,2638,0.2931111111111111,8589934592
glove-200-angular,kmeans,20260820,8,0,0,0,"0,16",176385,3063,0.3403333333333333,8589934592
glove-200-angular,kmeans,20260820,8,1,1,0,"0,16",100608,1865,0.20722222222222222,8589934592
glove-200-angular,kmeans,20260820,8,2,2,0,"0,16",176261,2731,0.30344444444444446,8589934592
glove-200-angular,kmeans,20260820,8,3,3,0,"0,16",161546,3173,0.35255555555555557,8589934592
glove-200-angular,kmeans,20260820,8,4,0,1,"1,17",256096,4421,0.4912222222222222,8589934592
glove-200-angular,kmeans,20260820,8,5,1,1,"1,17",130553,2751,0.30566666666666664,8589934592
glove-200-angular,kmeans,20260820,8,6,2,1,"1,17",68251,1444,0.16044444444444445,8589934592
glove-200-angular,kmeans,20260820,8,7,3,1,"1,17",113814,1972,0.21911111111111112,8589934592
glove-200-angular,kmeans,20260820,16,0,0,0,"0,16",119678,2036,0.2262222222222222,8589934592
glove-200-angular,kmeans,20260820,16,1,1,0,"0,16",39522,777,0.08633333333333333,8589934592
glove-200-angular,kmeans,20260820,16,2,2,0,"0,16",87201,1561,0.17344444444444446,8589934592
glove-200-angular,kmeans,20260820,16,3,3,0,"0,16",78814,1517,0.16855555555555554,8589934592
glove-200-angular,kmeans,20260820,16,4,0,1,"1,17",79552,1472,0.16355555555555557,8589934592
glove-200-angular,kmeans,20260820,16,5,1,1,"1,17",68608,1559,0.17322222222222222,8589934592
glove-200-angular,kmeans,20260820,16,6,2,1,"1,17",36599,833,0.09255555555555556,8589934592
glove-200-angular,kmeans,20260820,16,7,3,1,"1,17",81789,1441,0.16011111111111112,8589934592
glove-200-angular,kmeans,20260820,16,8,0,2,"2,18",76177,1619,0.17988888888888888,8589934592
glove-200-angular,kmeans,20260820,16,9,1,2,"2,18",20789,716,0.07955555555555556,8589934592
glove-200-angular,kmeans,20260820,16,10,2,2,"2,18",113883,2718,0.302,8589934592
glove-200-angular,kmeans,20260820,16,11,3,2,"2,18",100982,2798,0.3108888888888889,8589934592
glove-200-angular,kmeans,20260820,16,12,0,3,"3,19",63916,1370,0.15222222222222223,8589934592
glove-200-angular,kmeans,20260820,16,13,1,3,"3,19",71770,1142,0.12688888888888888,8589934592
glove-200-angular,kmeans,20260820,16,14,2,3,"3,19",65568,1038,0.11533333333333333,8589934592
glove-200-angular,kmeans,20260820,16,15,3,3,"3,19",78666,1330,0.14777777777777779,8589934592
glove-200-angular,kmeans,20260820,32,0,0,0,"0,16",16399,290,0.03222222222222222,8589934592
glove-200-angular,kmeans,20260820,32,1,1,0,"0,16",26485,427,0.04744444444444444,8589934592
glove-200-angular,kmeans,20260820,32,2,2,0,"0,16",26248,451,0.05011111111111111,8589934592
glove-200-angular,kmeans,20260820,32,3,3,0,"0,16",39963,939,0.10433333333333333,8589934592
glove-200-angular,kmeans,20260820,32,4,0,1,"1,17",54737,1540,0.1711111111111111,8589934592
glove-200-angular,kmeans,20260820,32,5,1,1,"1,17",54874,1059,0.11766666666666667,8589934592
glove-200-angular,kmeans,20260820,32,6,2,1,"1,17",25076,636,0.07066666666666667,8589934592
glove-200-angular,kmeans,20260820,32,7,3,1,"1,17",64985,1267,0.14077777777777778,8589934592
glove-200-angular,kmeans,20260820,32,8,0,2,"2,18",40847,1674,0.186,8589934592
glove-200-angular,kmeans,20260820,32,9,1,2,"2,18",19274,463,0.051444444444444445,8589934592
