dataset,partition_method,logical_shards,run_id,phase,phase_index,shard_id,physical_host_id,cpuset,cpu_usage_usec_cumulative,cpu_usage_usec_since_previous_snapshot,user_usec_cumulative,system_usec_cumulative,nr_throttled_cumulative,throttled_usec_cumulative,memory_current_bytes,memory_max_bytes,oom_killed,snapshot_timestamp
glove-200-angular,common_m1,1,s13-glove-common-m1,before_upload,0,0,0,"0,16",82955,0,49773,33182,0,0,16777216,8589934592,False,2026-08-24T18:50:45.085356Z
glove-200-angular,common_m1,1,s13-glove-common-m1,after_upload,1,0,0,"0,16",189053446,188970491,180784309,8269137,0,0,1815527424,8589934592,False,2026-08-24T18:53:11.487439Z
glove-200-angular,common_m1,1,s13-glove-common-m1,after_index,2,0,0,"0,16",1967887548,1778834102,1954074499,13813048,0,0,1315635200,8589934592,False,2026-08-24T19:22:55.764864Z
glove-200-angular,common_m1,1,s13-glove-common-m1,after_e4,3,0,0,"0,16",2003886001,35998453,1989004184,14881816,0,0,1307119616,8589934592,False,2026-08-24T19:23:15.590770Z
glove-200-angular,common_m1,1,s13-glove-common-m1,after_e3,4,0,0,"0,16",2065569705,61683704,2045664120,19905585,0,0,1306951680,8589934592,False,2026-08-24T19:24:04.179395Z
glove-200-angular,kmeans,2,s13-glove-kmeans-m2,before_upload,0,0,0,"0,16",81862,0,34468,47394,0,0,16871424,8589934592,False,2026-08-24T19:40:36.720790Z
glove-200-angular,kmeans,2,s13-glove-kmeans-m2,before_upload,0,1,1,"0,16",92335,0,60219,32116,0,0,16801792,8589934592,False,2026-08-24T19:40:36.720790Z
glove-200-angular,kmeans,2,s13-glove-kmeans-m2,after_upload,1,0,0,"0,16",175380942,175299080,169089482,6291459,0,0,1681883136,8589934592,False,2026-08-24T19:43:03.955936Z
glove-200-angular,kmeans,2,s13-glove-kmeans-m2,after_upload,1,1,1,"0,16",159449377,159357042,155045118,4404259,0,0,699695104,8589934592,False,2026-08-24T19:43:03.955936Z
glove-200-angular,kmeans,2,s13-glove-kmeans-m2,after_index,2,0,0,"0,16",1344536013,1169155071,1334284379,10251634,0,0,992382976,8589934592,False,2026-08-24T20:02:38.257058Z
glove-200-angular,kmeans,2,s13-glove-kmeans-m2,after_index,2,1,1,"0,16",420871319,261421942,414903555,5967763,0,0,462233600,8589934592,False,2026-08-24T20:02:38.257058Z
glove-200-angular,kmeans,2,s13-glove-kmeans-m2,after_e4,3,0,0,"0,16",1379430854,34894841,1368029673,11401180,0,0,936591360,8589934592,False,2026-08-24T20:02:59.237682Z
glove-200-angular,kmeans,2,s13-glove-kmeans-m2,after_e4,3,1,1,"0,16",446886807,26015488,439987367,6899439,0,0,464125952,8589934592,False,2026-08-24T20:02:59.237682Z
glove-200-angular,kmeans,2,s13-glove-kmeans-m2,after_e3,4,0,0,"0,16",1430281844,50850990,1414218688,16063156,0,0,936054784,8589934592,False,2026-08-24T20:04:02.201509Z
glove-200-angular,kmeans,2,s13-glove-kmeans-m2,after_e3,4,1,1,"0,16",473571398,26684591,463847906,9723491,0,0,463855616,8589934592,False,2026-08-24T20:04:02.201509Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,before_upload,0,0,0,"0,16",87965,0,35186,52779,0,0,16834560,8589934592,False,2026-08-24T21:04:16.340953Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,before_upload,0,1,1,"0,16",84304,0,46835,37468,0,0,16834560,8589934592,False,2026-08-24T21:04:16.340953Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,before_upload,0,2,2,"0,16",100078,0,58379,41699,0,0,16318464,8589934592,False,2026-08-24T21:04:16.340953Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,before_upload,0,3,3,"0,16",87482,0,35788,51694,0,0,16801792,8589934592,False,2026-08-24T21:04:16.340953Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_upload,1,0,0,"0,16",167269755,167181790,162036453,5233301,0,0,937365504,8589934592,False,2026-08-24T21:06:49.240122Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_upload,1,1,1,"0,16",148865678,148781374,140782239,8083439,0,0,531570688,8589934592,False,2026-08-24T21:06:49.240122Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_upload,1,2,2,"0,16",161019741,160919663,156964222,4055519,0,0,580575232,8589934592,False,2026-08-24T21:06:49.240122Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_upload,1,3,3,"0,16",153933882,153846400,148978337,4955545,0,0,474525696,8589934592,False,2026-08-24T21:06:49.240122Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_index,2,0,0,"0,16",772732486,605462731,765445952,7286533,0,0,629374976,8589934592,False,2026-08-24T21:17:01.237136Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_index,2,1,1,"0,16",180499316,31633638,171791490,8707826,0,0,290725888,8589934592,False,2026-08-24T21:17:01.237136Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_index,2,2,2,"0,16",416826152,255806411,411700600,5125551,0,0,386113536,8589934592,False,2026-08-24T21:17:01.237136Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_index,2,3,3,"0,16",226940063,73006181,221190493,5749569,0,0,278855680,8589934592,False,2026-08-24T21:17:01.237136Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_e4,3,0,0,"0,16",803564008,30831522,794995700,8568307,0,0,617918464,8589934592,False,2026-08-24T21:17:25.769526Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_e4,3,1,1,"0,16",199498556,18999240,189862862,9635693,0,0,291835904,8589934592,False,2026-08-24T21:17:25.769526Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_e4,3,2,2,"0,16",448166347,31340195,442020001,6146345,0,0,387866624,8589934592,False,2026-08-24T21:17:25.769526Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_e4,3,3,3,"0,16",254874055,27933992,248059756,6814299,0,0,280428544,8589934592,False,2026-08-24T21:17:25.769526Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_e3,4,0,0,"0,16",839901951,36337943,827516703,12385247,0,0,617373696,8589934592,False,2026-08-24T21:18:43.625202Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_e3,4,1,1,"0,16",214960997,15462441,202950569,12010427,0,0,291405824,8589934592,False,2026-08-24T21:18:43.625202Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_e3,4,2,2,"0,16",485830916,37664569,474842156,10988760,0,0,387346432,8589934592,False,2026-08-24T21:18:43.625202Z
glove-200-angular,kmeans,4,s13-glove-kmeans-m4,after_e3,4,3,3,"0,16",268178198,13304143,259431947,8746250,0,0,279531520,8589934592,False,2026-08-24T21:18:43.625202Z
glove-200-angular,kmeans,8,s13-glove-kmeans-m8,before_upload,0,0,0,"0,16",86485,0,27518,58967,0,0,16842752,8589934592,False,2026-08-24T21:55:26.305162Z
glove-200-angular,kmeans,8,s13-glove-kmeans-m8,before_upload,0,1,1,"0,16",89116,0,44558,44558,0,0,16269312,8589934592,False,2026-08-24T21:55:26.305162Z
glove-200-angular,kmeans,8,s13-glove-kmeans-m8,before_upload,0,2,2,"0,16",102100,0,71026,31074,0,0,16752640,8589934592,False,2026-08-24T21:55:26.305162Z
glove-200-angular,kmeans,8,s13-glove-kmeans-m8,before_upload,0,3,3,"0,16",91713,0,41688,50025,0,0,16818176,8589934592,False,2026-08-24T21:55:26.305162Z
glove-200-angular,kmeans,8,s13-glove-kmeans-m8,before_upload,0,4,0,"1,17",86237,0,27232,59004,0,0,16896000,8589934592,False,2026-08-24T21:55:26.305162Z
glove-200-angular,kmeans,8,s13-glove-kmeans-m8,before_upload,0,5,1,"1,17",84378,0,46408,37970,0,0,16564224,8589934592,False,2026-08-24T21:55:26.305162Z
