dataset,partition_method,logical_shards,edge_cut_ratio,traversal_weighted_cut,retained_neighbor_degree,retained_neighbor_degree_ratio,local_target_recall,distance_computations_at_fixed_local_recall,distance_computations_at_fixed_local_recall_080,distance_computations_at_fixed_local_recall_090,distance_computations_at_fixed_local_recall_095,P_exact,P_HNSW,Delta_P,W90
glove-200-angular,random,2,0.4999751834022989,0.5001030236637634,21.56160636883045,0.5000383720407595,0.927929764729142,3127.628611599297,2867.570010954314,3127.628611599297,3128.5362064116985,1.9774444444444443,2.165,0.18755555555555556,21809.474
glove-200-angular,random,4,0.7500329434701026,0.7502472745164442,10.778847567498145,0.2499809334432682,0.9529389640188606,2663.7035088865655,2634.871589916184,2663.7035088865655,2663.7035088865655,3.1453333333333333,3.432111111111111,0.2867777777777778,36839.673
glove-200-angular,random,8,0.8750032355631231,0.8750623699538292,5.389994541678425,0.12506303007155367,0.974425530580896,2190.123033520757,2185.140233036326,2190.123033520757,2190.123033520757,4.929111111111111,5.2395555555555555,0.31044444444444447,57334.018
glove-200-angular,random,16,0.937555463822211,0.9375913686212414,2.6926753718164718,0.062484858163335294,0.9894949332710338,1770.1343535401375,1769.64106320946,1770.1343535401375,1770.1343535401375,6.610888888888889,6.809,0.1981111111111111,72824.488
glove-200-angular,random,32,0.9687997464768514,0.96893780582191,1.3453883942226286,0.031216023139385936,0.9971986648956097,1389.5500320307494,1389.5500320307494,1389.5500320307494,1389.5500320307494,7.6995555555555555,7.754555555555555,0.055,76668.75666666667
glove-200-angular,kmeans,2,0.18262797795988286,0.15916042514759374,35.24595822271642,0.8193019456980056,0.9057685526855268,3067.386094108646,2890.371378247468,3067.386094108646,3237.4751773049647,1.3296666666666668,1.6703333333333332,0.3406666666666667,15873.027444444444
glove-200-angular,kmeans,4,0.27809444113502046,0.24085503574452727,31.129341942723112,0.7220880009957564,0.9116130504220854,3164.9603220658637,2979.8084728390845,3164.9603220658637,3327.4566841754827,1.5385555555555555,2.1398888888888887,0.6013333333333334,21912.430888888888
glove-200-angular,kmeans,8,0.38286345445511616,0.3510287291348217,26.61158972348447,0.6200044652829055,0.9280811769152104,3195.470460351106,2974.314011938423,3195.470460351106,3301.1331472664588,1.8713333333333333,2.699888888888889,0.8285555555555556,27734.65066666667
glove-200-angular,kmeans,16,0.40790288227783955,0.38649411773618225,25.531862740956168,0.5950921634796098,0.949095894191393,2973.3048713235294,2764.161559888579,2973.3048713235294,3077.5415512465374,2.1136666666666666,3.089777777777778,0.9761111111111112,30664.237555555555
glove-200-angular,kmeans,32,0.4763263276198857,0.45561525352212057,22.581370393590614,0.5312960092640093,0.968512446172294,2506.9241227050893,2308.403044011655,2506.9241227050893,2556.440825990762,2.418111111111111,3.308777777777778,0.8906666666666667,29511.80422222222
glove-200-angular,orion,2,0.19171906286805449,0.1519223456083425,34.85394089127801,0.8206423444112576,0.9251766717007963,2851.705175944889,2639.6289144050106,2851.705175944889,2932.005781479667,1.3083333333333333,1.702888888888889,0.39455555555555555,16066.35611111111
glove-200-angular,orion,4,0.4261470495005202,0.38426497834183826,24.7451546834258,0.5934194431078287,0.9119712030398994,3193.9698802772527,2988.0985192261764,3193.9698802772527,3269.252033036849,1.7824444444444445,2.2808888888888887,0.49844444444444447,22725.99
glove-200-angular,orion,8,0.4780778131328024,0.4229195582624821,22.5058444598036,0.5404885176238949,0.9238081428922935,3043.2820771765705,2866.633610086101,3043.2820771765705,3103.3251268357812,1.9457777777777778,2.884777777777778,0.939,27994.75811111111
glove-200-angular,orion,16,0.4958598214345373,0.44711967256127444,21.739065190610336,0.5220370299179327,0.9316860495147186,2966.844883881352,2746.6049626899216,2966.844883881352,3038.2260444526423,2.1724444444444444,3.480777777777778,1.3083333333333333,32466.361555555555
glove-200-angular,orion,32,0.5655431230464523,0.5088338702632649,18.734246489690868,0.45769412438919255,0.9531820608230105,2337.0242438790206,2194.664318324937,2337.0242438790206,2376.7633499037843,2.4255555555555555,4.931555555555556,2.506,40303.01977777778
glove-200-angular,orion_no_refinement,2,0.264550809882269,0.20304438395145624,31.713357847900404,0.7471179688970779,0.9268257124572263,2934.9428474230313,2758.4381541389153,2934.9428474230313,3003.022964326409,1.4277777777777778,1.7864444444444445,0.3586666666666667,17631.794555555556
glove-200-angular,orion_no_refinement,4,0.4324053584805055,0.3996368786778043,24.47528968816592,0.5792389143835829,0.9172427590894582,2925.927559240313,2811.1053864168616,2925.927559240313,2979.85997279877,1.866,2.3721111111111113,0.5061111111111111,24004.921
glove-200-angular,orion_no_refinement,8,0.5555819190403617,0.5257143874539063,19.163784289835185,0.4556874609889041,0.9379736183384251,2903.482122881883,2739.2213796179894,2903.482122881883,2931.3688078727732,2.4067777777777777,3.099,0.6922222222222222,31850.291555555556
glove-200-angular,orion_no_refinement,16,0.5330209570632103,0.4901671166877361,20.136637166945217,0.4787798324369151,0.9455330050648776,2834.295342552853,2635.192220396024,2834.295342552853,2891.5987494523874,2.441,3.4703333333333335,1.0293333333333334,33943.11388888889
glove-200-angular,orion_no_refinement,32,0.5996980506851527,0.5581690746893053,17.261449378714573,0.4134367855477533,0.9612951178815773,2305.9250633605043,2150.5902107409925,2305.9250633605043,2333.572202413604,2.7747777777777776,4.130777777777777,1.356,36378.34855555555
sift1m,random,2,0.5000790496170918,0.49889077510330393,14.76687,0.4998896042669522,0.9424587507248909,900.396127740069,720.7772401134657,900.396127740069,900.8109491487704,1.9775555555555555,2.115222222222222,0.13766666666666666,1649.8663333333334
sift1m,random,4,0.7500132539293753,0.7513282953518077,7.384211,0.24996115656638312,0.9653161087657713,618.5519314063466,604.8872388697368,618.5519314063466,618.5519314063466,3.148222222222222,3.3486666666666665,0.20044444444444445,2569.085666666667
sift1m,random,8,0.8751017404118908,0.8754531018985933,3.689296,0.12487849348537974,0.9809750151194437,496.4955019655277,496.02821666162686,496.4955019655277,496.4955019655277,4.902666666666667,5.081222222222222,0.17855555555555555,3641.3244444444445
sift1m,random,16,0.937513596703411,0.9383030282080095,1.845749,0.062495844865121095,0.989828375788257,423.09735756298835,423.07830743569485,423.09735756298835,423.09735756298835,6.595111111111111,6.723777777777777,0.12866666666666668,4390.925333333334
sift1m,random,32,0.9687955783672851,0.9693380634964489,0.921729,0.031202056761065862,0.9952765928461349,368.8904697437993,368.8904697437993,368.8904697437993,368.8904697437993,7.699888888888889,7.787333333333334,0.08744444444444445,4569.447888888889
sift1m,kmeans,2,0.0007497356831325722,0.00491162263143675,29.516264,0.9989728747796748,0.9148139941403846,954.4157988034567,749.8359184577886,954.4157988034567,1445.3024032042724,1.001111111111111,1.4334444444444445,0.43233333333333335,1018.1513333333334
sift1m,kmeans,4,0.08305535064345033,0.0909639788782683,27.085087,0.9228262393675201,0.9284400788603041,896.6527588401054,709.7241661365082,896.6527588401054,1194.1641002277904,1.1525555555555556,1.9108888888888889,0.7583333333333333,1325.9172222222223
sift1m,kmeans,8,0.19452922482963708,0.2040590444746487,23.792326,0.8151653841020088,0.9383331020140574,830.479374110953,664.5275131522822,830.479374110953,946.8643935079726,1.3785555555555555,2.6496666666666666,1.271111111111111,1824.0523333333333
sift1m,kmeans,16,0.29327908983591194,0.29967187839708653,20.875412,0.7193464495322179,0.9486727754201262,708.9600880495858,600.1764160778408,708.9600880495858,768.6286658166223,1.6102222222222222,3.5834444444444444,1.9732222222222222,2471.5824444444443
sift1m,kmeans,32,0.37735385892470175,0.3833976628759432,18.391977,0.6383395162291472,0.959550736278447,610.2070278607924,537.6455561981878,610.2070278607924,638.0481172556772,1.8714444444444445,4.781555555555555,2.910111111111111,3098.692111111111
sift1m,orion,2,0.00045435756359262397,0.004691999870565521,29.524989,0.9993971143840684,0.9135637969748563,952.5035531867644,747.540195425272,952.5035531867644,1445.2838018741634,1.0004444444444445,1.4377777777777778,0.43733333333333335,1008.6188888888889
sift1m,orion,4,0.18023583530731682,0.17772809480633756,24.21453,0.8209707465565264,0.9340995678532051,863.1098416965352,676.30355276907,863.1098416965352,1020.2746036494167,1.318111111111111,2.006666666666667,0.6885555555555556,1387.516
sift1m,orion,8,0.2535659840864827,0.24284026550702384,22.048474,0.7562299629465261,0.9393212198527585,814.385381842019,652.5093684486374,814.385381842019,912.978554564533,1.4413333333333334,2.718888888888889,1.2775555555555556,1821.4052222222222
sift1m,orion,16,0.3414127571524669,0.3236489658951843,19.45362,0.6753568375053504,0.9498975392626186,723.2736290682122,599.4082326073636,723.2736290682122,777.8636591758211,1.6437777777777778,3.8824444444444444,2.2386666666666666,2470.1614444444444
sift1m,orion,32,0.4393709072356975,0.41983073972714535,16.560092,0.579830382297904,0.9567661907984489,622.40690433213,538.4779371954521,622.40690433213,649.3996208701932,1.9717777777777779,5.628777777777778,3.657,3294.353111111111
sift1m,orion_no_refinement,2,0.000646277169285686,0.004830531150499681,29.51932,0.9991666365738501,0.9143548307570939,952.7644774794763,746.6938096294652,952.7644774794763,1447.039763867231,1.0006666666666666,1.4337777777777778,0.4331111111111111,995.434
sift1m,orion_no_refinement,4,0.20436198156908242,0.19505074260433347,23.501882,0.7940684920177561,0.9390923627100922,834.7064516129033,657.6788868638721,834.7064516129033,978.0732289545742,1.3845555555555555,2.0643333333333334,0.6797777777777778,1431.2287777777779
sift1m,orion_no_refinement,8,0.3205125800610121,0.30177077023781507,20.070978,0.6905302103044006,0.9461196856257688,769.1138362947859,631.892634643377,769.1138362947859,831.576183259501,1.5915555555555556,2.7351111111111113,1.1435555555555557,1878.1434444444444
sift1m,orion_no_refinement,16,0.395751768629388,0.3842821318170613,17.848532,0.6226412851464119,0.9524343989426953,679.7943859999003,589.6866028708134,679.7943859999003,711.0988479377587,1.8203333333333334,3.654888888888889,1.8345555555555555,2422.5033333333336
sift1m,orion_no_refinement,32,0.5002427347985217,0.4925244440782621,14.762035,0.5203323847245963,0.9618831228963387,573.4697336561743,521.19325262949,573.4697336561743,585.4454368623715,2.2382222222222223,4.899111111111111,2.660888888888889,3044.846
