dataset,partition_method,partition_seed,logical_shards,measurement_query_count,P_exact_mean,P_exact_median,P_exact_p95,P_exact_std
glove-200-angular,random,20260820,2,9000,1.9774444444444443,2.0,2.0,0.14848165701235894
glove-200-angular,random,20260820,4,9000,3.1453333333333333,3.0,4.0,0.5079265038697365
glove-200-angular,random,20260820,8,9000,4.929111111111111,5.0,6.0,0.8779251353104525
glove-200-angular,random,20260820,16,9000,6.610888888888889,7.0,8.0,1.0538465463291495
glove-200-angular,random,20260820,32,9000,7.6995555555555555,8.0,9.0,0.9477223117806786
glove-200-angular,kmeans,20260820,2,9000,1.3296666666666668,1.0,2.0,0.47009207136002146
glove-200-angular,kmeans,20260820,4,9000,1.5385555555555555,1.0,3.0,0.6415797536136201
glove-200-angular,kmeans,20260820,8,9000,1.8713333333333333,2.0,4.0,0.9636161061335577
glove-200-angular,kmeans,20260820,16,9000,2.1136666666666666,2.0,5.0,1.277006873730739
glove-200-angular,kmeans,20260820,32,9000,2.418111111111111,2.0,5.0,1.520659501988415
glove-200-angular,orion,1,2,9000,1.3083333333333333,1.0,2.0,0.4618050334165803
glove-200-angular,orion,1,4,9000,1.7824444444444445,2.0,3.0,0.7215743761019467
glove-200-angular,orion,1,8,9000,1.9457777777777778,2.0,4.0,0.9290101994151
glove-200-angular,orion,1,16,9000,2.1724444444444444,2.0,5.0,1.3365114715483168
glove-200-angular,orion,1,32,9000,2.4255555555555555,2.0,5.0,1.49012013767057
glove-200-angular,orion_no_refinement,1,2,9000,1.4277777777777778,1.0,2.0,0.4947564558621585
glove-200-angular,orion_no_refinement,1,4,9000,1.866,2.0,3.0,0.6984423940295847
glove-200-angular,orion_no_refinement,1,8,9000,2.4067777777777777,2.0,4.0,1.0759898055875787
glove-200-angular,orion_no_refinement,1,16,9000,2.441,2.0,5.0,1.4536800427420977
glove-200-angular,orion_no_refinement,1,32,9000,2.7747777777777776,2.0,6.0,1.7364867007058806
sift1m,random,20260820,2,9000,1.9775555555555555,2.0,2.0,0.1481239054238872
sift1m,random,20260820,4,9000,3.148222222222222,3.0,4.0,0.511237230816418
sift1m,random,20260820,8,9000,4.902666666666667,5.0,6.0,0.8931054435694217
sift1m,random,20260820,16,9000,6.595111111111111,7.0,8.0,1.0656549831957227
sift1m,random,20260820,32,9000,7.699888888888889,8.0,9.0,0.9530302483767173
sift1m,kmeans,20260820,2,9000,1.001111111111111,1.0,1.0,0.033314809667922114
sift1m,kmeans,20260820,4,9000,1.1525555555555556,1.0,2.0,0.3802836985173368
sift1m,kmeans,20260820,8,9000,1.3785555555555555,1.0,2.0,0.5480532437863053
sift1m,kmeans,20260820,16,9000,1.6102222222222222,1.0,3.0,0.7151269938157493
sift1m,kmeans,20260820,32,9000,1.8714444444444445,2.0,4.0,0.9072707070122287
sift1m,orion,1,2,9000,1.0004444444444445,1.0,1.0,0.021077165691341115
sift1m,orion,1,4,9000,1.318111111111111,1.0,2.0,0.49421631441313096
sift1m,orion,1,8,9000,1.4413333333333334,1.0,3.0,0.6021280779221496
sift1m,orion,1,16,9000,1.6437777777777778,1.0,3.0,0.7393654603446238
sift1m,orion,1,32,9000,1.9717777777777779,2.0,4.0,0.9592144677087229
sift1m,orion_no_refinement,1,2,9000,1.0006666666666666,1.0,1.0,0.025811280910141253
sift1m,orion_no_refinement,1,4,9000,1.3845555555555555,1.0,2.0,0.5428375265647296
sift1m,orion_no_refinement,1,8,9000,1.5915555555555556,1.0,3.0,0.6749945038642268
sift1m,orion_no_refinement,1,16,9000,1.8203333333333334,2.0,3.0,0.8429102364229935
sift1m,orion_no_refinement,1,32,9000,2.2382222222222223,2.0,4.0,1.0852163919163544
