dataset,partition_method,partition_seed,logical_shards,common_ef_search,query_shard_pair_count,local_target_recall_mean,local_target_recall_median,local_target_recall_p95,local_target_recall_std,distance_computations_mean,distance_computations_median,distance_computations_p95,distance_computations_std,graph_nodes_visited_mean,local_latency_us_mean_secondary,fixed_recall_80_success_fraction,fixed_recall_80_required_ef_search_mean,fixed_recall_80_required_distance_computations_mean,fixed_recall_80_required_graph_nodes_visited_mean,fixed_recall_90_success_fraction,fixed_recall_90_required_ef_search_mean,fixed_recall_90_required_distance_computations_mean,fixed_recall_90_required_graph_nodes_visited_mean,fixed_recall_95_success_fraction,fixed_recall_95_required_ef_search_mean,fixed_recall_95_required_distance_computations_mean,fixed_recall_95_required_graph_nodes_visited_mean
glove-200-angular,random,20260820,2,320,17984,0.927929764729142,1.0,1.0,0.1652799061109374,10992.715024466192,11374.0,15277.849999999999,3008.5184185140865,331.74866548042706,1311.9862099644129,0.86293371886121,59.28345898575939,2867.570010954314,74.15174946839358,0.790980871886121,69.07627416520211,3127.628611599297,83.33321616871704,0.7909252669039146,69.10433070866142,3128.5362064116985,83.35953318335208
glove-200-angular,random,20260820,4,320,33994,0.9529389640188606,1.0,1.0,0.16125732659865835,11007.037300700124,11449.0,15049.0,2925.496031499639,330.26575277990236,1191.1192857563099,0.9090133552979938,53.401831655933464,2634.871589916184,66.97860910650141,0.9003941872095076,54.397543125980135,2663.7035088865655,67.92469289074752,0.9003941872095076,54.397543125980135,2663.7035088865655,67.92469289074752
glove-200-angular,random,20260820,8,320,53165,0.974425530580896,1.0,1.0,0.13771379081201077,10972.544117370451,11524.0,14539.799999999996,2739.9102054034356,329.47061036396127,1083.9744944982601,0.9605003291639236,42.36992068931754,2185.140233036326,55.30069519240184,0.9600865230884981,42.51102012029074,2190.123033520757,55.43541719726505,0.9600865230884981,42.51102012029074,2190.123033520757,55.43541719726505
glove-200-angular,random,20260820,16,320,68486,0.9894949332710338,1.0,1.0,0.09527499287265467,10698.818678270012,11319.0,13531.0,2378.607678291805,328.9431416639897,993.2026107525626,0.986610402125982,33.331261377258805,1769.64106320946,45.62672231348695,0.9865958006015828,33.344778593417004,1770.1343535401375,45.64000710395454,0.9865958006015828,33.344778593417004,1770.1343535401375,45.64000710395454
glove-200-angular,random,20260820,32,320,78296,0.9971986648956097,1.0,1.0,0.05127250884195632,9909.693432614693,10479.0,11829.0,1823.9600277556808,328.4150020435271,780.7694901399816,0.9968580770409727,25.876489429852658,1389.5500320307494,37.41336322869955,0.9968580770409727,25.876489429852658,1389.5500320307494,37.41336322869955,0.9968580770409727,25.876489429852658,1389.5500320307494,37.41336322869955
glove-200-angular,kmeans,20260820,2,320,13550,0.9057685526855268,1.0,1.0,0.2058045799328031,10740.146789667897,10964.0,15150.0,2980.129936257273,332.0785977859779,1300.1858302583025,0.8380073800738007,61.815059445178335,2890.371378247468,77.28304711580802,0.7716605166051661,69.50650344299923,3067.386094108646,84.45409334353481,0.738819188191882,76.36899410648287,3237.4751773049647,91.10738187993208
glove-200-angular,kmeans,20260820,4,320,17045,0.9116130504220854,1.0,1.0,0.22044093128600104,10839.154532120856,11081.0,15415.599999999999,3212.154050523154,331.0765033734233,1187.634555588149,0.8586095629216779,64.0375811411001,2979.8084728390845,78.67495729415784,0.8088002346729246,70.82402437255186,3164.9603220658637,85.12599738865515,0.7930184804928131,76.3734556484427,3327.4566841754827,90.57586742620404
glove-200-angular,kmeans,20260820,8,320,21420,0.9280811769152104,1.0,1.0,0.2141416025034581,10591.630112044819,10830.0,14989.0,3062.0960505205153,330.1484126984127,1054.6900093370682,0.8915966386554622,65.50109959158027,2974.314011938423,79.3236464551262,0.8589635854341736,72.91265829664655,3195.470460351106,86.51345181803359,0.8530812324929972,76.4795052810157,3301.1331472664588,90.02801948229629
glove-200-angular,kmeans,20260820,16,320,23927,0.949095894191393,1.0,1.0,0.19117024799993426,10068.450996781878,10325.0,14562.0,3036.9579829643744,329.14715593262844,922.4059012830693,0.9302461654198186,63.4612274238476,2764.161559888579,76.01006379728636,0.90943285827726,70.35845588235294,2973.3048713235294,82.71204044117647,0.9052534793329711,73.86472760849492,3077.5415512465374,86.15480147737766
glove-200-angular,kmeans,20260820,32,320,27229,0.968512446172294,1.0,1.0,0.15620520096489945,9148.506849315068,9238.0,13486.599999999999,2912.204372859428,328.57839068640055,734.6483528590841,0.9579492452899482,55.76943720288299,2308.403044011655,67.51418494095998,0.9481802489992288,62.51491207684561,2506.9241227050893,74.09706406383144,0.9461603437511477,64.40360206497691,2556.440825990762,75.95074331405505
