dataset,partition_method,partition_seed,logical_shards,physical_hosts,logical_to_physical_rule,shard_id,physical_host_id,vector_count,shard_size_min,shard_size_max,shard_size_mean,shard_size_std,shard_size_coefficient_of_variation,max_size_over_mean,query_participation_count,query_participation_fraction
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,0,0,57745,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,1065,0.11833333333333333
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,1,1,64265,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,1163,0.1292222222222222
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,2,2,72222,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,1136,0.12622222222222224
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,3,3,40145,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,659,0.07322222222222222
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,4,0,85336,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,1629,0.181
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,5,1,57867,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,946,0.10511111111111111
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,6,2,92138,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,1820,0.20222222222222222
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,7,3,48005,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,947,0.10522222222222222
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,8,0,51861,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,897,0.09966666666666667
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,9,1,53970,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,859,0.09544444444444444
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,10,2,53496,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,805,0.08944444444444444
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,11,3,59306,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,877,0.09744444444444444
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,12,0,54330,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,954,0.106
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,13,1,85504,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,1496,0.16622222222222222
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,14,2,68908,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,1049,0.11655555555555555
sift1m,kmeans,20260820,16,4,logical_shard_id modulo 4,15,3,54902,40145,92138,62500.0,14193.748778071282,0.2270999804491405,1.474208,967,0.10744444444444444
sift1m,kmeans,20260820,2,4,logical_shard_id modulo 4,0,0,514178,485822,514178,500000.0,14178.0,0.028356,1.028356,4597,0.5107777777777778
