shard_id,shard_key,points_count,sample_count
0,centroid_00,,997
1,centroid_01,,600
2,centroid_02,,839
3,centroid_03,,1217
4,centroid_04,,267
5,centroid_05,,910
6,centroid_06,,933
7,centroid_07,,1893
8,centroid_08,,1723
9,centroid_09,,1318
10,centroid_10,,553
11,centroid_11,,467
12,centroid_12,,682
13,centroid_13,,418
14,centroid_14,,1259
15,centroid_15,,1127
16,centroid_16,,1015
17,centroid_17,,298
18,centroid_18,,884
19,centroid_19,,1736
20,centroid_20,,771
21,centroid_21,,238
22,centroid_22,,687
23,centroid_23,,1119
24,centroid_24,,812
25,centroid_25,,1777
26,centroid_26,,253
27,centroid_27,,935
28,centroid_28,,496
29,centroid_29,,1153
30,centroid_30,,1189
31,centroid_31,,1384
32,centroid_32,,945
33,centroid_33,,844
34,centroid_34,,293
35,centroid_35,,1125
36,centroid_36,,1129
37,centroid_37,,735
38,centroid_38,,653
39,centroid_39,,797
40,centroid_40,,439
41,centroid_41,,1423
42,centroid_42,,1025
43,centroid_43,,545
44,centroid_44,,627
45,centroid_45,,1324
