simulated_worker_scale,logical_shards,exact_scale_match,method,recall_target,measured_recall,qps,qps_stdev,parameters,evidence_dir
4,4,True,naive_hash,0.8,0.8008333333333333,2286.027191869913,45.98769733458103,hnsw_ef=52,results/native-20260818-scale4-32-r080-095-v1/benchmark/scale4/hash/r080-ef52
4,4,True,simple_kmeans,0.8,0.8003,2159.9035854336544,27.716735337153633,"nprobe=3,hnsw_ef=84",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale4/simple/r080-n3-ef84-g5081
4,4,True,orion,0.8,0.8005666666666666,2262.88068254406,9.826714665044015,"upper_k=8,base=50,factor=15",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale4/orion/r080-u8-b50-f15-g4815
4,4,True,naive_hash,0.85,0.8510333333333332,2150.9982639393716,38.796162570759265,hnsw_ef=90,results/native-20260818-scale4-32-r080-095-v1/benchmark/scale4/hash/r085-ef90
4,4,True,simple_kmeans,0.85,0.8504,2012.3051365502208,15.562877983486766,"nprobe=3,hnsw_ef=156",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale4/simple/r085-n3-ef156-g5156
4,4,True,orion,0.85,0.8527666666666667,2105.32264698833,7.344249817539551,"upper_k=16,base=48,factor=14",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale4/orion/r085-u16-b48-f14-g4016
4,4,True,naive_hash,0.9,0.9018,1834.839734820375,14.228461589320181,hnsw_ef=184,results/native-20260818-scale4-32-r080-095-v1/benchmark/scale4/hash/r090-ef184
4,4,True,simple_kmeans,0.9,0.9001,1589.3535343370138,3.214360566441572,"nprobe=4,hnsw_ef=272",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale4/simple/r090-n4-ef272-g5272
4,4,True,orion,0.9,0.9018,1778.0204276161794,4.110095719356552,"upper_k=38,base=48,factor=14",results/native-20260818-scale4-32-r080-095-v1/benchmark/scale4/orion/r090-u38-b48-f14-g4038
4,4,True,naive_hash,0.95,0.9505,1328.0971343632045,10.56666131292145,hnsw_ef=488,results/native-20260818-scale4-32-r080-095-v1/benchmark/scale4/hash/r095-ef488
