upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard,search_batch_calls,avg_search_requests_per_query
100,20,1,1000,10,0.8519,463.4316272933237,2.1578156109899282,17.34,110.073,55.94878892733564,10,1.0
100,20,2,1000,10,0.8878,450.01834384903214,2.2221316390059656,17.34,110.073,91.89757785467128,10,1.0
100,20,3,1000,10,0.9075,400.63225041568614,2.4960546709917253,17.34,110.073,127.84636678200692,10,1.0
100,24,1,1000,10,0.8574,459.38084997205425,2.176843027002178,17.34,110.073,59.94878892733564,10,1.0
100,24,2,1000,10,0.8915,433.09487018538505,2.3089629290043376,17.34,110.073,95.89757785467128,10,1.0
100,24,3,1000,10,0.9091,397.68027860068497,2.514582828996936,17.34,110.073,131.84636678200692,10,1.0
100,28,1,1000,10,0.8633,479.486739520986,2.0855634109902894,17.34,110.073,63.94878892733564,10,1.0
100,28,2,1000,10,0.8945,440.81634742323126,2.2685184110014234,17.34,110.073,99.89757785467128,10,1.0
100,28,3,1000,10,0.9113,390.3281732631157,2.5619467630021973,17.34,110.073,135.84636678200692,10,1.0
100,32,1,1000,10,0.8697,476.6159303489993,2.098125422009616,17.34,110.073,67.94878892733564,10,1.0
100,32,2,1000,10,0.8972,435.79078623723024,2.294679079001071,17.34,110.073,103.89757785467128,10,1.0
100,32,3,1000,10,0.9138,383.2408061190143,2.6093254790030187,17.34,110.073,139.84636678200692,10,1.0
100,40,1,1000,10,0.88,466.0130153424185,2.145862813005806,17.34,110.073,75.94878892733564,10,1.0
100,40,2,1000,10,0.902,421.4138696763878,2.3729641380050452,17.34,110.073,111.89757785467128,10,1.0
100,40,3,1000,10,0.9173,375.7428435551938,2.6613946669967845,17.34,110.073,147.84636678200692,10,1.0
100,48,1,1000,10,0.8864,453.60525826740377,2.2045599819975905,17.34,110.073,83.94878892733564,10,1.0
100,48,2,1000,10,0.9066,414.2472358375253,2.4140173149935436,17.34,110.073,119.89757785467128,10,1.0
100,48,3,1000,10,0.9213,365.2258640499879,2.7380317179922713,17.34,110.073,155.84636678200692,10,1.0
