upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard,search_batch_calls,avg_search_requests_per_query
100,20,3,1000,10,0.8258,479.45410728337873,2.0857053570071002,17.37,110.057,39.451755900978696,10,1.0
100,20,4,1000,10,0.8375,495.6939325836784,2.0173738960002083,17.37,110.057,45.77501439263097,10,1.0
100,20,5,1000,10,0.8489,508.8073511968769,1.9653804090048652,17.37,110.057,52.12061024755325,10,1.0
100,20,6,1000,10,0.8589,469.4326108347999,2.130231212999206,17.37,110.057,58.43235463442717,10,1.0
100,20,8,1000,10,0.8737,463.6341964527316,2.1568728270067368,17.37,110.057,71.11508347725965,10,1.0
100,20,10,1000,10,0.8852,465.5723585188117,2.1478938379877945,17.37,110.057,83.78048359240069,10,1.0
100,24,3,1000,10,0.8336,534.799191387405,1.8698607180122053,17.37,110.057,43.451755900978696,10,1.0
100,24,4,1000,10,0.8464,499.2180460678191,2.003132715006359,17.37,110.057,49.77501439263097,10,1.0
100,24,5,1000,10,0.856,490.1346294853326,2.0402557579946006,17.37,110.057,56.12061024755325,10,1.0
100,24,6,1000,10,0.8654,484.5857165121164,2.0636183979950147,17.37,110.057,62.43235463442717,10,1.0
100,24,8,1000,10,0.8787,472.1101161330407,2.118149910005741,17.37,110.057,75.11508347725965,10,1.0
100,24,10,1000,10,0.8876,456.2470946573184,2.191794778991607,17.37,110.057,87.78048359240069,10,1.0
100,28,3,1000,10,0.8432,512.8278791314523,1.9499719900049968,17.37,110.057,47.451755900978696,10,1.0
100,28,4,1000,10,0.853,511.5239844568228,1.9549425449949922,17.37,110.057,53.77501439263097,10,1.0
100,28,5,1000,10,0.8628,484.94026117688435,2.062109665988828,17.37,110.057,60.12061024755325,10,1.0
100,28,6,1000,10,0.8701,479.20090917486993,2.086807393003255,17.37,110.057,66.43235463442717,10,1.0
100,28,8,1000,10,0.8835,464.23006344737115,2.1541043519973755,17.37,110.057,79.11508347725965,10,1.0
100,28,10,1000,10,0.8912,445.6136193163893,2.244096581998747,17.37,110.057,91.78048359240069,10,1.0
100,32,3,1000,10,0.8505,501.5414543080177,1.9938531329971738,17.37,110.057,51.451755900978696,10,1.0
100,32,4,1000,10,0.8607,491.50140787164776,2.034582167994813,17.37,110.057,57.77501439263097,10,1.0
100,32,5,1000,10,0.868,484.8682653562393,2.06241585900716,17.37,110.057,64.12061024755326,10,1.0
100,32,6,1000,10,0.8753,490.86904087714606,2.037203239000519,17.37,110.057,70.43235463442717,10,1.0
100,32,8,1000,10,0.8856,466.2294130696124,2.144866823000484,17.37,110.057,83.11508347725965,10,1.0
100,32,10,1000,10,0.8936,445.8234643958741,2.243040305998875,17.37,110.057,95.78048359240069,10,1.0
100,40,3,1000,10,0.8632,504.96603621925505,1.9803312069998356,17.37,110.057,59.451755900978696,10,1.0
100,40,4,1000,10,0.8703,484.0647091004634,2.065839506991324,17.37,110.057,65.77501439263098,10,1.0
100,40,5,1000,10,0.8784,467.17967654527183,2.1405040719982935,17.37,110.057,72.12061024755326,10,1.0
100,40,6,1000,10,0.8839,464.556530152654,2.152590557001531,17.37,110.057,78.43235463442717,10,1.0
100,40,8,1000,10,0.8914,455.8877896174364,2.193522228000802,17.37,110.057,91.11508347725965,10,1.0
100,40,10,1000,10,0.8992,440.86242548178245,2.2682813099963823,17.37,110.057,103.78048359240069,10,1.0
100,48,3,1000,10,0.8738,476.806137129647,2.0972884410002735,17.37,110.057,67.4517559009787,10,1.0
100,48,4,1000,10,0.8802,468.4748342079568,2.134586378990207,17.37,110.057,73.77501439263098,10,1.0
100,48,5,1000,10,0.8858,460.66668923501044,2.1707668979943264,17.37,110.057,80.12061024755326,10,1.0
100,48,6,1000,10,0.8895,452.1621164557578,2.211596159002511,17.37,110.057,86.43235463442717,10,1.0
100,48,8,1000,10,0.8972,448.5669217852488,2.229321760998573,17.37,110.057,99.11508347725965,10,1.0
100,48,10,1000,10,0.9051,433.8878931863544,2.304742805004935,17.37,110.057,111.78048359240069,10,1.0
100,64,3,1000,10,0.8885,444.4847682992798,2.249795879004523,17.37,110.057,83.4517559009787,10,1.0
100,64,4,1000,10,0.893,451.34822150592373,2.215584225996281,17.37,110.057,89.77501439263098,10,1.0
100,64,5,1000,10,0.8969,448.3728884169727,2.2302864999946905,17.37,110.057,96.12061024755326,10,1.0
100,64,6,1000,10,0.9012,436.48671527025874,2.291020470991498,17.37,110.057,102.43235463442717,10,1.0
100,64,8,1000,10,0.9086,420.57079451006996,2.377720976001001,17.37,110.057,115.11508347725965,10,1.0
100,64,10,1000,10,0.914,407.24070271782966,2.4555502269940916,17.37,110.057,127.78048359240069,10,1.0
