shard_id,shard_key,points_count,sample_count
0,centroid_00,,1113
1,centroid_01,,607
2,centroid_02,,803
3,centroid_03,,937
4,centroid_04,,287
5,centroid_05,,912
6,centroid_06,,928
7,centroid_07,,1924
8,centroid_08,,1742
9,centroid_09,,1410
10,centroid_10,,540
11,centroid_11,,471
12,centroid_12,,732
13,centroid_13,,424
14,centroid_14,,1293
15,centroid_15,,821
16,centroid_16,,1015
17,centroid_17,,305
18,centroid_18,,907
19,centroid_19,,1495
20,centroid_20,,796
21,centroid_21,,235
22,centroid_22,,683
23,centroid_23,,716
24,centroid_24,,828
25,centroid_25,,1798
26,centroid_26,,253
27,centroid_27,,948
28,centroid_28,,1070
29,centroid_29,,1157
30,centroid_30,,1283
31,centroid_31,,1280
32,centroid_32,,1180
33,centroid_33,,1082
34,centroid_34,,290
35,centroid_35,,1229
36,centroid_36,,719
37,centroid_37,,426
38,centroid_38,,1185
39,centroid_39,,1016
40,centroid_40,,417
41,centroid_41,,1168
42,centroid_42,,744
43,centroid_43,,1248
44,centroid_44,,426
45,centroid_45,,933
