upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard,search_batch_calls,avg_search_requests_per_query
100,4,0,500,10,0.6352,426.79641605461256,1.1715187410009094,17.41,110.19,4.0,5,1.0
100,4,1,500,10,0.7792,455.2177722969847,1.0983753939945018,17.41,110.19,10.32912119471568,5,1.0
100,4,2,500,10,0.8268,462.7535763981771,1.080488677995163,17.41,110.19,16.65824238943136,5,1.0
100,4,3,500,10,0.8506,412.5446637459555,1.211989982999512,17.41,110.19,22.98736358414704,5,1.0
100,4,4,500,10,0.8672,440.1222417651939,1.1360480170114897,17.41,110.19,29.316484778862723,5,1.0
100,4,6,500,10,0.8894,446.29890645170684,1.1203253980056616,17.41,110.19,41.97472716829408,5,1.0
100,8,0,500,10,0.6352,422.50032761390275,1.183431035009562,17.41,110.19,8.0,5,1.0
100,8,1,500,10,0.7908,455.03750604668863,1.0988105229916982,17.41,110.19,14.32912119471568,5,1.0
100,8,2,500,10,0.8372,468.2547076778628,1.067794924005284,17.41,110.19,20.65824238943136,5,1.0
100,8,3,500,10,0.8596,479.35867316360793,1.0430602970009204,17.41,110.19,26.98736358414704,5,1.0
100,8,4,500,10,0.876,418.43268657885784,1.1949353289965075,17.41,110.19,33.31648477886272,5,1.0
100,8,6,500,10,0.8952,452.84269273926066,1.1041361780080479,17.41,110.19,45.97472716829408,5,1.0
100,12,0,500,10,0.6664,467.1761298999598,1.070260160995531,17.41,110.19,12.0,5,1.0
100,12,1,500,10,0.8084,448.6856565790194,1.11436591000529,17.41,110.19,18.32912119471568,5,1.0
100,12,2,500,10,0.8478,466.98062165771154,1.0707082410081057,17.41,110.19,24.65824238943136,5,1.0
100,12,3,500,10,0.867,449.5888514897534,1.1121272210002644,17.41,110.19,30.98736358414704,5,1.0
100,12,4,500,10,0.8822,450.3755359549109,1.1101846350065898,17.41,110.19,37.31648477886272,5,1.0
100,12,6,500,10,0.8984,445.2938438333075,1.1228540590091143,17.41,110.19,49.97472716829408,5,1.0
100,16,0,500,10,0.7048,439.7686532949351,1.136961437005084,17.41,110.19,16.0,5,1.0
100,16,1,500,10,0.823,460.151739193911,1.0865980880043935,17.41,110.19,22.32912119471568,5,1.0
100,16,2,500,10,0.8556,484.9712435890597,1.0309889640047913,17.41,110.19,28.65824238943136,5,1.0
100,16,3,500,10,0.8742,431.89734216211843,1.1576825119991554,17.41,110.19,34.98736358414704,5,1.0
100,16,4,500,10,0.8864,462.7781773509123,1.080431239999598,17.41,110.19,41.31648477886272,5,1.0
100,16,6,500,10,0.9026,443.1834127293834,1.1282010689901654,17.41,110.19,53.97472716829408,5,1.0
100,20,0,500,10,0.735,487.7198273209653,1.0251787440065527,17.41,110.19,20.0,5,1.0
100,20,1,500,10,0.8336,459.332637249428,1.088535756993224,17.41,110.19,26.32912119471568,5,1.0
100,20,2,500,10,0.862,455.9460690560232,1.0966209250036627,17.41,110.19,32.65824238943136,5,1.0
100,20,3,500,10,0.8794,434.4343766751322,1.1509218120045261,17.41,110.19,38.98736358414704,5,1.0
100,20,4,500,10,0.8914,423.06252879895584,1.1818583919957746,17.41,110.19,45.31648477886272,5,1.0
100,20,6,500,10,0.9056,431.0071357272396,1.1600736010004766,17.41,110.19,57.97472716829408,5,1.0
100,40,0,500,10,0.8244,483.0836501647038,1.0350174339982914,17.41,110.19,40.0,5,1.0
100,40,1,500,10,0.8698,454.2857757080667,1.100628782005515,17.41,110.19,46.32912119471568,5,1.0
100,40,2,500,10,0.8872,432.4068862980955,1.1563183100079186,17.41,110.19,52.65824238943136,5,1.0
100,40,3,500,10,0.899,451.61461405586664,1.1071386630064808,17.41,110.19,58.98736358414704,5,1.0
100,40,4,500,10,0.9074,414.6819542543033,1.2057433290028712,17.41,110.19,65.31648477886272,5,1.0
100,40,6,500,10,0.9184,433.75530865691013,1.1527236440015258,17.41,110.19,77.97472716829408,5,1.0
100,64,0,500,10,0.8684,440.09785068663575,1.136110979001387,17.41,110.19,64.0,5,1.0
100,64,1,500,10,0.8924,408.85817501165934,1.222917947001406,17.41,110.19,70.32912119471568,5,1.0
100,64,2,500,10,0.9038,413.950360278141,1.2078742960002273,17.41,110.19,76.65824238943136,5,1.0
100,64,3,500,10,0.9116,413.39998105111897,1.2094823969964636,17.41,110.19,82.98736358414705,5,1.0
100,64,4,500,10,0.9174,414.3667516381075,1.2066605199943297,17.41,110.19,89.31648477886272,5,1.0
100,64,6,500,10,0.9276,398.8386673094802,1.2536397320072865,17.41,110.19,101.97472716829408,5,1.0
