shard_id,shard_key,points_count,sample_count
0,centroid_00,36758,980
1,centroid_01,17937,576
2,centroid_02,24341,760
3,centroid_03,36187,628
4,centroid_04,7436,246
5,centroid_05,29623,862
6,centroid_06,31505,837
7,centroid_07,62470,1810
8,centroid_08,58362,1594
9,centroid_09,50013,1098
10,centroid_10,15793,520
11,centroid_11,15045,455
12,centroid_12,20507,662
13,centroid_13,14776,408
14,centroid_14,38297,1191
15,centroid_15,29841,736
16,centroid_16,34959,894
17,centroid_17,9694,291
18,centroid_18,27125,846
19,centroid_19,63424,88
20,centroid_20,25490,721
21,centroid_21,6446,230
22,centroid_22,22875,633
23,centroid_23,24505,491
24,centroid_24,28538,754
25,centroid_25,61716,1683
26,centroid_26,4765,313
27,centroid_27,28941,851
28,centroid_28,40283,736
29,centroid_29,37204,1053
30,centroid_30,42795,1101
31,centroid_31,42126,1166
32,centroid_32,37864,1270
33,centroid_33,39932,866
34,centroid_34,6731,545
35,centroid_35,46325,876
36,centroid_36,18733,970
37,centroid_37,8434,937
38,centroid_38,41900,888
39,centroid_39,37163,888
40,centroid_40,7370,785
41,centroid_41,46358,548
42,centroid_42,22913,937
43,centroid_43,45063,859
44,centroid_44,11934,855
45,centroid_45,33245,546
