shard_id,shard_key,points_count,sample_count
0,centroid_00,25729,0
1,centroid_01,25729,0
2,centroid_02,25729,0
3,centroid_03,25729,0
4,centroid_04,25729,0
5,centroid_05,25729,0
6,centroid_06,25729,0
7,centroid_07,25729,0
8,centroid_08,25729,0
9,centroid_09,25729,0
10,centroid_10,25729,0
11,centroid_11,25729,0
12,centroid_12,25729,0
13,centroid_13,25729,0
14,centroid_14,25729,0
15,centroid_15,25729,0
16,centroid_16,25729,0
17,centroid_17,25729,0
18,centroid_18,25729,0
19,centroid_19,25729,0
20,centroid_20,25729,0
21,centroid_21,25729,0
22,centroid_22,25729,0
23,centroid_23,25729,0
24,centroid_24,25729,0
25,centroid_25,25729,0
26,centroid_26,25728,0
27,centroid_27,25728,0
28,centroid_28,25728,0
29,centroid_29,25728,0
30,centroid_30,25728,0
31,centroid_31,25728,0
32,centroid_32,25728,0
33,centroid_33,25728,0
34,centroid_34,25728,0
35,centroid_35,25728,0
36,centroid_36,25728,0
37,centroid_37,25728,0
38,centroid_38,25728,0
39,centroid_39,25728,0
40,centroid_40,25728,0
41,centroid_41,25728,0
42,centroid_42,25728,0
43,centroid_43,25728,0
44,centroid_44,25728,0
45,centroid_45,25728,0
