shard_id,shard_key,points_count,sample_count
0,centroid_00,26301,0
1,centroid_01,26301,0
2,centroid_02,26301,0
3,centroid_03,26301,0
4,centroid_04,26301,0
5,centroid_05,26301,0
6,centroid_06,26301,0
7,centroid_07,26301,0
8,centroid_08,26301,0
9,centroid_09,26301,0
10,centroid_10,26301,0
11,centroid_11,26301,0
12,centroid_12,26301,0
13,centroid_13,26301,0
14,centroid_14,26300,0
15,centroid_15,26300,0
16,centroid_16,26300,0
17,centroid_17,26300,0
18,centroid_18,26300,0
19,centroid_19,26300,0
20,centroid_20,26300,0
21,centroid_21,26300,0
22,centroid_22,26300,0
23,centroid_23,26300,0
24,centroid_24,26300,0
25,centroid_25,26300,0
26,centroid_26,26300,0
27,centroid_27,26300,0
28,centroid_28,26300,0
29,centroid_29,26300,0
30,centroid_30,26300,0
31,centroid_31,26300,0
32,centroid_32,26300,0
33,centroid_33,26300,0
34,centroid_34,26300,0
35,centroid_35,26300,0
36,centroid_36,26300,0
37,centroid_37,26300,0
38,centroid_38,26300,0
39,centroid_39,26300,0
40,centroid_40,26300,0
41,centroid_41,26300,0
42,centroid_42,26300,0
43,centroid_43,26300,0
44,centroid_44,26300,0
