shard_id,collection,points_count,indexed_vectors_count,segments_count
0,qdrant_centroid44_shard_00,35285,35285,2
1,qdrant_centroid44_shard_01,24412,24412,2
2,qdrant_centroid44_shard_02,21913,21913,2
3,qdrant_centroid44_shard_03,31348,31348,2
4,qdrant_centroid44_shard_04,35087,35087,2
5,qdrant_centroid44_shard_05,50729,50729,4
6,qdrant_centroid44_shard_06,22077,22077,2
7,qdrant_centroid44_shard_07,20401,20401,2
8,qdrant_centroid44_shard_08,39516,39516,2
9,qdrant_centroid44_shard_09,9123,9123,2
10,qdrant_centroid44_shard_10,49546,49546,2
11,qdrant_centroid44_shard_11,38602,38602,2
12,qdrant_centroid44_shard_12,14983,14983,2
13,qdrant_centroid44_shard_13,11462,11462,2
14,qdrant_centroid44_shard_14,34424,34424,4
15,qdrant_centroid44_shard_15,32827,32827,2
16,qdrant_centroid44_shard_16,23359,23359,2
17,qdrant_centroid44_shard_17,20932,20932,2
18,qdrant_centroid44_shard_18,27941,27941,2
19,qdrant_centroid44_shard_19,52028,52028,2
20,qdrant_centroid44_shard_20,39584,39584,2
21,qdrant_centroid44_shard_21,26280,26280,2
22,qdrant_centroid44_shard_22,48137,48137,4
23,qdrant_centroid44_shard_23,33019,33019,2
24,qdrant_centroid44_shard_24,24621,24621,2
25,qdrant_centroid44_shard_25,26931,26931,2
26,qdrant_centroid44_shard_26,11132,11132,2
27,qdrant_centroid44_shard_27,22899,22899,2
28,qdrant_centroid44_shard_28,14268,14268,2
29,qdrant_centroid44_shard_29,11023,11023,2
30,qdrant_centroid44_shard_30,12877,12877,2
31,qdrant_centroid44_shard_31,34423,34423,2
32,qdrant_centroid44_shard_32,37604,37604,2
33,qdrant_centroid44_shard_33,20527,20527,2
34,qdrant_centroid44_shard_34,14450,14450,2
35,qdrant_centroid44_shard_35,40263,40263,2
36,qdrant_centroid44_shard_36,38722,38722,2
37,qdrant_centroid44_shard_37,22596,22596,2
38,qdrant_centroid44_shard_38,13624,13624,2
39,qdrant_centroid44_shard_39,18066,18066,2
40,qdrant_centroid44_shard_40,16419,16419,2
41,qdrant_centroid44_shard_41,11756,11756,2
42,qdrant_centroid44_shard_42,29909,29909,2
43,qdrant_centroid44_shard_43,18389,18389,2
