scheme,scenario,nprobe,hnsw_ef,query_count,recall_at_k,qps,wall_s
hash,full,44,24,2000,0.85325,1029.0997979042502,1.943446110934019
hash,full,44,32,2000,0.8824,926.7124014356167,2.1581668669823557
hash,full,44,40,2000,0.9021,860.8893148144202,2.323179026134312
hash,full,44,48,2000,0.9174,828.4141009686954,2.4142515170387924
hash,full,44,64,2000,0.93765,714.6423619165016,2.798602638999
hash,full,44,80,2000,0.9516,648.0828713502217,3.086025087861344
hash,full,44,96,2000,0.9621,609.4719037861794,3.2815294479951262
kmeans,full,44,24,2000,0.76485,904.0331947494584,2.21230814489536
kmeans,full,44,32,2000,0.80245,930.8387732290547,2.148599797859788
kmeans,full,44,40,2000,0.83135,878.9758422370924,2.275375390192494
kmeans,full,44,48,2000,0.85015,838.9107693431215,2.384043778060004
kmeans,full,44,64,2000,0.8775,778.0292754672176,2.570597358047962
kmeans,full,44,80,2000,0.89875,677.9633450448121,2.9500119949225336
kmeans,full,44,96,2000,0.91345,612.6737196815784,3.264380265958607
balanced_kmeans,full,44,24,2000,0.7868,858.111760521517,2.330698741134256
balanced_kmeans,full,44,32,2000,0.8209,822.5305538985045,2.4315206171013415
balanced_kmeans,full,44,40,2000,0.8488,746.1390927582398,2.6804653708823025
balanced_kmeans,full,44,48,2000,0.86765,706.19352190489,2.8320848860312253
balanced_kmeans,full,44,64,2000,0.8965,655.5032210924188,3.0510910330340266
balanced_kmeans,full,44,80,2000,0.9152,570.5551056574733,3.5053581681568176
balanced_kmeans,full,44,96,2000,0.92865,496.35321575148,4.029388621915132
