upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard
100,20,4,1000,10,0.894,138.54391763192177,7.217927839003096,17.062,109.41,45.649982417067164
100,20,6,1000,10,0.9104,135.00730658660947,7.407006519002607,17.062,109.41,58.474973625600754
100,20,8,1000,10,0.9195,116.63266319514568,8.573927514000388,17.062,109.41,71.29996483413433
100,20,10,1000,10,0.9274,119.61058916823264,8.360463792996597,17.062,109.41,84.12495604266792
100,20,12,1000,10,0.9334,103.6938200603916,9.643776258002617,17.062,109.41,96.94994725120151
100,24,4,1000,10,0.8979,132.7353464215739,7.533788300999731,17.062,109.41,49.649982417067164
100,24,6,1000,10,0.9128,137.4121090816763,7.277379022001696,17.062,109.41,62.474973625600754
100,24,8,1000,10,0.9222,116.04197108499434,8.617571647999284,17.062,109.41,75.29996483413433
100,24,10,1000,10,0.9295,132.30569942437492,7.558253381001123,17.062,109.41,88.12495604266792
100,24,12,1000,10,0.9353,118.70248687547256,8.424423331998696,17.062,109.41,100.94994725120151
100,28,4,1000,10,0.9013,149.35196719834605,6.6955930930053,17.062,109.41,53.649982417067164
100,28,6,1000,10,0.9144,126.46819403644706,7.907126433005033,17.062,109.41,66.47497362560075
100,28,8,1000,10,0.9242,126.33715558148526,7.915327802002139,17.062,109.41,79.29996483413433
100,28,10,1000,10,0.9314,133.08516169569057,7.513985685996886,17.062,109.41,92.12495604266792
100,28,12,1000,10,0.9366,119.06489380453057,8.398781269999745,17.062,109.41,104.94994725120151
100,32,4,1000,10,0.9045,151.4521514129055,6.602745426003821,17.062,109.41,57.649982417067164
100,32,6,1000,10,0.9172,138.8890492865211,7.199991684996348,17.062,109.41,70.47497362560075
100,32,8,1000,10,0.9261,138.63010789310798,7.213440249004634,17.062,109.41,83.29996483413433
100,32,10,1000,10,0.9332,110.26523771785178,9.069041347000166,17.062,109.41,96.12495604266792
100,32,12,1000,10,0.9377,126.7320348710828,7.8906647480034735,17.062,109.41,108.94994725120151
