shard_id,shard_key,points_count,sample_count
0,centroid_00,38242,1014
1,centroid_01,18077,575
2,centroid_02,24043,756
3,centroid_03,23869,1139
4,centroid_04,7257,248
5,centroid_05,29503,860
6,centroid_06,31556,835
7,centroid_07,62307,1804
8,centroid_08,58087,1602
9,centroid_09,50163,1098
10,centroid_10,15768,520
11,centroid_11,15034,458
12,centroid_12,20142,674
13,centroid_13,14771,408
14,centroid_14,37511,1167
15,centroid_15,34956,860
16,centroid_16,34964,901
17,centroid_17,9776,291
18,centroid_18,27244,857
19,centroid_19,45540,1068
20,centroid_20,25248,721
21,centroid_21,6475,231
22,centroid_22,23049,638
23,centroid_23,15369,686
24,centroid_24,28349,754
25,centroid_25,61451,1679
26,centroid_26,4619,312
27,centroid_27,29206,860
28,centroid_28,12771,969
29,centroid_29,36985,1055
30,centroid_30,41756,1099
31,centroid_31,40097,1126
32,centroid_32,49814,760
33,centroid_33,33987,732
34,centroid_34,17429,898
35,centroid_35,44876,872
36,centroid_36,19227,693
37,centroid_37,5154,847
38,centroid_38,25044,1129
39,centroid_39,49738,938
40,centroid_40,73352,91
41,centroid_41,34821,681
42,centroid_42,40911,913
43,centroid_43,39600,634
44,centroid_44,32612,531
