ef_search_up,dynamic_ef_base,dynamic_ef_factor,qps,recall_at_10,avg_visited_shards,avg_total_hops,avg_l0_hops_per_visited_shard,avg_distance_computations,started_at_epoch
40.0,8.0,4.0,5536.51,0.81239,7.5418,305.794,46.6147,9407.33,1776410418.9682548
40.0,8.0,6.0,4619.51,0.83488,7.5418,393.205,64.6841,11524.5,1776410418.9682548
40.0,8.0,8.0,3900.55,0.85033,7.5418,480.28,82.7322,13527.6,1776410418.9682548
40.0,12.0,4.0,4981.51,0.81994,7.5418,338.156,50.8287,10385.9,1776410418.9682548
40.0,12.0,6.0,4266.65,0.84103,7.5418,425.064,68.8437,12463.3,1776410418.9682548
40.0,12.0,8.0,3678.88,0.85475,7.5418,511.709,86.8533,14435.3,1776410418.9682548
60.0,8.0,4.0,3989.93,0.84285,9.6459,436.4,52.2884,13113.0,1776410418.9682548
60.0,8.0,6.0,3255.96,0.86447,9.6459,567.787,73.1504,16188.1,1776410418.9682548
60.0,8.0,8.0,2750.93,0.87852,9.6459,698.56,93.9802,19081.1,1776410418.9682548
60.0,12.0,4.0,3681.61,0.84903,9.6459,477.68,56.5155,14363.3,1776410418.9682548
60.0,12.0,6.0,3047.57,0.8689,9.6459,608.459,77.3304,17387.7,1776410418.9682548
60.0,12.0,8.0,2626.35,0.88219,9.6459,738.979,98.1238,20252.2,1776410418.9682548
120.0,8.0,4.0,2241.37,0.88537,14.268,809.841,62.5872,23213.5,1776410418.9682548
120.0,8.0,6.0,1815.67,0.90517,14.268,1073.17,88.5351,29038.9,1776410418.9682548
120.0,8.0,8.0,1505.16,0.91796,14.268,1335.53,114.434,34476.8,1776410418.9682548
120.0,12.0,4.0,2097.36,0.88973,14.268,870.789,66.8222,25055.4,1776410418.9682548
120.0,12.0,6.0,1719.38,0.90805,14.268,1132.98,92.7053,30793.7,1776410418.9682548
120.0,12.0,8.0,1467.09,0.92005,14.268,1394.69,118.564,36170.9,1776410418.9682548
