shard_id,shard_key,points_count,sample_count
0,centroid_00,18900,0
1,centroid_01,26745,0
2,centroid_02,18010,0
3,centroid_03,29287,0
4,centroid_04,8483,0
5,centroid_05,10616,0
6,centroid_06,31334,0
7,centroid_07,23371,0
8,centroid_08,17806,0
9,centroid_09,13910,0
10,centroid_10,15841,0
11,centroid_11,27775,0
12,centroid_12,39880,0
13,centroid_13,19491,0
14,centroid_14,13264,0
15,centroid_15,8084,0
16,centroid_16,14305,0
17,centroid_17,24625,0
18,centroid_18,37270,0
19,centroid_19,30552,0
20,centroid_20,23524,0
21,centroid_21,34139,0
22,centroid_22,31223,0
23,centroid_23,33251,0
24,centroid_24,18697,0
25,centroid_25,25967,0
26,centroid_26,30242,0
27,centroid_27,42443,0
28,centroid_28,20453,0
29,centroid_29,51045,0
30,centroid_30,36787,0
31,centroid_31,33711,0
32,centroid_32,24427,0
33,centroid_33,20844,0
34,centroid_34,25171,0
35,centroid_35,12557,0
36,centroid_36,39441,0
37,centroid_37,16658,0
38,centroid_38,38860,0
39,centroid_39,41193,0
40,centroid_40,31806,0
41,centroid_41,19787,0
42,centroid_42,4692,0
43,centroid_43,28537,0
44,centroid_44,15775,0
45,centroid_45,52735,0
