upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard,search_batch_calls,avg_search_requests_per_query
100,20,1,1000,10,0.8529,394.52196966027554,2.5347130879963515,17.399,110.077,55.95131904132421,10,1.0
100,20,2,1000,10,0.8888,361.1231323172131,2.7691385860089213,17.399,110.077,91.90263808264842,10,1.0
100,20,3,1000,10,0.9084,383.60231288901974,2.6068664510094095,17.399,110.077,127.85395712397265,10,1.0
100,24,1,1000,10,0.8588,433.641175190129,2.3060540769947693,17.399,110.077,59.95131904132421,10,1.0
100,24,2,1000,10,0.8921,405.1457807068284,2.4682473510038108,17.399,110.077,95.90263808264842,10,1.0
100,24,3,1000,10,0.9102,378.08767044703853,2.6448892100015655,17.399,110.077,131.85395712397263,10,1.0
100,28,1,1000,10,0.8649,428.19530297854345,2.335382927005412,17.399,110.077,63.95131904132421,10,1.0
100,28,2,1000,10,0.896,404.99923440989085,2.4691404699988198,17.399,110.077,99.90263808264842,10,1.0
100,28,3,1000,10,0.9119,381.93236440019257,2.6182646280067274,17.399,110.077,135.85395712397263,10,1.0
100,32,1,1000,10,0.8712,445.4337786010159,2.2450026200094726,17.399,110.077,67.95131904132421,10,1.0
100,32,2,1000,10,0.8984,414.65718937700535,2.411630681002862,17.399,110.077,103.90263808264842,10,1.0
100,32,3,1000,10,0.9142,383.03848661639006,2.610703715006821,17.399,110.077,139.85395712397263,10,1.0
100,40,1,1000,10,0.8804,430.54224010473405,2.32265247599571,17.399,110.077,75.95131904132421,10,1.0
100,40,2,1000,10,0.9029,407.393780765317,2.4546275549946586,17.399,110.077,111.90263808264842,10,1.0
100,40,3,1000,10,0.9184,368.41291206238134,2.7143456900084857,17.399,110.077,147.85395712397263,10,1.0
100,48,1,1000,10,0.8875,421.3276235149623,2.3734498859994346,17.399,110.077,83.95131904132421,10,1.0
100,48,2,1000,10,0.9072,409.8992439833703,2.439623918995494,17.399,110.077,119.90263808264842,10,1.0
100,48,3,1000,10,0.9228,368.40253431598586,2.7144221519993152,17.399,110.077,155.85395712397263,10,1.0
