upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard,search_batch_calls,avg_search_requests_per_query
100,20,2,1000,10,0.9426,216.0827334786609,4.627857043000404,17.326,110.061,91.9952672284428,10,1.0
100,20,3,1000,10,0.9459,218.08364391999552,4.585396602997207,17.326,110.061,127.9929008426642,10,1.0
100,20,4,1000,10,0.9485,218.90327497898016,4.56822767999256,17.326,110.061,163.9905344568856,10,1.0
100,24,2,1000,10,0.9431,217.66512456648218,4.594213253003545,17.326,110.061,95.9952672284428,10,1.0
100,24,3,1000,10,0.9462,217.78392416417873,4.591707142011728,17.326,110.061,131.9929008426642,10,1.0
100,24,4,1000,10,0.9487,211.5621523694493,4.726743365012226,17.326,110.061,167.9905344568856,10,1.0
100,28,2,1000,10,0.9434,215.28501658699167,4.645005099999253,17.326,110.061,99.9952672284428,10,1.0
100,28,3,1000,10,0.9465,218.93363473950143,4.567594198990264,17.326,110.061,135.9929008426642,10,1.0
100,28,4,1000,10,0.9488,210.94123391048032,4.740656823996687,17.326,110.061,171.9905344568856,10,1.0
100,32,2,1000,10,0.9435,217.76754801513457,4.5920524390094215,17.326,110.061,103.9952672284428,10,1.0
100,32,3,1000,10,0.9465,215.68313531839917,4.636431116989115,17.326,110.061,139.9929008426642,10,1.0
100,32,4,1000,10,0.9489,217.2454752051662,4.603087816009065,17.326,110.061,175.9905344568856,10,1.0
