upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard,search_batch_calls,avg_search_requests_per_query
100,40,6,1000,10,0.8837,410.1016289007884,2.438419965998037,17.341,110.074,78.51300386367568,10,1.0
100,40,8,1000,10,0.8918,417.02889570598944,2.397915373003343,17.341,110.074,91.20886915402802,10,1.0
100,40,10,1000,10,0.8995,402.12615389305273,2.486781797997537,17.341,110.074,103.89210541491263,10,1.0
100,40,12,1000,10,0.907,370.5039355285362,2.699026661008247,17.341,110.074,116.57597601061069,10,1.0
100,40,14,1000,10,0.912,391.71941630960265,2.5528476719919126,17.341,110.074,129.28873767372124,10,1.0
100,40,16,1000,10,0.9186,378.53684132856995,2.641750790993683,17.341,110.074,141.97687561270976,10,1.0
100,48,6,1000,10,0.8897,412.8289872429359,2.422310523004853,17.341,110.074,86.51300386367568,10,1.0
100,48,8,1000,10,0.8973,405.0776680133324,2.468662379993475,17.341,110.074,99.20886915402802,10,1.0
100,48,10,1000,10,0.9051,407.98589202402485,2.4510651460004738,17.341,110.074,111.89210541491263,10,1.0
100,48,12,1000,10,0.911,383.03745870872336,2.6107107210118556,17.341,110.074,124.57597601061069,10,1.0
100,48,14,1000,10,0.9167,387.7220226805484,2.5791673970088596,17.341,110.074,137.28873767372124,10,1.0
100,48,16,1000,10,0.9226,368.28342984341384,2.7153000079997582,17.341,110.074,149.97687561270976,10,1.0
100,64,6,1000,10,0.9007,412.00000356831174,2.4271844449976925,17.341,110.074,102.51300386367568,10,1.0
100,64,8,1000,10,0.9085,404.13595549764983,2.474414825992426,17.341,110.074,115.20886915402802,10,1.0
100,64,10,1000,10,0.9139,389.174580089429,2.5695408979954664,17.341,110.074,127.89210541491263,10,1.0
100,64,12,1000,10,0.92,377.2823598254176,2.6505347360071028,17.341,110.074,140.5759760106107,10,1.0
100,64,14,1000,10,0.9248,363.4848782076396,2.7511460859968793,17.341,110.074,153.28873767372124,10,1.0
100,64,16,1000,10,0.9296,346.0359062445067,2.889873512991471,17.341,110.074,165.97687561270976,10,1.0
100,80,6,1000,10,0.9111,397.1137349634481,2.518170266994275,17.341,110.074,118.51300386367568,10,1.0
100,80,8,1000,10,0.9167,380.004607624794,2.6315470389963593,17.341,110.074,131.20886915402804,10,1.0
100,80,10,1000,10,0.9221,380.76290520950226,2.626306255988311,17.341,110.074,143.89210541491263,10,1.0
100,80,12,1000,10,0.9265,363.9087715837997,2.7479414569970686,17.341,110.074,156.5759760106107,10,1.0
100,80,14,1000,10,0.9306,343.9032920325104,2.907794206010294,17.341,110.074,169.28873767372124,10,1.0
100,80,16,1000,10,0.9345,333.1454262100962,3.0016921179922065,17.341,110.074,181.97687561270976,10,1.0
