upper_k,base_ef,factor,query_count,top_k,recall_at_k,qps,wall_s,avg_visited_shards,avg_upper_hits,avg_assigned_ef_per_visited_shard,search_batch_calls,avg_search_requests_per_query
100,4,0,500,10,0.9304,198.2076808815119,2.522606580008869,17.352,110.088,4.0,5,1.0
100,4,1,500,10,0.9374,213.30915811265763,2.344015627008048,17.352,110.088,10.344398340248963,5,1.0
100,4,2,500,10,0.9404,213.66008024134422,2.3401657409995096,17.352,110.088,16.688796680497926,5,1.0
100,4,3,500,10,0.9432,205.28883532574412,2.435592754991376,17.352,110.088,23.033195020746888,5,1.0
100,4,4,500,10,0.945,210.32830510688078,2.377235911000753,17.352,110.088,29.37759336099585,5,1.0
100,8,0,500,10,0.9304,211.14792933667434,2.368008067001938,17.352,110.088,8.0,5,1.0
100,8,1,500,10,0.9378,202.03688487907522,2.4747956310020527,17.352,110.088,14.344398340248963,5,1.0
100,8,2,500,10,0.9404,208.1834695130972,2.4017276740050875,17.352,110.088,20.688796680497926,5,1.0
100,8,3,500,10,0.9432,209.87213982296288,2.382402925999486,17.352,110.088,27.033195020746888,5,1.0
100,8,4,500,10,0.945,199.71434098811326,2.503575845010346,17.352,110.088,33.37759336099585,5,1.0
100,12,0,500,10,0.931,210.3097491703458,2.3774456579994876,17.352,110.088,12.0,5,1.0
100,12,1,500,10,0.938,215.35453378823715,2.3217528380046133,17.352,110.088,18.34439834024896,5,1.0
100,12,2,500,10,0.9412,202.3279543653159,2.4712353840004653,17.352,110.088,24.688796680497926,5,1.0
100,12,3,500,10,0.9436,206.69011009764267,2.4190804280078737,17.352,110.088,31.033195020746888,5,1.0
100,12,4,500,10,0.9454,209.0959693239271,2.391246476996457,17.352,110.088,37.37759336099585,5,1.0
100,16,0,500,10,0.9314,203.08829241965392,2.461983376997523,17.352,110.088,16.0,5,1.0
100,16,1,500,10,0.938,213.43327419763824,2.342652531006024,17.352,110.088,22.34439834024896,5,1.0
100,16,2,500,10,0.9412,209.98205935533701,2.3811558070010506,17.352,110.088,28.688796680497926,5,1.0
100,16,3,500,10,0.9436,203.4882663506054,2.4571441339940066,17.352,110.088,35.03319502074689,5,1.0
100,16,4,500,10,0.9454,204.70887803422193,2.4424929920060094,17.352,110.088,41.37759336099585,5,1.0
100,20,0,500,10,0.9316,206.3663292777879,2.422875871998258,17.352,110.088,20.0,5,1.0
100,20,1,500,10,0.9382,205.44966030593545,2.4336861850024434,17.352,110.088,26.34439834024896,5,1.0
100,20,2,500,10,0.9412,209.7350153377128,2.383960537990788,17.352,110.088,32.68879668049792,5,1.0
100,20,3,500,10,0.944,209.90025976187516,2.3820837600069353,17.352,110.088,39.03319502074689,5,1.0
100,20,4,500,10,0.9456,209.37400668093738,2.388071031004074,17.352,110.088,45.37759336099585,5,1.0
