shard_id,shard_key,points_count
0,centroid_00,35285
1,centroid_01,24412
2,centroid_02,21913
3,centroid_03,31348
4,centroid_04,35087
5,centroid_05,50729
6,centroid_06,22077
7,centroid_07,20401
8,centroid_08,39516
9,centroid_09,9123
10,centroid_10,49546
11,centroid_11,38602
12,centroid_12,14983
13,centroid_13,11462
14,centroid_14,34424
15,centroid_15,32827
16,centroid_16,23359
17,centroid_17,20932
18,centroid_18,27941
19,centroid_19,52028
20,centroid_20,39584
21,centroid_21,26280
22,centroid_22,48137
23,centroid_23,33019
24,centroid_24,24621
25,centroid_25,26931
26,centroid_26,11132
27,centroid_27,22899
28,centroid_28,14268
29,centroid_29,11023
30,centroid_30,12877
31,centroid_31,34423
32,centroid_32,37604
33,centroid_33,20527
34,centroid_34,14450
35,centroid_35,40263
36,centroid_36,38722
37,centroid_37,22596
38,centroid_38,13624
39,centroid_39,18066
40,centroid_40,16419
41,centroid_41,11756
42,centroid_42,29909
43,centroid_43,18389
