shard_id,shard_key,points_count,sample_count
0,centroid_00,,1156
1,centroid_01,,608
2,centroid_02,,804
3,centroid_03,,815
4,centroid_04,,273
5,centroid_05,,914
6,centroid_06,,927
7,centroid_07,,1907
8,centroid_08,,1733
9,centroid_09,,1411
10,centroid_10,,547
11,centroid_11,,476
12,centroid_12,,731
13,centroid_13,,424
14,centroid_14,,1259
15,centroid_15,,965
16,centroid_16,,1023
17,centroid_17,,302
18,centroid_18,,913
19,centroid_19,,1207
20,centroid_20,,797
21,centroid_21,,238
22,centroid_22,,691
23,centroid_23,,505
24,centroid_24,,820
25,centroid_25,,1776
26,centroid_26,,243
27,centroid_27,,962
28,centroid_28,,451
29,centroid_29,,1145
30,centroid_30,,1259
31,centroid_31,,1214
32,centroid_32,,1339
33,centroid_33,,905
34,centroid_34,,630
35,centroid_35,,1235
36,centroid_36,,614
37,centroid_37,,340
38,centroid_38,,870
39,centroid_39,,1300
40,centroid_40,,1700
41,centroid_41,,1000
42,centroid_42,,1140
43,centroid_43,,1074
44,centroid_44,,908
