scheme,shard_id,shard_key,points_count
hash,0,hash_00,26988
hash,1,hash_01,27005
hash,2,hash_02,26946
hash,3,hash_03,26910
hash,4,hash_04,26897
hash,5,hash_05,27092
hash,6,hash_06,27048
hash,7,hash_07,26859
hash,8,hash_08,26650
hash,9,hash_09,26992
hash,10,hash_10,27089
hash,11,hash_11,26946
hash,12,hash_12,26876
hash,13,hash_13,26731
hash,14,hash_14,26909
hash,15,hash_15,27134
hash,16,hash_16,26987
hash,17,hash_17,26718
hash,18,hash_18,26647
hash,19,hash_19,27094
hash,20,hash_20,26839
hash,21,hash_21,26843
hash,22,hash_22,26814
hash,23,hash_23,26893
hash,24,hash_24,26884
hash,25,hash_25,26741
hash,26,hash_26,26663
hash,27,hash_27,26616
hash,28,hash_28,26819
hash,29,hash_29,26724
hash,30,hash_30,27025
hash,31,hash_31,27155
hash,32,hash_32,26858
hash,33,hash_33,26977
hash,34,hash_34,27073
hash,35,hash_35,27036
hash,36,hash_36,26858
hash,37,hash_37,26952
hash,38,hash_38,26937
hash,39,hash_39,26781
hash,40,hash_40,26580
hash,41,hash_41,27123
hash,42,hash_42,26927
hash,43,hash_43,26878
kmeans,0,kmeans_00,35285
kmeans,1,kmeans_01,24412
kmeans,2,kmeans_02,21913
kmeans,3,kmeans_03,31348
kmeans,4,kmeans_04,35087
kmeans,5,kmeans_05,50729
kmeans,6,kmeans_06,22077
kmeans,7,kmeans_07,20401
kmeans,8,kmeans_08,39516
kmeans,9,kmeans_09,9123
kmeans,10,kmeans_10,49546
kmeans,11,kmeans_11,38602
kmeans,12,kmeans_12,14983
kmeans,13,kmeans_13,11462
kmeans,14,kmeans_14,34424
kmeans,15,kmeans_15,32827
kmeans,16,kmeans_16,23359
kmeans,17,kmeans_17,20932
kmeans,18,kmeans_18,27941
kmeans,19,kmeans_19,52028
kmeans,20,kmeans_20,39584
kmeans,21,kmeans_21,26280
kmeans,22,kmeans_22,48137
kmeans,23,kmeans_23,33019
kmeans,24,kmeans_24,24621
kmeans,25,kmeans_25,26931
kmeans,26,kmeans_26,11132
kmeans,27,kmeans_27,22899
kmeans,28,kmeans_28,14268
kmeans,29,kmeans_29,11023
kmeans,30,kmeans_30,12877
kmeans,31,kmeans_31,34423
kmeans,32,kmeans_32,37604
kmeans,33,kmeans_33,20527
kmeans,34,kmeans_34,14450
kmeans,35,kmeans_35,40263
kmeans,36,kmeans_36,38722
kmeans,37,kmeans_37,22596
kmeans,38,kmeans_38,13624
kmeans,39,kmeans_39,18066
kmeans,40,kmeans_40,16419
kmeans,41,kmeans_41,11756
kmeans,42,kmeans_42,29909
kmeans,43,kmeans_43,18389
balanced_kmeans,0,balanced_kmeans_00,26899
balanced_kmeans,1,balanced_kmeans_01,26899
balanced_kmeans,2,balanced_kmeans_02,26898
balanced_kmeans,3,balanced_kmeans_03,26898
balanced_kmeans,4,balanced_kmeans_04,26898
balanced_kmeans,5,balanced_kmeans_05,26898
balanced_kmeans,6,balanced_kmeans_06,26898
balanced_kmeans,7,balanced_kmeans_07,26898
balanced_kmeans,8,balanced_kmeans_08,26898
balanced_kmeans,9,balanced_kmeans_09,26898
balanced_kmeans,10,balanced_kmeans_10,26898
balanced_kmeans,11,balanced_kmeans_11,26898
balanced_kmeans,12,balanced_kmeans_12,26898
balanced_kmeans,13,balanced_kmeans_13,26898
balanced_kmeans,14,balanced_kmeans_14,26898
balanced_kmeans,15,balanced_kmeans_15,26898
balanced_kmeans,16,balanced_kmeans_16,26898
balanced_kmeans,17,balanced_kmeans_17,26898
balanced_kmeans,18,balanced_kmeans_18,26898
balanced_kmeans,19,balanced_kmeans_19,26898
balanced_kmeans,20,balanced_kmeans_20,26898
balanced_kmeans,21,balanced_kmeans_21,26898
balanced_kmeans,22,balanced_kmeans_22,26898
balanced_kmeans,23,balanced_kmeans_23,26898
balanced_kmeans,24,balanced_kmeans_24,26898
balanced_kmeans,25,balanced_kmeans_25,26898
balanced_kmeans,26,balanced_kmeans_26,26898
balanced_kmeans,27,balanced_kmeans_27,26898
balanced_kmeans,28,balanced_kmeans_28,26898
balanced_kmeans,29,balanced_kmeans_29,26898
balanced_kmeans,30,balanced_kmeans_30,26898
balanced_kmeans,31,balanced_kmeans_31,26898
balanced_kmeans,32,balanced_kmeans_32,26898
balanced_kmeans,33,balanced_kmeans_33,26898
balanced_kmeans,34,balanced_kmeans_34,26898
balanced_kmeans,35,balanced_kmeans_35,26898
balanced_kmeans,36,balanced_kmeans_36,26898
balanced_kmeans,37,balanced_kmeans_37,26898
balanced_kmeans,38,balanced_kmeans_38,26898
balanced_kmeans,39,balanced_kmeans_39,26898
balanced_kmeans,40,balanced_kmeans_40,26898
balanced_kmeans,41,balanced_kmeans_41,26898
balanced_kmeans,42,balanced_kmeans_42,26898
balanced_kmeans,43,balanced_kmeans_43,26898
