scheme,scenario,nprobe,hnsw_ef,query_count,recall_at_k,qps,wall_s
hash,selective,1,24,2000,0.02285,3044.3274811693136,0.6569595460314304
hash,selective,1,32,2000,0.02375,3184.0647494216096,0.6281279299873859
hash,selective,1,40,2000,0.0242,3046.482576092398,0.6564948100131005
hash,selective,1,48,2000,0.0248,3010.522922462896,0.6643364131450653
hash,selective,1,64,2000,0.02535,2869.1237432068056,0.6970769402105361
hash,selective,1,80,2000,0.0255,2786.821714945448,0.7176634189672768
hash,selective,1,96,2000,0.02565,2595.2270222426996,0.7706454899162054
hash,selective,2,24,2000,0.0423,2825.797321118346,0.7077648439444602
hash,selective,2,32,2000,0.04425,2551.1887830440023,0.7839482570998371
hash,selective,2,40,2000,0.0452,2442.432703617686,0.8188557240646333
hash,selective,2,48,2000,0.04605,2357.464124473117,0.8483692198060453
hash,selective,2,64,2000,0.04685,2214.7799019839704,0.9030242681037635
hash,selective,2,80,2000,0.04745,2058.8551114153206,0.9714136701077223
hash,selective,2,96,2000,0.0476,1998.4164608849114,1.0007923969533294
hash,selective,4,24,2000,0.08245,2100.6010068456835,0.9521084649022669
hash,selective,4,32,2000,0.08595,1961.47905436351,1.0196387239266187
hash,selective,4,40,2000,0.0878,1832.3708604468832,1.0914821028709412
hash,selective,4,48,2000,0.0894,1777.3527058934308,1.1252690551336855
hash,selective,4,64,2000,0.09125,1597.9297197358674,1.2516195019707084
hash,selective,4,80,2000,0.09235,1479.9263364244248,1.3514186150860041
hash,selective,4,96,2000,0.0929,1377.950758723768,1.4514306751079857
hash,selective,8,24,2000,0.1649,1499.0802144430368,1.3341514221392572
hash,selective,8,32,2000,0.171,1344.5795301590863,1.4874538509175181
hash,selective,8,40,2000,0.17485,1267.3569116074393,1.5780874209012836
hash,selective,8,48,2000,0.1783,1220.544819188433,1.638612502021715
hash,selective,8,64,2000,0.18125,1107.5014972689767,1.8058666330762208
hash,selective,8,80,2000,0.1839,1009.4272546336007,1.9813215769827366
hash,selective,8,96,2000,0.18555,959.6211588260581,2.0841557958628982
hash,selective,16,24,2000,0.3222,957.4425366713082,2.088898208923638
hash,selective,16,32,2000,0.33345,932.8772655904758,2.1439047490712255
hash,selective,16,40,2000,0.34115,859.3696510147146,2.327287212945521
hash,selective,16,48,2000,0.3471,797.5384858079275,2.507715973071754
hash,selective,16,64,2000,0.35425,721.5019625322831,2.77199523197487
hash,selective,16,80,2000,0.35945,664.1860544136626,3.0112044459674507
hash,selective,16,96,2000,0.3632,595.5601163731692,3.358183237956837
hash,selective,32,24,2000,0.6289,614.8004903728134,3.2530878412071615
hash,selective,32,32,2000,0.65005,561.5858757611802,3.561343129025772
hash,selective,32,40,2000,0.6655,507.81481282191606,3.9384436008986086
hash,selective,32,48,2000,0.6767,469.9569035837538,4.255709374090657
hash,selective,32,64,2000,0.69175,412.8084896339536,4.84486160101369
hash,selective,32,80,2000,0.7016,363.8291985381823,5.497084917966276
hash,selective,32,96,2000,0.70975,333.58276362135524,5.995513611938804
hash,selective,44,24,2000,0.85325,477.84106847363046,4.185492064105347
hash,selective,44,32,2000,0.8824,423.42924069067254,4.723339363001287
